"","sample","tissue","endometriosis","severity","p203967_at","p203968_s_at","CDC6"
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.199609,2.8602235
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.449236,4.515359,4.4822975
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.793728,4.891273,4.8425005
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.966442,6.017822,5.992132
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.660009,3.753727,3.206868
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.334542,3.976264,3.655403
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.952754,4.189813,3.5712835
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.567658,3.044248
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.834525,3.323412,3.0789685
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.933877,4.172241,3.553059
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.580978,3.046018,2.813498
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,2.960845,2.7408415
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.890569,6.031237,5.960903
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.659224,3.753727,3.2064755
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.856361,5.454568,5.1554645
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.63863,8.535995,8.5873125
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.634753,7.499601,7.567177
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.61137,7.068071,7.3397205
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.090705,3.753727,3.422216
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.002223,3.856624,3.4294235
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.832167,6.732478,6.7823225
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.459918,7.333154,7.396536
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.264546,8.349956,8.307251
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.599631,3.249704,2.9246675
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.548057,7.355583,7.45182
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.376084,4.872964,4.624524
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.499462,7.263059,7.3812605
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.906369,3.101425,3.003897
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.315148,8.070439,8.1927935
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.048847,8.358663,8.203755
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.606217,2.962582,2.7843995
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.523101,3.731089,3.127095
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.095785,5.668022,5.8819035
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.664784,3.753727,3.2092555
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.520838,4.115047,3.3179425
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.650485,3.752376,3.2014305
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.321918,6.834733,7.0783255
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.137557,5.528421,4.832989
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.527699,3.046013,2.786856
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.412999,3.079932,2.7464655
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,2.962582,2.5993245
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.520838,4.025573,3.2732055
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.26775,3.753727,3.0107385
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.413114,4.447105,3.9301095
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.520838,3.753727,3.1372825
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.584637,3.064821,2.824729
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.25016,3.753727,4.0019435
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.347447,3.764277,4.055862
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.010392,5.458667,5.7345295
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966312,7.12164,7.043976
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.645696,3.079932,2.862814
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.864331,3.924982,3.3946565
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.520838,2.962582,2.74171
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.520838,3.081702,2.80127
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.546808,4.296143,3.9214755
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,3.046013,2.64104
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.829854,6.454543,6.6421985
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.864331,3.793331,3.328831
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.709645,3.753727,3.231686
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.493136,3.046013,2.7695745
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.302092,5.355634,5.328863
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.520838,3.731089,3.1259635
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.520838,3.046013,2.7834255
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.520838,2.962582,2.74171
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.753727,2.994897
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.801076,5.532092,5.666584
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.393307,5.357505,4.375406
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.540216,6.139308,6.339762
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.520838,3.046013,2.7834255
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.508367,3.076456,2.7924115
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.8509,5.362176,4.606538
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.880899,3.731089,3.305994
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.864032,4.5007,4.182366
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.894408,3.753727,3.3240675
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.580978,3.046013,2.8134955
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.864331,3.810544,3.3374375
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.503358,5.263741,4.8835495
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.011041,4.684675,4.847858
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.477505,3.085657,2.781581
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.223664,7.509623,7.3666435
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.4769,4.639122,4.058011
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.559613,5.638777,5.599195
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.087903,7.037685,7.062794
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.574658,3.731089,3.1528735
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.784232,3.731089,3.2576605
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.317076,3.767481,3.5422785
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.174101,4.159073,3.666587
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.62134,3.446806,3.034073
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.872012,7.276264,7.074138
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.050431,6.924709,6.98757
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.417009,3.44196,2.9294845
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.065696,6.371396,6.218546
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.524002,3.194504,2.859253
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.694796,6.799693,6.7472445
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.554885,6.961829,6.758357
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.580054,6.723065,6.6515595
