"","sample","tissue","endometriosis","severity","p225186_at","p225188_at","p225189_s_at","RAPH1"
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.574014,9.441022,6.95033,6.98845533333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.077312,9.270734,8.667091,7.67171233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.35774,11.050534,9.47984,8.96270466666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.099289,11.201064,9.847497,9.38261666666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.255013,10.397387,8.922549,8.524983
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.781587,10.771215,9.19705,8.91661733333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.83825,8.142405,6.007199,5.99595133333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.144384,8.426358,5.942393,5.83771166666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.271631,8.623161,6.413344,6.43604533333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.520721,10.283501,8.258725,7.687649
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.992209,10.388175,9.473431,8.284605
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.182356,10.243444,9.049985,7.82526166666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.571012,10.675915,9.200874,8.48260033333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.198834,10.534423,8.834956,7.856071
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.255031,11.056759,9.988842,9.10021066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.264961,9.576904,8.267506,7.36979033333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.383259,11.291058,10.033743,9.23602
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.242538,11.57982,10.496501,9.772953
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.44426,9.901552,8.611314,7.65237533333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.306027,10.579307,9.212785,8.699373
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.27395,9.551816,8.359765,7.72851033333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.961898,10.022112,8.9628,7.98227
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.110283,9.25167,8.299811,7.220588
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.240691,10.592078,9.328932,8.38723366666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.101963,9.633249,8.544455,7.759889
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.566638,10.597988,9.26465,8.47642533333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.158212,10.502053,9.027251,8.56250533333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.554503,11.757527,10.881564,10.0645313333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.531964,11.391252,10.051076,9.324764
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.116364,9.632979,8.581978,7.777107
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.409636,9.740138,8.44197,7.53058133333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.811363,10.930722,9.616166,9.119417
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.695238,9.207986,8.257385,7.05353633333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.793816,11.136867,10.120666,9.35044966666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.92203,9.368703,8.455695,7.24880933333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.471891,9.764688,8.977411,7.73799666666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.693276,9.012417,7.854533,7.186742
