"","sample","tissue","endometriosis","severity","p213623_at","p228680_at","KIF3A"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.630184,6.005335,4.3177595
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.139486,5.967055,4.5532705
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.340401,5.525116,3.9327585
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.004376,5.558038,4.281207
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,7.598386,4.9172265
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.32727,5.998203,4.1627365
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.050855,7.219062,5.1349585
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.59246,6.710548,4.651504
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.139486,6.84116,4.990323
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.448075,7.429082,5.4385785
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.004376,6.963973,4.9841745
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.340401,6.445364,4.3928825
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.701215,6.20441,4.4528125
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.778866,6.791967,4.7854165
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.331617,7.187856,5.2597365
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.139486,7.90399,5.521738
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.050855,7.091149,5.071002
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.365928,6.672923,4.5194255
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.340401,6.328814,4.3346075
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.609991,7.622211,6.116101
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.48344,7.747646,6.615543
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.509569,7.596738,6.0531535
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.11771,7.073559,5.5956345
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.540228,7.515316,5.527772
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.19056,7.411527,5.8010435
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.151015,7.050045,6.10053
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.293689,6.863713,5.578701
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.062538,7.40836,5.735449
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.83141,7.647018,6.239214
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.086697,7.469808,6.2782525
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.261521,7.169916,6.2157185
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.574876,7.78111,6.677993
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.198875,7.375941,5.287408
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.006578,7.371144,6.188861
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.32727,6.240594,4.283932
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050855,6.575354,4.8131045
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.395972,6.797099,5.0965355
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.857919,6.005335,4.431627
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.32727,6.502004,4.414637
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.676914,6.585654,4.631284
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.139486,7.402655,5.2710705
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.340401,6.692495,4.516448
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,5.75813,4.381253
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050855,7.962478,5.5066665
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,5.687144,3.9616055
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,6.926442,4.965409
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.399863,5.913712,4.1567875
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,6.043071,4.5237235
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050855,6.751367,4.901111
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.610167,6.580162,4.5951645
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.084896,6.700612,4.892754
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,5.576677,4.2905265
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050855,6.484254,4.7675545
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.175288,6.888126,5.031707
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,6.679895,4.8421355
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.32727,6.289004,4.308137
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050855,6.801877,4.926366
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.619886,6.300321,4.4601035
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.340401,6.294618,4.3175095
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,7.980116,5.492246
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.119415,6.191579,4.655497
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,6.328047,4.6662115
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004376,6.21476,4.609568
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.340401,6.883093,4.611747
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.591974,6.332435,4.4622045
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.605089,7.385395,6.995242
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.979321,6.697376,5.8383485
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.57613,6.215301,5.8957155
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.211205,6.911293,6.061249
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.237647,5.957797,6.097722
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.67763,5.765165,5.7213975
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.283559,5.808952,5.0462555
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.624853,8.343932,5.9843925
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.613079,8.051621,5.33235
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.898995,7.399292,6.1491435
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.159591,7.757802,5.9586965
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.238636,7.956587,6.0976115
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.025099,7.141048,5.5830735
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.022694,7.946695,5.4846945
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.273287,8.373892,6.3235895
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.244358,8.311972,6.778165
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.638092,8.036042,6.337067
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.602228,7.124978,5.863603
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.716077,7.046581,6.381329
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.503496,7.483579,6.4935375
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.404746,7.481029,6.4428875
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.938692,7.69793,6.318311
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.01211,7.439041,6.2255755
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.07357,7.885487,6.4795285
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.075121,7.910131,6.492626
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.274577,7.885185,7.079881
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.541694,8.030139,6.2859165
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.065287,7.639641,5.852464
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.500317,7.471693,4.986005
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.983414,6.949562,5.466488
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.387063,7.256551,5.321807
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.728522,7.839042,6.783782
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.065617,7.715837,5.390727
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.504287,7.572154,6.0382205
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.57667,7.430287,5.5034785
