"","sample","tissue","endometriosis","severity","p225171_at","p225166_at","p225173_at","ARHGAP18"
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.627529,3.217813,6.833219,5.89285366666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.465431,2.236067,3.763357,4.15495166666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.866612,3.364696,5.138299,5.12320233333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.913623,3.161154,6.127571,5.40078266666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.242608,3.364696,5.442961,5.35008833333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.903572,3.358576,5.154782,5.13897666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.723677,2.544008,3.51932,3.92900166666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.516313,3.33961,4.237149,5.031024
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.152209,3.358576,5.615243,5.37534266666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.840639,2.499476,6.777876,5.705997
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.250428,3.364696,9.029363,7.214829
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.813293,3.332127,6.742473,5.962631
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.740723,3.336494,7.481926,6.186381
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.270438,3.366224,6.692044,6.10956866666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.619285,3.072777,6.769314,5.82045866666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.387,3.405398,6.452762,5.74838666666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.420305,3.364696,5.306932,5.697311
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.374845,3.358576,7.227508,5.98697633333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.746687,4.76437,8.091864,7.20097366666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.134653,5.047609,8.826582,7.66961466666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.418914,3.364696,6.686703,5.82343766666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.75049,2.666864,6.670317,5.69589033333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.291969,5.280417,8.29124,7.62120866666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.576146,6.599121,9.493172,8.55614633333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.297262,5.989979,8.566241,7.95116066666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.081056,5.804983,8.840134,7.90872433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.578031,7.142593,9.366242,8.695622
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.017577,5.341789,8.727628,7.69566466666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.995239,5.582428,8.903855,7.827174
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.280245,6.391843,8.925816,8.19930133333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.293259,5.900972,8.652361,7.948864
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.750074,6.811863,8.737452,8.43312966666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.106588,4.293368,8.491748,6.96390133333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.128692,6.281578,8.671745,8.02733833333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.097946,6.096248,9.830476,8.34155666666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.436308,6.864077,8.927399,8.40926133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.341409,6.036483,8.58217,7.98668733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531121,2.396088,7.26166,5.729623
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.251167,3.530206,8.474912,6.752095
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.713372,3.364696,8.776051,6.951373
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.974118,3.364696,5.72022,5.35301133333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.599586,3.059519,6.00008,5.21972833333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.585514,3.362786,6.17566,5.70798666666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.70923,4.936047,7.351207,6.998828
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.233837,3.358576,6.81944,5.803951
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.225237,3.550792,8.393403,6.723144
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.853046,2.274358,4.4635,4.86363466666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.104661,2.445573,5.294311,4.61484833333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.946705,2.871795,7.282921,6.033807
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.490123,3.112818,5.782914,5.46195166666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.699593,3.364696,6.884554,5.98294766666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.837812,2.900902,7.439751,6.05948833333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.683688,3.125207,6.273889,5.360928
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.584443,3.364696,7.684271,6.21113666666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.047516,3.569999,6.728231,6.11524866666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.855115,3.059519,7.65101,6.188548
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.961268,3.364696,7.594008,6.30665733333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.454066,3.115137,6.016139,5.52844733333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.340661,3.358576,5.96203,5.55375566666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.899515,3.319647,7.595892,6.27168466666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.845049,3.779211,7.199726,6.274662
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.34012,3.364696,3.352344,5.01905333333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.860978,3.364696,6.105611,5.777095
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.919167,3.358576,7.11623,6.13132433333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.795552,3.364696,6.67922,5.94648933333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.823109,3.364696,6.62959,5.93913166666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.842657,3.364696,7.204217,6.13719
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.317766,3.590005,7.530243,6.479338
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.132967,3.364696,5.996941,5.83153466666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.654416,3.062683,7.136176,5.95109166666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.045826,3.254332,5.305303,5.20182033333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.748663,2.59345,4.466439,4.60285066666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.907883,3.174466,7.338822,6.14039033333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.070153,3.358576,7.301469,6.24339933333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.307402,3.358576,7.378776,6.34825133333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.754357,4.735344,7.041603,6.843768
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.489369,4.995102,6.895516,6.793329
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.290612,5.443431,9.327813,8.02061866666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.059229,6.912398,9.013482,8.661703
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.779562,4.851122,7.492609,7.04109766666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.72096,6.150553,9.861313,8.57760866666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.181091,5.858724,8.297881,7.779232
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.072112,4.190985,5.409643,5.89091333333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.2595,4.28166,6.879295,6.473485
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.021962,5.209822,7.780375,7.33738633333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.837158,5.541314,8.507963,7.62881166666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.628098,6.296965,9.943076,8.622713
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.13273,5.674904,9.620135,8.14258966666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.867692,3.430149,9.06935,7.122397
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.367531,6.070243,8.426793,7.95485566666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.316592,6.888765,10.558845,9.254734
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.003977,5.254278,9.551189,7.93648133333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.620153,5.860813,7.955454,7.81214
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.58706,4.579824,8.722991,7.296625
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.360008,6.131855,9.271303,8.25438866666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.991004,4.97406,8.979935,7.648333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.817986,4.891405,7.371363,7.026918
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.210272,5.195162,7.831031,7.412155
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.059917,5.00792,9.305102,7.79097966666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.1928,3.364923,8.272666,6.61012966666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.014221,5.410323,8.898636,7.77439333333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.16115,5.227401,9.217217,7.86858933333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.251472,5.435123,9.31437,8.00032166666667
