"","sample","tissue","endometriosis","severity","p244808_at","p224807_at","GRAMD1A"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.408353,8.461072,8.4347125
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.925969,9.958025,9.941997
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.589108,9.825131,8.2071195
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.737789,9.371624,8.5547065
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.460718,10.455559,9.9581385
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.599612,10.149185,9.3743985
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.686233,7.356158,6.5211955
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.707242,9.227911,8.4675765
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.750393,9.366059,9.058226
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.096077,8.153398,7.6247375
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.979778,8.810991,8.3953845
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.12955,9.776936,9.453243
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.58301,9.069371,8.8261905
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.501143,9.999805,8.750474
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.640368,8.225122,7.932745
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.584975,9.4867,8.5358375
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.436179,9.668092,9.0521355
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.569346,8.975034,8.77219
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.960904,9.900772,9.430838
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.579212,10.345787,9.9624995
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.337272,8.899377,8.6183245
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.894222,9.139189,8.5167055
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.043867,9.628311,8.836089
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.063447,9.964753,9.0141
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.103264,9.484233,8.7937485
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.681658,8.972152,8.826905
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.47595,8.951751,8.2138505
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.636307,7.09879,6.3675485
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.130933,9.134748,8.6328405
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.374016,8.95052,8.162268
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.097486,8.01424,6.555863
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.080554,8.374306,7.72743
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.598047,8.96362,8.2808335
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.08424,8.970756,8.027498
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.84356,8.317452,8.080506
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.960025,8.348382,7.6542035
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.57723,7.481575,7.0294025
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.818828,9.154707,8.4867675
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.198474,9.103379,8.1509265
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.577202,6.713317,6.1452595
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.131635,7.064116,6.5978755
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.006357,7.453952,7.2301545
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.795729,7.48476,6.1402445
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.934968,6.646671,6.2908195
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.64324,7.549927,6.5965835
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.248409,7.515456,6.8819325
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.856718,6.570907,5.7138125
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.768047,6.635687,6.201867
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.740289,7.130863,5.935576
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.421006,7.326438,6.373722
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.896293,7.082079,5.489186
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.297556,7.011755,6.1546555
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.693367,6.992116,5.8427415
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.743149,7.160097,5.951623
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.569676,9.02768,7.298678
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.660577,8.21163,7.4361035
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.642898,9.023586,7.833242
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.595209,9.313534,8.4543715
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.741477,9.726517,9.233997
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.514209,9.311694,8.4129515
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.619814,8.913303,7.7665585
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.760548,9.404755,8.5826515
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.96173,8.548612,7.755171
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.741486,9.55606,9.148773
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.938527,10.435796,9.6871615
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.323935,8.187912,7.7559235
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.347735,9.439681,8.893708
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.814202,9.547685,8.6809435
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.022755,8.627792,8.3252735
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.755335,9.374939,9.065137
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.411986,9.151612,8.781799
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.841485,9.123684,7.9825845
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.207523,8.949381,8.078452
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.02548,8.489206,7.757343
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.240441,9.163489,8.701965
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.193213,9.819771,9.006492
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.179719,8.439615,7.809667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.934725,9.402312,8.6685185
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.396822,9.362685,8.3797535
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.075872,10.054976,9.565424
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.285807,8.715328,7.5005675
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.739392,9.849269,8.7943305
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.347655,9.178293,8.262974
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.958778,8.951259,8.4550185
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.698595,8.497802,7.5981985
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.550727,5.575019,5.562873
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.832027,6.747229,6.789628
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.860474,6.537589,6.6990315
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.134246,7.070928,6.602587
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.743149,6.276741,5.509945
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.318031,7.433505,6.875768
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.584109,7.015752,6.7999305
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.586656,7.448397,7.0175265
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.05926,7.383181,7.2212205
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.924543,7.004337,6.96444
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.962304,6.841881,6.4020925
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.290868,7.912929,7.1018985
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.148409,6.182399,6.165404
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.234404,7.959196,7.5968
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.084923,7.806291,7.445607
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.227083,7.299194,7.2631385
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.612727,7.640975,7.626851
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.050835,8.617975,8.334405
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.208485,6.190975,5.69973
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.810821,7.071562,6.9411915
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.161284,6.834692,6.497988
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.875275,7.291708,6.5834915
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.844769,7.523216,7.1839925
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.695534,6.596021,6.6457775
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.813186,7.812332,7.312759
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.411058,7.066211,6.2386345
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.186131,6.943071,6.564601
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.479402,7.083121,6.7812615
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.430559,7.704353,7.067456
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.948909,8.599283,7.774096
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.037164,6.918698,5.977931
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.05944,7.164675,7.1120575
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.258814,6.615592,6.437203
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.625854,6.624437,6.1251455
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.671199,6.80481,6.7380045
