"","sample","tissue","endometriosis","severity","p1553801_a_at","p227158_at","DTD2"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.876193,8.084781,6.480487
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.013909,7.847322,6.4306155
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.48739,6.44827,5.46783
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.538798,7.856984,6.197891
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.395719,6.211704,5.3037115
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.645274,6.211704,5.928489
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.69125,6.424118,5.557684
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,8.188523,6.3522295
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.571272,7.710023,6.1406475
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.369254,7.242655,6.3059545
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.516792,7.224698,5.870745
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.660259,8.394109,6.527184
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,5.880664,5.1983
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.698715,6.469793,5.584254
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.857284,8.654694,6.755989
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,7.214548,5.865242
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.499748,7.233545,6.3666465
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.299106,8.214815,6.2569605
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,7.609006,6.062471
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,6.823365,5.6696505
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.554762,8.276094,6.415428
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.632882,6.490617,5.5617495
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.905491,5.7107135
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.726349,5.6211425
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.703353,7.38141,6.0423815
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,7.940238,6.228087
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.755783,7.208393,6.482088
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,6.211704,5.36382
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.64235,5.579143
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.976443,6.755972,6.3662075
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.997418,6.211704,5.604561
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.946122,5.731029
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.040871,7.574932,6.3079015
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,8.047768,6.281852
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.201036,7.96649,6.083763
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.697663,7.911904,5.8047835
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.071641,7.486867,5.779254
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.287572,7.015434,5.651503
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,8.142081,6.3290085
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.894827,7.614663,6.254745
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.724103,8.035207,6.379655
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.333685,8.0543,6.1939925
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,8.383343,6.4496395
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,7.967238,6.241587
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.528674,8.683793,6.6062335
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.542031,7.778001,6.160016
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.909782,7.504998,5.70739
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.826335,8.996552,6.9114435
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.089042,9.455962,7.272502
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.544144,9.125503,6.8348235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.117829,9.359507,7.238668
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.029447,8.648026,6.8387365
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,8.416517,6.4662265
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.93688,8.811502,6.874191
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.063253,8.801195,6.932224
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.709854,9.24286,6.976357
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.504432,9.378559,7.4414955
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.047558,9.016633,7.0320955
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.491729,9.646368,7.5690485
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.871841,8.095293,5.983567
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.314448,9.546929,7.4306885
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.664113,9.325234,7.4946735
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.48575,7.067537,5.7766435
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.44265,7.561644,5.502147
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.207185,8.024717,6.115951
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,7.541383,6.0286595
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.587601,7.32526,5.9564305
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,7.11434,5.815138
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.051255,8.671174,6.8612145
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,7.328826,5.922381
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.503908,7.875138,5.689523
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.693764,7.195195,6.4444795
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,6.963194,5.739565
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.727614,6.621775
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.6316,7.000729,5.3161645
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.577157,8.583424,6.5802905
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.221624,8.086163,6.1538935
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.015892,6.962195,5.4890435
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.944539,6.878777,5.911658
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.08508,7.388582,6.236831
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.031831,6.2738835
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.829424,8.820668,6.825046
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.287091,7.966859,6.126975
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.808056,7.122359,5.9652075
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,7.534652,6.025294
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.018882,7.995872,6.007377
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.54284,6.529388
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,6.949831,5.7328835
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.564447,6.5401915
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.154016,8.459024,6.80652
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.777874,7.289678,5.533776
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.703157,8.136841,6.419999
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.069418,6.292677
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.517084,7.228416,5.87275
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,6.973325,5.7446305
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.16263,6.962877,5.5627535
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,7.259209,5.8875725
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.43658,7.207981,5.8222805
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,7.905066,6.210501
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,7.486939,6.0014375
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.515936,8.424965,6.4704505
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,8.870213,6.6930745
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.515936,8.876446,6.696191
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515936,8.982809,6.7493725
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.049808,9.548091,7.2989495
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.615236,7.877045,5.7461405
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.518987,8.667548,6.5932675
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.247278,8.228288,6.237783
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.500631,8.424855,6.462743
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.537739,8.818249,6.677994
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.283162,7.181786,5.732474
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.02776,9.276898,7.152329
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,8.713676,6.614806
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.466538,9.075045,6.7707915
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.83877,8.943624,6.891197
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,8.42345,6.469693
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.761488,6.638712
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.22992,7.935441,5.5826805
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.071489,7.509854,5.7906715
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515936,8.365452,6.440694
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.599541,8.849561,6.724551
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.558511,9.257034,6.9077725
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.503908,6.796425,5.1501665
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.642655,8.902108,6.7723815
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.213082,7.994117,6.1035995
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.585911,8.996163,6.791037
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.515936,9.012051,6.7639935
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.588609,8.983005,6.785807
