"","sample","tissue","endometriosis","severity","p209466_x_at","p211737_x_at","PTN"
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.456616,11.572953,11.0147845
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.981326,10.383876,9.682601
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.570625,9.769129,9.169877
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.408564,10.71655,10.062557
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.218123,8.651517,7.93482
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.809739,9.607871,9.208805
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.448802,8.482072,7.965437
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.849513,8.922392,8.3859525
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.943296,6.907094,6.425195
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.674278,8.774416,8.224347
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.210849,10.458999,9.834924
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.630007,7.085643,6.357825
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.673158,7.215215,5.9441865
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.066183,9.222114,8.6441485
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.627097,6.12475,6.3759235
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.166501,8.228099,7.6973
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.024925,12.362759,11.693842
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.976404,10.038807,9.5076055
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.862584,9.307081,8.5848325
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.104487,11.356659,10.730573
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.608409,8.838088,8.2232485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.368723,8.384108,7.8764155
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.347354,8.356001,7.8516775
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.73123,6.91783,5.82453
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.057679,10.521031,9.789355
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.02577,10.350584,9.688177
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.340651,9.605484,8.9730675
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.752943,8.912793,8.332868
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.976562,7.600833,6.7886975
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.544194,6.468519,5.5063565
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.927476,11.047241,10.4873585
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.234768,9.359166,8.796967
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.26317,9.478963,8.8710665
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.529832,9.14067,8.335251
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.25469,8.287649,7.7711695
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.996602,7.098582,6.547592
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.999709,8.035089,7.517399
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.288911,11.415767,10.852339
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.632783,7.797484,7.2151335
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.97954,10.216413,9.5979765
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.837807,10.817208,10.3275075
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.019579,10.132633,9.576106
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.868368,11.025457,10.4469125
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.490138,10.716578,10.103358
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.440795,11.480488,10.9606415
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.070498,10.28694,9.678719
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.09714,12.131705,11.6144225
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.734371,8.358497,8.046434
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.656824,9.689908,9.173366
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.804737,10.253596,9.5291665
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.829589,11.142067,10.485828
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.418126,9.737232,9.077679
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.596575,11.862528,11.2295515
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.643593,12.892854,12.2682235
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.789921,10.954413,10.372167
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.069838,10.222563,9.6462005
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.854184,11.051092,10.452638
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.456059,12.69089,12.0734745
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.797528,10.177614,9.487571
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.125949,13.04416,12.5850545
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.451142,11.677531,11.0643365
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.755235,12.7242,12.2397175
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.694502,10.99254,10.343521
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.776451,11.09184,10.4341455
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.018079,11.966092,11.4920855
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.932532,10.984344,10.458438
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.028306,10.328805,9.6785555
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.769776,11.015942,10.392859
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.480246,8.044405,7.2623255
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.949245,10.052886,9.5010655
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.478064,9.70552,9.091792
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.202579,8.359005,7.780792
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.336876,10.63993,9.988403
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.930218,9.629168,8.779693
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.246247,8.457935,7.852091
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.400473,11.55559,10.9780315
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.710405,9.996271,9.353338
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.357771,8.572188,7.9649795
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.778243,10.992101,10.385172
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.928899,10.300181,9.61454
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.02329,9.198356,8.610823
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.25283,7.997997,7.6254135
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.543839,9.159083,8.351461
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.19903,9.407579,8.8033045
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.524506,9.877097,9.2008015
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.743844,6.935582,6.339713
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.931584,11.126865,10.5292245
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.103981,11.267065,10.685523
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.927707,7.969472,7.4485895
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.749275,6.570601,5.659938
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.88084,9.340461,8.6106505
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.535987,9.080327,8.308157
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.104144,8.769549,7.9368465
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.31202,11.716598,11.014309
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.261659,10.587168,9.9244135
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.268311,11.281134,10.7747225
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.722566,11.910813,11.3166895
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.050451,12.020096,11.5352735
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.794278,11.904251,11.3492645
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.926809,10.772444,10.3496265
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.27224,9.63581,9.454025
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.010892,9.384439,9.1976655
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.897515,11.42789,10.6627025
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.289067,11.498687,10.893877
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.884967,11.960205,11.422586
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.238068,11.838315,11.0381915
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.793309,11.123529,10.458419
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.920578,13.098881,12.5097295
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.217188,8.194559,7.7058735
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.105205,11.470871,10.788038
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.640963,12.817191,12.229077
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.082384,9.412663,8.7475235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.735249,9.015923,8.375586
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.455785,10.664212,10.0599985
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.387918,10.450703,9.9193105
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.666026,10.857696,10.261861
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.28601,10.5198,9.902905
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.413282,11.643509,11.0283955
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.569361,12.787701,12.178531
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.905101,9.281439,8.59327
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.727806,11.885552,11.306679
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.196601,12.496542,11.8465715
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.501276,9.555663,9.0284695
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.200512,9.463328,8.83192
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.986053,7.911564,7.4488085
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.199376,10.332717,9.7660465
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.035778,11.245973,10.6408755
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.730031,10.912286,10.3211585
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.170144,10.397777,9.7839605
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.73314,9.616911,9.1750255
