"","sample","tissue","endometriosis","severity","p242512_at","p219027_s_at","p226203_at","MYO9A"
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.474333,8.177277,9.10755,7.91972
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,7.365925,8.665453,7.122573
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.464612,7.660188,9.037531,7.720777
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.081553,7.604668,8.334213,7.34014466666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.284662,7.014813,7.770342,6.35660566666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.842939,7.627252,8.500264,6.99015166666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.868845,7.710876,8.585907,6.721876
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.327395,7.939909,9.259878,7.842394
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.534795,7.5224,8.746297,6.93449733333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.72349,7.984701,9.509182,7.73912433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.970872,8.3548,9.064493,7.79672166666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.544539,8.024751,8.906546,7.49194533333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.000034,7.895708,8.717053,7.204265
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.787604,8.484097,9.884008,8.051903
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.110292,7.542804,8.347556,6.666884
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.130297,8.137024,9.049886,6.77240233333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.451443,7.56583,8.562975,6.52674933333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.379576,8.042415,9.318509,7.58016666666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.022138,7.841185,8.629534,6.83095233333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.111969,7.788389,8.748601,6.88298633333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.051676,7.068514,8.587059,6.90241633333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.783958,8.275286,9.200976,7.75340666666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.336341,7.362619,8.431962,7.04364066666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.731216,7.341434,8.275918,7.11618933333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.934003,6.844188,7.790934,6.52304166666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.85018,7.152288,8.067581,7.02334966666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.755558,7.096456,8.080184,6.97739933333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.218084,6.802886,7.022117,6.34769566666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.933421,7.47781,7.484873,6.965368
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.480563,6.980758,8.324528,7.26194966666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.289627,6.423963,6.691215,5.80160166666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.492768,8.254807,9.21716,8.32157833333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.21525,8.0729,8.616236,7.63479533333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.205467,7.152288,7.772026,7.04326033333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.676267,8.003505,8.083674,7.254482
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.815753,7.980685,8.17679,7.65774266666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.061028,7.154715,8.163822,7.12652166666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.257467,7.554705,8.083674,6.965282
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.370966,7.650509,7.96954,7.33033833333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.401964,7.348496,8.107203,7.28588766666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.209574,7.848351,8.280872,7.44626566666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.544784,6.944635,6.923976,6.13779833333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039926,7.809914,8.608234,7.48602466666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.69165,8.030786,8.56361,7.76201533333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.749262,7.301696,8.083674,7.37821066666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.440601,7.044714,8.131333,6.53888266666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.849575,7.216586,8.053085,7.03974866666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.257467,6.948329,7.682234,6.62934333333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.811556,6.8189,6.880822,6.170426
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.882822,7.25009,8.361884,7.49826533333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.391549,7.117431,8.278069,7.26234966666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.779821,9.015257,9.014087,8.26972166666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.833636,7.012232,8.872033,7.57263366666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.539443,7.152288,8.680375,7.45736866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.282262,7.564481,8.84882,7.56518766666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.345781,6.423963,7.717147,6.49563033333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.336341,6.632353,7.967185,6.645293
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.819458,6.284874,8.081726,6.728686
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.978235,8.823326,10.140137,8.980566
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.878274,8.981091,9.776998,8.87878766666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.655052,8.694722,9.317632,8.22246866666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.053151,8.268903,9.382613,8.234889
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.662418,8.430099,9.558848,8.550455
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.699039,8.793467,9.846401,8.44630233333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.889573,7.931393,8.907521,7.90949566666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.189807,8.958708,10.156703,9.10173933333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.164807,8.308669,9.540859,8.33811166666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.355402,8.664493,9.714907,8.91160066666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.831243,7.895986,9.064635,7.93062133333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.58019,8.295523,9.024328,7.633347
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.709218,8.296135,8.939371,7.98157466666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.680994,8.301386,8.897579,7.95998633333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.677391,8.657641,9.759418,8.69815
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.943948,8.064217,9.095183,7.701116
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.222855,8.326909,9.372223,8.307329
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.771561,8.362365,9.140734,8.09155333333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.623669,8.695361,9.219581,8.179537
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.621243,8.733844,9.727904,8.69433033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.083189,8.035876,8.795408,7.63815766666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.011951,8.201379,8.921711,8.04501366666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.022129,7.75278,8.278156,7.35102166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.275961,8.113095,8.963627,7.78422766666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.958038,8.663438,9.394682,8.33871933333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.087094,7.97387,8.76852,7.609828
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.59892,8.213305,8.911314,7.90784633333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.444864,8.201522,8.770035,7.80547366666667
