"","sample","tissue","endometriosis","severity","p206084_at","p210675_s_at","PTPRR"
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.968759,4.081033,5.024896
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.285299,2.4413175
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.297855,2.4475955
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.295849,2.4472695
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.541064,5.273263,5.9071635
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.999217,4.362678,5.6809475
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.295849,2.4465925
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.54484,2.285299,2.9150695
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.677219,2.907183,2.792201
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.725328,4.43464,5.079984
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.295849,2.4472695
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.297855,2.4482725
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.763715,5.689398,6.2265565
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.255711,2.4272005
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.295849,2.4465925
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.255711,2.4272005
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.297855,2.4475955
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.285299,2.4419945
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27569,8.430973,8.3533315
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.140164,6.110724,6.125444
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.607272,2.448289,2.5277805
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.255711,2.4265235
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.885562,8.772615,8.8290885
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.838514,6.791914,6.815214
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.295849,2.4472695
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.255711,2.4272005
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.285299,2.4413175
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.285299,2.4413175
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.38498,2.491158
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.282585,2.255711,2.269148
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.255711,2.4265235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.186825,3.563742,3.3752835
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.035422,4.377029,4.7062255
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.236067,2.4167015
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.255711,2.4265235
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.297855,2.4475955
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.225923,3.763933,3.994928
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.295849,2.4465925
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.524229,8.076807,8.300518
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.727284,3.526445,3.6268645
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.985712,3.135549,3.5606305
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.59869,2.285299,2.4419945
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.59869,2.297855,2.4482725
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.170673,5.710719,5.940696
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.6178,6.642079,6.6299395
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.265689,2.4315125
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.957615,7.68931,7.8234625
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.456128,2.527409
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.357826,6.471042,6.914434
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.255711,2.4265235
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.2727,2.435695
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.752886,2.323728,2.538307
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.813513,7.074733,7.444123
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039241,5.839291,5.939266
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.061292,5.645336,6.353314
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.647371,5.642704,6.1450375
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.255711,2.4265235
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.295849,2.4465925
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.269079,2.4332075
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.076706,5.680568,6.378637
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.603388,2.985713,3.7945505
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.467855,5.900018,6.1839365
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.295849,2.4472695
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.305379,2.4520345
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.319882,6.984911,7.1523965
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.021401,6.065914,6.0436575
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.290269,7.081191,7.18573
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.021223,5.936725,5.978974
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.297855,2.4475955
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.295849,2.4465925
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.376084,2.3060755
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.911983,2.483214,2.6975985
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,2.285299,2.260683
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.340975,2.255711,2.298343
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.530354,2.646005,3.0881795
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.872554,2.302292,2.587423
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.900139,3.502947,4.201543
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.285299,2.4413175
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.315065,7.699303,8.007184
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.759735,7.747475,8.253605
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.285299,2.260683
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.297855,2.4482725
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.427912,2.255711,2.3418115
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.285299,2.260683
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.627434,3.117744,2.872589
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.845934,2.761207,2.8035705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.597336,2.285299,2.4413175
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.364746,8.328805,8.8467755
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.529887,4.04608,4.2879835
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.244662,2.295849,2.2702555
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.59869,2.285299,2.4419945
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.695063,4.205063,3.950063
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.597336,2.255711,2.4265235
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.274013,7.493177,7.883595
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.285299,2.260683
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.522628,2.255711,2.3891695
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,2.285299,2.260683
