"","sample","tissue","endometriosis","severity","p202724_s_at","p202723_s_at","FOXO1"
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.694997,10.283254,9.9891255
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.633208,8.486891,8.0600495
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.53501,8.651223,8.0931165
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.592506,8.797613,8.1950595
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.611429,8.077284,8.3443565
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.953399,7.454972,7.2041855
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.390422,11.704989,11.5477055
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.798688,11.871033,11.8348605
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.810057,11.154607,10.982332
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.617762,9.366077,8.9919195
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.278733,11.55225,11.4154915
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.261272,11.682764,11.472018
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.560267,10.296849,10.428558
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.33008,9.582075,9.4560775
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.946175,8.591242,8.2687085
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.479529,8.405795,8.442662
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.649903,8.182709,8.916306
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.754811,7.759568,8.2571895
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.610131,7.949328,8.2797295
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.612865,10.783222,11.1980435
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.752602,10.994956,11.373779
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.242284,7.212295,7.7272895
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.144666,8.07234,8.608503
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.027646,7.987724,8.507685
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.308083,11.606437,11.95726
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.839775,7.802396,8.3210855
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.906883,11.296549,11.601716
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.724271,10.042928,10.3835995
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.222471,12.310164,12.2663175
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.065517,8.07206,8.5687885
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.475233,8.303469,8.889351
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.985064,11.400065,11.1925645
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.559297,11.824912,11.6921045
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.656383,7.535876,7.5961295
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.032935,11.693216,11.3630755
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288549,9.074966,8.1817575
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.71928,11.785035,11.2521575
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.083441,9.40327,9.2433555
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.69781,8.290935,7.9943725
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.332328,12.259806,11.796067
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.332006,8.946321,9.1391635
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.308388,11.602329,10.9553585
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.708378,12.187932,11.948155
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.795879,11.694238,11.2450585
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.598232,10.974509,10.7863705
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.323189,11.710058,11.5166235
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.135874,11.827659,11.4817665
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.062719,8.370215,8.216467
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.724818,9.416704,9.070761
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.349012,8.365711,8.3573615
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.954599,9.267997,9.111298
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.751336,12.486824,12.11908
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288549,8.489344,7.8889465
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.073932,12.505339,11.7896355
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.339014,12.044319,11.6916665
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.334779,8.87567,8.6052245
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.015374,9.899847,9.4576105
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.125921,9.323541,9.224731
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.527117,10.622735,10.074926
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.711008,7.411402,7.561205
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.965038,10.201331,9.5831845
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.989847,10.502074,10.2459605
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.905693,9.294749,11.100221
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.593372,8.433346,10.513359
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.724746,7.855736,9.790241
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.314632,8.184038,10.249335
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.284303,4.958604,7.1214535
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.748309,3.723701,5.736005
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.585333,4.785502,7.1854175
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.034324,11.283546,11.658935
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.090293,10.901798,10.9960455
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.98585,8.561911,8.7738805
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.978617,11.608683,11.79365
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.955886,10.200516,10.578201
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.942823,11.885572,11.9141975
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.518314,9.616005,10.0671595
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.401098,11.783684,12.092391
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.68675,11.885383,12.2860665
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.454956,7.409691,7.9323235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.859378,11.12151,11.490444
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.763077,7.786539,8.274808
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.275338,7.548938,7.912138
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.2942,8.722178,9.008189
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.696421,7.716102,8.2062615
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.347125,11.0866,11.2168625
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.906801,10.978876,11.4428385
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.955089,10.098609,10.526849
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.015177,11.85967,11.9374235
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.167198,11.419276,11.793237
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.943201,8.431074,8.6871375
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.832408,8.94553,9.388969
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.349954,9.73015,10.040052
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.253411,7.789957,8.021684
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.391036,12.194897,12.2929665
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.491057,9.078203,9.28463
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.857501,8.286549,8.572025
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.720791,7.9863,8.3535455
