"","sample","tissue","endometriosis","severity","p204682_at","p223690_at","LTBP2"
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.000409,7.175762,8.0880855
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.480528,9.537528,10.009028
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.281928,8.02672,8.654324
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.616396,9.37658,9.996488
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.669162,7.591185,8.6301735
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.627945,5.304742,5.9663435
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.557334,5.428758,5.993046
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.936642,6.593553,6.2650975
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.050602,5.573057,4.8118295
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.726939,4.925396,3.8261675
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.525482,5.679277,4.6023795
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.530974,7.615745,7.5733595
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.5186,7.468974,7.993787
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.105735,8.033882,8.5698085
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.118403,7.515893,7.817148
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.54335,6.654247,6.5987985
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.798862,5.096956,5.947909
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.726939,4.631867,3.679403
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.131612,9.29725,9.214431
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.876793,5.577417,5.227105
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.987923,10.557423,10.272673
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.166381,5.462169,4.314275
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.418492,5.687338,5.052915
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.4655,7.073244,7.269372
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.589551,10.928293,10.758922
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.380259,7.192204,7.2862315
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.316165,7.152327,7.734246
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.748464,7.748634,7.748549
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.503925,6.5465,6.5252125
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.358023,10.303239,10.330631
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.050602,6.131554,5.091078
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.59126,8.246167,8.4187135
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.895871,6.898414,6.8971425
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.842617,5.679277,4.760947
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.756943,8.329114,8.5430285
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.746557,8.560236,8.6533965
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.363731,11.391056,11.3773935
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.1635,7.771596,7.967548
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.848977,7.148751,7.498864
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.565756,9.539395,9.5525755
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.036748,7.971538,8.004143
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.162797,8.385964,8.2743805
