"","sample","tissue","endometriosis","severity","p1558693_s_at","p225401_at","GLMP"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.869796,9.437396,9.153596
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.614105,10.10152,9.8578125
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.44887,9.046589,8.7477295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.949341,10.257866,10.1036035
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.860669,10.357759,10.109214
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.834324,10.479135,10.1567295
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.997283,11.4387,11.2179915
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.315536,9.771187,9.5433615
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.89037,9.738043,9.3142065
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.385803,10.834887,10.610345
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.238209,10.620364,10.4292865
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.344847,9.871193,9.60802
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.548941,11.001522,10.7752315
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.490655,11.105669,10.798162
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.749706,8.327342,8.038524
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.68364,10.251323,9.9674815
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.068842,10.571549,10.3201955
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.780236,9.315319,9.0477775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.610255,10.066386,9.8383205
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.150671,9.655799,9.403235
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.97591,9.424407,9.2001585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.016707,10.636559,10.326633
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.797782,9.538752,9.168267
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.634498,9.354103,8.9943005
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.962141,10.675867,10.319004
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.562765,10.084846,9.8238055
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.431112,10.990759,10.7109355
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.96004,9.572678,9.266359
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.891328,10.55633,10.223829
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.158445,10.449869,10.304157
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.061888,10.553451,10.3076695
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.605953,11.070911,10.838432
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.270349,10.665537,10.467943
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.210381,9.887314,9.5488475
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.83432,10.169114,10.001717
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.644907,8.283556,7.9642315
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.451762,9.810209,9.6309855
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.707938,9.159807,8.9338725
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.530498,9.048558,8.789528
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.99646,9.624094,9.310277
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.375748,10.033398,9.704573
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.025696,9.500948,9.263322
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.823804,9.358223,9.0910135
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.927883,9.38658,9.1572315
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.224211,8.615173,8.419692
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.860188,9.215569,9.0378785
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.148869,9.706152,9.4275105
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.096522,7.966839,7.5316805
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.616741,8.415029,8.015885
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.154702,7.833061,7.4938815
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.836492,8.565698,8.201095
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.301584,8.087177,7.6943805
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.740201,8.631331,8.185766
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.897952,8.455675,8.1768135
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.410488,7.954711,7.6825995
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.630236,8.361513,7.9958745
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.470351,8.102755,7.786553
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.725411,8.133331,7.929371
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.044141,8.616734,8.3304375
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.742384,8.344393,8.0433885
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.714532,8.335267,8.0248995
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.373048,8.313051,7.8430495
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.948017,9.588115,9.268066
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.071155,8.611102,8.3411285
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.525801,9.987338,9.7565695
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.232108,9.817852,9.52498
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.850364,10.307308,10.078836
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.847559,10.212748,10.0301535
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.466116,9.945545,9.7058305
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.245582,10.858843,10.5522125
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.178625,9.715316,9.4469705
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.019023,10.300988,10.1600055
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.074836,10.637624,10.35623
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.770548,9.302212,9.03638
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.80884,10.354632,10.081736
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.353655,9.767801,9.560728
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.346573,9.849761,9.598167
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.35964,9.703373,9.5315065
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.996651,9.46682,9.2317355
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.943312,9.607984,9.275648
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.1625,9.595578,9.379039
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.054112,9.398665,9.2263885
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.001325,9.476582,9.2389535
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.091091,10.554088,10.3225895
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.120026,9.684367,9.4021965
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.168283,9.511426,9.3398545
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.692254,10.211135,9.9516945
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.391892,9.877656,9.634774
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.834635,9.504343,9.169489
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.85842,10.261026,10.059723
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.91795,10.408014,10.162982
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.668089,9.209881,8.938985
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.269911,9.67428,9.4720955
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.89098,7.40544,7.14821
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.653749,7.281109,6.967429
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.788099,6.74203,6.7650645
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.841156,7.332808,7.086982
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.345922,6.571018,5.95847
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.067833,7.7643,7.4160665
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.999321,7.51002,7.2546705
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.118336,6.801412,6.459874
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.526102,6.850452,6.688277
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.733946,6.935058,6.834502
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.043497,7.59171,7.3176035
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.959219,7.320862,7.1400405
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.626825,7.416862,7.0218435
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.455357,7.9178,7.6865785
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.151756,7.642951,7.3973535
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428463,7.975423,7.701943
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.29599,7.841838,7.568914
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.56327,7.868118,7.715694
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.862887,7.589117,7.226002
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.185695,7.67096,7.4283275
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.676527,7.36644,7.0214835
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.506284,7.95471,7.730497
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.148574,8.776822,8.462698
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.754484,7.270973,7.0127285
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.89811,7.303764,7.100937
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.113759,7.903372,7.5085655
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.768288,7.286558,7.027423
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.276908,7.740634,7.508771
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.430593,7.83027,7.6304315
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.271963,8.014571,7.643267
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.218048,7.79508,7.506564
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.221368,7.85371,7.537539
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.963118,7.729836,7.346477
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027912,7.432198,7.230055
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.285961,7.749741,7.517851
