"","sample","tissue","endometriosis","severity","p220943_s_at","p223560_s_at","p230379_x_at","NDUFAF7"
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.269118,3.372587,4.889898,3.84386766666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.635782,4.047654,5.816333,4.16658966666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.588044,4.095479,4.462723,4.04874866666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.871739,3.968113,5.601696,4.14718266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.635782,3.96497,5.254959,3.95190366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.007833,5.573601,6.661205,5.414213
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.369358,4.682642,5.032296,4.361432
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.054802,3.968113,4.950563,3.99115933333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.948701,5.573601,5.873064,5.13178866666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.931548,3.968113,4.158398,4.019353
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.635782,4.660428,5.280282,4.192164
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.960474,4.657049,6.230244,4.61592233333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.482086,3.968113,5.432505,4.29423466666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.342984,3.895012,3.547731,3.59524233333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91976,5.387032,6.13863,5.148474
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.635782,3.615607,4.158398,3.469929
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.914342,5.120008,5.066909,4.70041966666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,3.520672,4.621564,3.671325
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.918006,4.687049,6.118225,4.57442666666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.20461,4.199425,6.01799,4.47400833333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.931548,3.146968,6.029419,4.36931166666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.867567,4.199425,6.118225,4.72840566666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91976,4.261227,5.78054,4.65384233333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.674328,3.942844,5.579081,4.06541766666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.871739,4.199425,4.686645,3.91926966666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.974264,4.35376,4.850708,4.05957733333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.773213,5.573601,6.118225,5.155013
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.787716,4.268787,6.118225,4.72490933333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,5.645207,5.17013,4.56235866666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.944611,6.264778,5.940666,5.38335166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.636228,4.6063,5.614755,4.285761
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.8893,5.208602,5.633564,4.57715533333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.829951,6.033142,4.825164,4.89608566666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.553812,5.730791,5.847453,5.04401866666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.528616,5.792934,6.26957,5.19704
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.94429,6.188325,5.927337,5.35331733333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.366169,4.448451,5.371662,4.062094
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,5.252179,4.282765,4.135561
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.510334,6.896957,8.087388,7.164893
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.61335,6.396912,8.279206,6.763156
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.256585,7.206299,8.081189,6.84802433333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.257979,6.953402,7.831802,7.01439433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.365555,6.107872,7.459382,6.64426966666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.316254,7.096512,7.878718,7.09716133333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.677646,7.038454,7.868463,6.861521
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.240548,6.599851,7.255991,6.69879666666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.019013,6.68528,7.813021,6.83910466666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.43028,6.675193,7.529802,6.878425
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.056274,6.53641,7.888967,6.827217
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.651305,6.661693,7.247768,6.52025533333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.601621,6.441777,7.375536,6.13964466666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.974038,6.595516,6.605524,6.39169266666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.291236,6.814341,7.996513,7.03403
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.91976,5.012355,5.547969,4.82669466666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.416282,5.573601,4.639458,4.54311366666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.165356,5.685339,5.710518,5.187071
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.52016,5.04655,5.85433,4.80701333333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.621854,3.968113,5.69157,4.427179
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.080318,4.998588,4.950588,4.34316466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.931548,5.405245,5.957432,5.098075
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.484066,4.151016,5.426781,4.35395433333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.45516,5.00295,4.158398,4.20550266666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.871739,4.012183,5.873312,4.25241133333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.297109,4.199425,5.186667,4.22773366666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.871739,5.477474,5.114792,4.48800166666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.018863,4.199425,6.118225,4.44550433333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.502383,5.567876,5.167943,4.74606733333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.738489,5.573601,5.768302,4.693464
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.673091,4.199425,5.095052,4.32252266666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.114521,4.877555,6.320277,4.77078433333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.635782,4.177727,5.944739,4.25274933333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.931548,5.156578,5.626031,4.904719
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.931548,5.573601,6.2974,5.26751633333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.136145,5.427929,6.118225,5.227433
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.308271,3.968113,5.108594,4.128326
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.777295,4.333915,5.966649,4.69261966666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.931548,5.156112,5.829239,4.97229966666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.348211,5.201082,5.146272,4.56518833333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.070668,3.973981,5.353512,4.13272033333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.948135,5.067624,5.804824,4.94019433333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.263742,4.256222,5.715833,4.41193233333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.871739,4.826746,5.145018,4.28116766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.871739,3.968113,6.093477,4.31110966666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.485311,4.736237,6.012145,4.74456433333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.988592,6.223453,7.264779,5.825608
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.271286,5.580985,6.709389,5.85388666666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.301217,6.168459,6.850076,6.106584
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.052731,5.586391,6.355085,5.33140233333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.817186,6.401278,6.746543,5.98833566666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.987016,5.573601,6.455702,5.338773
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.931548,5.65299,6.636045,5.406861
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.326473,5.774504,8.028284,6.043087
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.104853,6.219494,7.897704,6.74068366666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.647761,6.592862,6.775747,6.00545666666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.544087,5.986571,8.040616,6.523758
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.237121,6.078668,7.587874,6.301221
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.683561,6.468281,8.014943,6.38892833333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.462767,6.626119,8.197115,7.09533366666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.741482,6.57793,7.600647,6.64001966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.414976,6.577052,7.53499,6.509006
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.575674,6.597412,8.464336,7.212474
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.017115,6.699869,7.177879,6.29828766666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.103782,7.14292,7.59581,6.947504
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.181975,6.699593,7.514991,6.46551966666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.652217,6.999667,7.696305,6.78272966666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.140009,6.354659,8.408765,6.967811
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.022253,6.545599,7.220999,5.929617
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.386929,5.82714,7.453346,6.555805
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.269145,6.101495,8.000721,6.45712033333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.109235,7.017007,7.276742,6.46766133333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.561711,5.796521,7.688544,6.34892533333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.597448,6.855589,8.006788,6.81994166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.254951,5.833587,7.605157,6.23123166666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.177666,6.456626,7.444372,6.35955466666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.798009,6.969001,7.928086,6.89836533333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.406825,6.761333,7.333424,6.50052733333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.856388,6.539023,7.332179,6.24253
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.679234,6.562785,6.65483,5.96561633333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.541139,6.553735,7.873382,6.98941866666667
