"","sample","tissue","endometriosis","severity","p218318_s_at","p222590_s_at","p222589_at","NLK"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.42326,5.833489,9.023363,7.09337066666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.942891,2.980553,6.635976,4.51980666666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.946541,3.028516,5.241556,4.07220433333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.040399,3.037119,7.115113,4.730877
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.287763,2.980553,5.112357,3.79355766666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.084317,2.980553,6.446293,4.17038766666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.07224,2.980553,6.559888,4.53756033333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.864595,3.093766,5.310745,4.089702
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.109057,3.522413,7.1086,4.91335666666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.273919,2.958189,5.907268,4.04645866666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.946105,2.995548,6.704339,4.548664
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.804171,3.037119,6.158808,4.333366
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.90977,3.037119,6.420674,4.45585433333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.596725,2.980553,5.199631,3.92563633333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69586,2.958189,5.106229,3.92009266666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.593352,3.20164,6.434632,4.07654133333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.037874,2.972974,6.945451,4.65209966666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.528249,3.183057,7.407847,4.70638433333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.314331,3.52705,9.157934,5.99977166666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.360084,2.980553,7.275132,4.871923
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314331,3.372571,7.402776,5.363226
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.601887,3.212771,7.260107,5.02492166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314331,3.725761,8.517121,5.85240433333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.073515,4.455771,7.891488,6.140258
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.322766,3.300501,7.28095,4.96807233333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.364783,3.843356,7.796924,5.66835433333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.595415,3.348182,8.365471,5.76968933333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.142608,4.276929,9.024379,6.48130533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.327508,2.980553,7.09603,4.46803033333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.390201,2.993729,7.146383,4.84343766666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.915298,4.647599,8.769101,6.77733266666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.88683,6.031924,8.673333,7.19736233333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.407386,5.808535,9.01626,7.410727
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.944425,5.296129,8.814196,7.01825
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.311786,6.805271,9.965646,8.360901
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.432543,6.51661,8.666551,7.538568
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.914144,5.598972,8.630998,7.048038
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.405893,6.129548,9.001128,7.51218966666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.34612,5.463876,8.825798,7.21193133333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.044171,6.119274,8.766193,7.30987933333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.196011,5.855934,8.228028,7.09332433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.466041,4.953863,8.471542,6.630482
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.773663,6.18699,9.82321,8.26128766666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.775099,5.446634,8.336302,6.85267833333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.558006,5.850017,8.39293,6.933651
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.307269,3.178858,6.080464,4.85553033333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.471774,4.6451,8.357141,6.49133833333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.421063,3.458082,7.652292,5.510479
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.471576,3.609829,6.088553,4.72331933333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.797387,2.958189,6.580155,4.44524366666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.405501,2.958189,6.614085,4.65925833333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.631809,3.201719,7.313631,4.71571966666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.231087,3.145977,5.740345,4.37246966666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.85218,5.785411,8.616078,7.08455633333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90977,2.980553,6.370965,4.42042933333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.986362,2.958189,5.981603,4.308718
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.66633,3.25902,7.362489,5.09594633333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.517328,3.037119,6.772982,4.44247633333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.314331,3.609829,7.395801,5.439987
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.299813,2.980553,6.942214,4.74086
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90977,3.124775,6.665573,4.566706
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.314331,2.982235,6.404031,4.900199
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.910699,3.037119,7.852912,4.93357666666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.036279,3.609829,7.036638,5.227582
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.529846,3.214573,7.484554,5.07632433333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.147083,3.041515,7.070396,4.752998
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.528366,2.980553,6.560659,4.68985933333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.943602,2.996794,6.778411,4.57293566666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.15195,3.007033,7.12429,5.09442433333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.324902,3.366812,7.049183,4.580299
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.275983,3.20124,7.917175,5.46479933333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.756609,2.980553,7.435865,5.05767566666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.450187,3.030882,7.117419,4.86616266666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.855524,3.609829,6.040673,4.835342
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.420017,3.31993,8.167131,5.63569266666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.003882,4.886949,8.80413,6.564987
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.235919,4.751939,8.386183,6.45801366666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.546007,5.253767,7.923915,6.574563
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.027109,3.609829,7.4101,5.682346
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.200835,5.380896,7.522461,6.368064
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.237659,5.803262,7.913171,6.651364
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.822764,4.289355,7.596516,5.90287833333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.314331,3.572435,8.020592,5.635786
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.869559,3.609829,9.017708,6.16569866666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.314331,3.386262,8.370267,5.69028666666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.341045,5.211517,9.000878,7.18448
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.644187,7.385727,11.03875,9.022888
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.840907,4.436286,8.533639,6.27027733333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.89381,6.127827,9.602915,7.87485066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.045355,4.309225,8.655682,6.336754
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.931584,3.518946,8.247042,5.89919066666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.024799,4.352419,8.578059,6.31842566666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.360053,4.423691,8.981613,6.58845233333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.624697,5.021215,8.741821,6.795911
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.731617,6.163635,9.15905,7.68476733333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.455508,5.303059,9.243601,7.334056
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237511,5.008848,8.577819,6.94139266666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.592502,4.575593,9.182956,6.78368366666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.807225,4.834076,8.521534,6.720945
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.311371,6.999132,10.037576,8.44935966666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.229972,4.466837,8.96154,6.552783
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.105746,5.321278,8.46005,6.962358
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.491684,5.892351,9.394747,7.59292733333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.041872,5.262583,8.198645,6.83436666666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.804308,4.464711,8.760358,6.34312566666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.770683,4.394797,8.250938,5.80547266666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.947097,4.842446,8.281004,6.69018233333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.787062,5.657425,8.340601,6.92836266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.536007,3.609829,8.304357,6.15006433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.961399,4.260745,8.678943,6.63369566666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.047426,4.934406,8.757209,6.91301366666667
