"","sample","tissue","endometriosis","severity","p212455_at","p228556_at","YTHDC1"
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.397392,6.520201,8.4587965
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.293733,6.601247,8.44749
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.046906,5.873762,8.460334
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.001985,6.435477,8.718731
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.350319,8.472633,9.911476
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.741905,5.735491,8.738698
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.835468,6.717305,8.7763865
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.803202,6.26122,8.532211
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.165946,6.038,8.601973
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.407161,5.845776,8.6264685
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.918656,5.848648,8.883652
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.984031,6.00493,8.9944805
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.527698,5.757979,8.6428385
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.939799,6.264512,9.1021555
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.675598,5.613222,8.64441
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.346184,5.024916,8.18555
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.409717,5.32761,8.3686635
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.259504,5.688238,8.473871
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.999416,7.498809,9.2491125
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.270313,5.849374,8.5598435
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.856064,6.969043,8.9125535
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.114225,5.845776,8.4800005
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.331463,6.086285,8.708874
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.715408,7.314308,9.014858
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.362021,7.060793,9.211407
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.962855,6.649823,8.806339
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.967139,6.389054,8.1780965
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.010922,7.093146,8.552034
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.044367,6.365031,8.204699
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.724717,6.656544,8.6906305
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.921401,6.386283,8.153842
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.133846,6.531242,8.332544
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.437275,7.703847,8.570561
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.779879,6.362735,8.071307
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.010399,7.219997,9.115198
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.004634,6.876386,8.44051
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.415514,6.713041,8.5642775
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.091963,7.153025,8.622494
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.401294,7.17016,8.785727
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.640553,8.12958,8.3850665
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.403476,7.163387,8.2834315
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.535167,6.983936,8.7595515
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.229497,5.768932,8.4992145
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.088727,6.683207,8.385967
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.239556,6.640023,7.9397895
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.514757,6.9635,8.7391285
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.614932,7.192713,8.9038225
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.705659,5.521641,8.11365
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.796841,7.651795,8.724318
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.78712,6.731197,8.7591585
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.44594,5.83337,8.139655
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.999474,6.377903,8.1886885
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.68957,6.901375,8.7954725
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.240641,5.434848,8.3377445
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.109159,5.915622,8.5123905
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.506801,5.906195,8.706498
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.675613,6.094003,8.884808
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.385905,4.940936,8.1634205
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.167513,5.845776,8.5066445
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.73551,5.722072,8.228791
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.216377,5.50792,8.3621485
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.178792,4.78757,8.483181
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.074627,4.611835,8.343231
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.707665,6.968224,9.3379445
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.577451,4.619854,8.0986525
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.916077,4.589973,8.253025
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.569848,6.689894,9.129871
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.12147,4.78757,8.45452
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.022777,3.909916,7.9663465
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.521843,5.396621,8.459232
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.255761,4.835516,8.5456385
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.818085,5.813299,8.815692
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.454954,7.519938,9.487446
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.763698,7.157238,9.460468
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.715846,7.46072,9.588283
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.753258,4.778722,8.26599
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.601908,6.827527,9.2147175
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.631903,6.176672,8.9042875
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.066002,4.78757,8.426786
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.429362,7.12646,9.277911
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.845995,5.907055,8.876525
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.320441,6.348629,8.834535
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.842943,4.664015,8.253479
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.344543,5.056023,8.700283
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.368089,6.689928,9.0290085
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.57714,6.380459,8.9787995
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.375968,6.26122,8.818594
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.3661,6.337804,8.851952
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.321399,6.860696,9.0910475
