"","sample","tissue","endometriosis","severity","p221710_x_at","p220134_x_at","EVA1B"
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.458526,11.503872,11.981199
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.39137,10.480288,10.935829
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.319686,9.512407,9.9160465
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.128017,10.320067,10.724042
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.801137,10.898672,11.3499045
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.122345,11.061684,11.5920145
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.571786,10.621467,11.0966265
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.808223,9.950087,10.379155
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.96262,11.142928,11.552774
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.984304,10.960959,11.4726315
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.60804,11.532841,12.0704405
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.600229,10.727161,11.163695
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.880235,9.159702,9.5199685
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.270671,10.318739,10.794705
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.04121,9.090456,9.565833
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.679187,10.729899,11.204543
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.934901,9.901809,10.418355
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.51684,8.424718,8.970779
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.204135,9.501235,9.852685
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.441184,10.396736,10.91896
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.806938,9.962984,10.384961
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.170128,9.068389,9.6192585
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.590522,10.583915,11.0872185
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.521364,8.504684,9.013024
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.662977,9.796443,10.22971
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.93739,10.832578,11.384984
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.564031,8.637199,9.100615
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.538886,8.572042,9.055464
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.975082,8.064292,8.519687
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.949814,9.085247,9.5175305
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.002267,7.71251,8.3573885
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.324901,9.29274,9.8088205
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.479245,8.570644,9.0249445
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.367981,8.385217,8.876599
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.804793,7.75177,8.2782815
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.392195,8.449776,8.9209855
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.485922,8.600881,9.0434015
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.214504,9.181969,9.6982365
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.060861,8.180164,8.6205125
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.352813,8.315705,8.834259
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.474712,8.679853,9.0772825
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.949099,9.778557,10.363828
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.053904,9.090876,9.57239
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.263219,11.234505,11.748862
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.573303,9.601059,10.087181
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.489167,10.491897,10.990532
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.200175,10.319156,10.7596655
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.312887,10.386861,10.849874
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.553779,10.490027,11.021903
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.967198,8.91727,9.442234
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.90702,11.991667,12.4493435
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.789307,11.822967,12.306137
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.291198,8.608357,8.9497775
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.775861,9.787674,10.2817675
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.519401,10.424641,10.972021
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.814677,9.598657,10.206667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.699812,9.661984,10.180898
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.924249,10.020208,10.4722285
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.676332,9.769111,10.2227215
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.692645,9.904462,10.2985535
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.999049,9.059838,9.5294435
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.967314,9.955746,10.46153
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.907366,10.700214,11.30379
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.853184,8.747921,9.3005525
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.422027,9.41735,9.9196885
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.345175,10.416103,10.880639
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.637158,10.594555,11.1158565
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.279409,9.368286,9.8238475
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.35932,10.482703,10.9210115
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.356588,10.480624,10.918606
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.526043,9.614159,10.070101
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.281322,9.280667,9.7809945
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.630706,6.910125,7.2704155
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.248656,6.347904,6.79828
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.530285,6.566103,7.048194
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.563875,7.690508,8.1271915
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.560878,7.711854,8.136366
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.618268,7.915517,8.2668925
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.734386,8.494284,9.114335
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.970133,7.239489,7.604811
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.993426,8.135662,8.564544
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.326103,7.421971,7.874037
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.33238,6.700014,7.016197
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.932037,7.913947,8.422992
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.436847,6.220641,6.828744
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.303278,8.316056,8.809667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.343931,7.526366,7.9351485
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.862845,7.965652,8.4142485
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.344328,7.376209,7.8602685
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.514791,8.521583,9.018187
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.182738,7.301288,7.742013
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.737123,8.157097,8.44711
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.599301,7.62799,8.1136455
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.723787,7.345398,8.0345925
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.80863,8.887995,9.3483125
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.251367,6.598151,6.924759
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.609709,7.766817,8.188263
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.022793,7.953456,8.4881245
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.380049,6.738082,7.0590655
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.536992,7.630372,8.083682
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.343803,7.725399,8.034601
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.731068,8.752581,9.2418245
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.208058,8.117494,8.662776
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.602762,7.758035,8.1803985
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.020369,7.877462,8.4489155
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.011919,7.467474,7.7396965
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.118547,7.409354,7.7639505
