"","sample","tissue","endometriosis","severity","p203717_at","p203716_s_at","p211478_s_at","DPP4"
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.642116,2.655766,2.236067,3.177983
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.117684,2.636941,2.268411,3.341012
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.68939,2.653296,2.748695,3.697127
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.277994,2.644744,2.268411,3.06371633333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.036223,2.653296,2.268411,2.98597666666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.896934,2.711966,2.528591,3.37916366666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.454863,2.653296,2.2369,3.11501966666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.49721,2.653296,3.226883,3.792463
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.576323,8.966182,10.049296,9.86393366666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.171155,10.114845,11.030446,10.7721486666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.467827,2.661276,2.268618,3.13257366666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.571055,6.955832,7.880029,7.80230533333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.995534,2.653296,2.268411,2.97241366666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.375496,2.653296,2.236248,3.08834666666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.036223,2.653296,2.236067,2.97519533333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.700546,2.653296,2.268411,3.20741766666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.722205,2.697866,3.275549,4.23187333333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.036223,2.653296,2.268411,2.98597666666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.233747,2.653296,2.268411,3.38515133333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.40274,10.359058,11.17053,10.9774426666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.893723,2.653296,2.268411,3.27181
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.089462,2.653296,2.236278,2.993012
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.314964,2.653296,2.274074,3.41411133333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.702173,7.182208,7.536308,7.80689633333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.430596,2.653296,2.265151,3.11634766666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.215162,9.802525,10.498252,10.505313
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896934,2.654848,2.268618,3.27346666666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.375886,2.653296,2.268411,3.09919766666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.084246,2.653296,2.260824,2.99945533333333
