"","sample","tissue","endometriosis","severity","p200792_at","p215308_at","XRCC6"
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.305857,4.784209,7.545033
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.506503,4.742405,7.624454
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.214254,2.995873,6.1050635
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.226225,4.386288,7.3062565
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.479547,4.017465,7.248506
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.941379,3.951082,6.9462305
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.58528,4.418639,7.5019595
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.994846,4.14107,7.567958
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.272768,3.353284,7.313026
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.289225,4.308286,7.2987555
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.417825,3.081233,7.249529
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.769434,3.553464,7.661449
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.091209,3.443417,7.267313
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.912986,3.009541,6.9612635
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.560687,3.569534,7.5651105
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.276918,4.04744,7.662179
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.41719,2.835804,7.126497
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.62177,4.266472,7.944121
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.011583,3.582745,7.297164
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.374521,2.884148,7.1293345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.211111,2.862882,7.5369965
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.266317,2.236067,7.251192
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.011459,2.662477,7.336968
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.949382,2.246063,7.0977225
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.186827,2.835804,7.5113155
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.008152,2.237311,7.1227315
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.13861,2.810196,7.474403
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.209955,2.246756,7.2283555
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.143071,2.300137,7.221604
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.013368,2.835804,7.424586
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.066537,2.236298,7.1514175
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.0672,2.405526,7.236363
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.52882,2.884148,7.706484
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.40612,2.449183,7.4276515
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.375046,2.463526,7.419286
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.469123,3.717917,7.59352
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.876937,3.047857,7.462397
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.442427,3.047162,7.2447945
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.908772,4.538977,7.7238745
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.520637,4.441557,7.481097
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.739826,3.009541,6.8746835
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.310475,3.009541,7.160008
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.607758,4.702103,7.6549305
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.173157,4.32327,7.7482135
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.795032,4.62666,7.210846
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.486995,4.979146,7.7330705
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.247236,3.011192,7.129214
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.674418,4.540528,7.607473
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.955876,4.681659,7.8187675
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.983881,4.052338,7.5181095
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.566075,4.537934,7.5520045
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.711182,4.980157,7.8456695
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.325776,4.371417,7.3485965
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.230138,4.455302,7.84272
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.608459,4.868602,8.2385305
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.5434,4.595989,8.0696945
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.534472,3.56494,7.049706
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.003274,4.570465,7.7868695
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.123541,5.04454,8.0840405
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.238265,5.397551,8.317908
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.692098,3.063856,6.877977
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.582334,3.640107,7.6112205
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.195132,4.803324,7.999228
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.77266,3.295242,7.033951
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.00957,5.022658,8.016114
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.46819,3.90345,7.68582
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.649253,3.009541,7.329397
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.508213,3.009541,7.258877
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.59742,3.475741,7.5365805
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.738958,2.835804,7.287381
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.941799,2.995873,7.468836
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.138345,2.995873,7.567109
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.17877,2.916891,7.5478305
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.192436,2.835804,7.01412
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.560482,2.847553,7.2040175
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.668744,2.985054,7.326899
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.850207,2.835804,7.3430055
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.696632,2.835804,7.266218
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.629836,2.968108,7.298972
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.427053,2.835804,7.1314285
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.515127,2.995873,7.2555
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.554049,2.995873,7.274961
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.401042,2.835804,7.118423
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.522778,2.889219,7.2059985
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.775217,2.964086,7.3696515
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.514415,2.995873,7.255144
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.665257,2.835804,7.2505305
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.496465,2.884148,7.1903065
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.259513,2.884148,7.0718305
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.550948,2.835804,7.193376
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.364175,2.884148,7.1241615
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.448345,2.995873,7.222109
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.342767,2.850801,7.096784
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.956278,2.845682,7.40098
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.905275,2.835804,7.3705395
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.121107,2.883684,7.0023955
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.768206,2.995873,7.3820395
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.427852,3.377037,7.4024445
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.570673,2.995873,7.283273
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.648942,2.868283,7.2586125
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.718843,2.995873,7.357358
