"","sample","tissue","endometriosis","severity","p222680_s_at","p218585_s_at","DTL"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.521892,5.345903,3.9338975
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.498747,6.438151,4.468449
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.521892,6.282059,4.4019755
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.662178,6.468353,4.5652655
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.242273,4.772963,3.507618
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.350395,6.696528,4.5234615
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31015,3.022731,2.6664405
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.31015,5.198754,3.754452
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.317896,5.439909,3.8789025
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.595385,5.735524,4.1654545
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.645688,8.272275,6.4589815
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.19952,6.415669,5.3075945
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31015,3.022731,2.6664405
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.31015,4.378215,3.3441825
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.705737,5.822855,4.264296
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.889503,6.391418,4.6404605
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.521892,4.044223,3.2830575
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.317896,5.419431,3.8686635
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.424087,7.334294,5.3791905
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.309845,7.967908,5.6388765
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.421893,8.646705,7.034299
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.317896,5.722941,4.0204185
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.589249,5.824425,4.206837
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.543689,6.609546,5.0766175
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.710859,5.898808,4.3048335
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.758971,5.963894,4.3614325
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.416766,6.961776,5.189271
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.751917,6.166755,4.459336
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.705737,5.036724,3.8712305
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.121992,7.71013,6.416061
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.706426,6.287227,4.4968265
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.166097,7.781476,5.9737865
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.257208,10.124166,8.690687
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.317562,9.257658,7.78761
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.122065,8.71399,6.9180275
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.71112,6.335082,4.523101
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.334409,5.805926,4.0701675
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.308568,8.835228,7.071898
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.260615,8.963485,7.61205
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.956346,9.692013,8.3241795
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.65097,5.805377,4.2281735
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.11778,8.572308,6.845044
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.585539,5.979871,4.282705
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314265,8.985268,7.6497665
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.53891,5.908031,4.2234705
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.7678,9.42778,8.09779
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.793537,9.627669,8.210603
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,5.884674,4.2952055
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.521892,5.708533,4.1152125
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.848369,8.33565,6.5920095
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,5.805727,4.255732
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,5.708533,4.207135
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.657183,6.222509,4.439846
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.710082,9.44606,8.078071
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.002328,7.462854,6.232591
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.317896,3.762463,3.0401795
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.427451,5.708533,4.067992
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.286926,2.881803,2.5843645
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.438828,5.349735,3.8942815
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.318052,4.390341,3.3541965
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.961041,7.02152,4.9912805
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,6.834091,4.769914
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.653142,6.197446,4.425294
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.755829,8.380933,6.568381
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.152155,8.021082,6.0866185
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.468848,8.108458,6.288653
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.966984,8.511858,6.739421
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,6.064776,4.3852565
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.22764,7.187058,5.207349
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.31015,3.532928,2.921539
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,5.782829,4.244283
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.283957,7.7118,5.4978785
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.644193,4.345503,3.494848
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.002641,8.79399,6.8983155
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.881702,6.617253,4.7494775
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.705737,7.64035,5.1730435
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.521892,5.805926,4.163909
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.917328,7.233728,5.575528
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.705737,6.110729,4.408233
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.354842,4.23926,3.297051
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.462404,5.805926,4.134165
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.31015,5.045163,3.6776565
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.568645,8.698451,7.133548
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.571483,7.758752,6.1651175
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.156827,9.750503,7.953665
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.31015,4.269211,3.2896805
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.472144,5.746967,4.1095555
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.304965,8.020355,6.16266
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.317896,5.566924,3.94241
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.383677,7.472846,5.4282615
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.587115,4.783789,3.685452
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.342217,4.617869,3.480043
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.539159,5.805926,4.1725425
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.521892,6.284825,4.4033585
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.224938,7.726695,5.4758165
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.31015,3.461564,2.885857
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.818991,9.201235,7.510113
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.574487,8.066457,6.320472
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.184114,8.532194,6.858154
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.922138,9.602375,7.7622565
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.81248,7.12542,4.96895
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.617153,5.5369,4.0770265
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.753784,7.327216,5.5405
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.965059,6.409343,4.687201
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.317896,5.292216,3.805056
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.6562,9.366233,7.5112165
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.656839,9.135544,7.3961915
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.31015,2.765029,2.5375895
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.110089,8.760379,6.935234
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.317896,5.893332,4.105614
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.557451,9.475759,7.516605
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.549308,9.07421,7.311759
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.647672,9.011075,7.3293735
