"","sample","tissue","endometriosis","severity","p48580_at","p218058_at","CXXC1"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.313989,8.922087,9.118038
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.708763,8.597306,8.6530345
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.302018,8.94705,9.124534
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.496593,9.168239,9.332416
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.257468,8.843424,9.050446
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.586483,9.274452,9.4304675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.496278,8.811333,9.1538055
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.423837,9.016231,9.220034
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.172561,8.61634,8.8944505
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.649663,9.322971,9.486317
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.806191,9.458993,9.632592
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.406622,9.153629,9.2801255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.120712,9.604058,9.862385
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.538577,9.320414,9.4294955
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.639208,8.184346,8.411777
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.100202,9.034911,9.0675565
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.516289,9.019704,9.2679965
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.626654,8.066414,8.346534
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.217333,8.414944,8.8161385
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.262914,8.652364,8.957639
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.720693,8.442038,8.5813655
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.662165,9.380084,9.5211245
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.726021,7.944309,8.335165
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768969,8.245415,8.507192
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.992435,8.861383,8.926909
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.032429,8.292747,8.662588
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.850453,9.40447,9.6274615
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.2331,8.968455,9.1007775
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.068664,8.445078,8.756871
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.092466,8.290335,8.6914005
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.316733,8.87757,9.0971515
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.792156,7.958026,8.375091
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.603451,9.165876,9.3846635
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.598439,9.323633,9.461036
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.446618,8.879468,9.163043
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.045532,7.46688,7.756206
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.281555,8.752516,9.0170355
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.639858,8.603437,8.6216475
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.519981,7.872488,8.1962345
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.092316,8.489167,8.7907415
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.086772,8.725988,8.90638
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.64311,8.459396,8.551253
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.600246,8.38189,8.491068
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.486165,8.005965,8.246065
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.505057,8.110467,8.307762
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.630761,9.044001,9.337381
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.32722,8.965681,9.1464505
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.376464,7.476567,7.9265155
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260768,7.703642,7.982205
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.75117,8.398228,8.574699
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.547967,8.01605,8.2820085
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.261719,7.790652,8.0261855
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.9212,8.240439,8.5808195
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.647561,8.034847,8.341204
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.457277,8.062116,8.2596965
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.193314,7.780052,7.986683
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.446546,7.812818,8.129682
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.190828,7.593245,7.8920365
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.450276,8.054487,8.2523815
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.833473,8.258211,8.545842
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.472153,8.11608,8.2941165
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.426426,7.612956,8.019691
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.909114,8.183687,8.5464005
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.642756,8.453004,8.54788
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.72021,8.387423,8.5538165
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.839584,8.687965,8.7637745
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.477796,9.371344,9.42457
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.157319,8.979962,9.0686405
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.92692,8.493296,8.710108
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.531044,9.120023,9.3255335
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.898191,8.623216,8.7607035
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.356631,8.753128,9.0548795
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.511442,9.175078,9.34326
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.476233,7.965412,8.2208225
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.986044,8.058258,8.522151
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.027547,8.615845,8.821696
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.878614,8.622627,8.7506205
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.899844,8.422179,8.6610115
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.575261,9.302073,9.438667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.566881,8.120913,8.843897
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.189362,9.070194,9.129778
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.898184,8.59984,8.749012
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.89471,8.623269,8.7589895
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.69505,9.418422,9.556736
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.074133,8.549652,8.8118925
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.743339,8.440989,8.592164
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.081738,8.776872,8.929305
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.621763,9.551162,9.5864625
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.136345,8.6319,8.8841225
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.485663,9.173219,9.329441
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.415371,9.284945,9.350158
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.094465,8.599805,8.847135
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.013119,8.707126,8.8601225
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.5046,7.878465,8.1915325
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.024811,7.67608,7.8504455
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.107053,7.7542,7.9306265
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.676027,7.732254,8.2041405
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739884,8.0769,8.408392
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.044195,8.085777,8.564986
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.40112,8.278147,8.8396335
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.329823,8.243831,8.286827
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.454832,8.311838,8.383335
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.024518,7.598064,7.811291
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.195066,8.194001,8.1945335
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.101615,7.773759,7.937687
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.358572,6.507258,6.932915
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.404437,8.188216,8.2963265
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.151773,8.082525,8.117149
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.083975,7.733792,7.9088835
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.665109,8.465317,8.565213
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.069806,7.773453,7.9216295
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609671,7.146109,7.37789
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609989,7.416094,7.5130415
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.859981,7.40657,7.6332755
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.297873,8.184804,8.2413385
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.141748,7.655604,7.898676
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.853146,7.866729,7.8599375
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.101338,7.511605,7.8064715
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.1861,6.985504,7.085802
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.74014,7.508979,7.6245595
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.25714,7.96147,8.109305
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.335988,7.928504,8.132246
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.452464,8.202308,8.327386
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.010441,7.57087,7.7906555
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.011564,7.658715,7.8351395
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.963417,7.503881,7.733649
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.636463,6.965688,7.3010755
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.011077,7.703542,7.8573095
