"","sample","tissue","endometriosis","severity","p221449_s_at","p227191_at","ITFG1"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.046229,4.133344,4.5897865
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.164606,3.373526,5.269066
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.15809,3.457629,4.8078595
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.862311,4.053473,3.457892
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.159364,3.76895,3.964157
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.176647,4.366507,6.271577
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.183558,4.268779,5.2261685
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.524023,3.847504,3.6857635
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.184212,3.821337,4.0027745
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.526826,4.808757,6.1677915
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.862311,2.236067,2.549189
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.653377,3.196999,4.425188
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.451821,5.200549,7.326185
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.063544,3.806758,5.435151
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.821094,4.577137,5.1991155
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.281435,4.543235,6.912335
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.636177,3.769214,4.7026955
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.488614,3.385911,3.9372625
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.36595,5.02682,5.696385
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.338569,3.316283,5.327426
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.348072,3.670193,4.0091325
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.887781,5.022649,6.455215
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.732527,3.589494,5.1610105
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.757564,4.484339,5.6209515
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.524023,3.385911,3.454967
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.074689,4.133344,4.6040165
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307458,3.527624,5.417541
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.918046,4.099471,4.0087585
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.763063,3.680232,3.7216475
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.170301,4.002981,5.086641
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.253122,4.752184,5.502653
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.630088,3.81834,5.724214
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.47077,4.133344,5.802057
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.075567,5.109033,7.0923
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.533373,4.140291,5.836832
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.239132,4.134091,6.6866115
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.454515,4.478076,6.9662955
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.57278,4.133344,6.353062
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.324104,4.081933,6.2030185
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.503022,4.742059,7.1225405
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.984272,4.224386,6.604329
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.117985,4.823629,6.970807
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.539351,4.916393,7.227872
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.367913,4.033958,5.7009355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.750844,4.137554,6.444199
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.233287,6.166172,7.6997295
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.626035,5.928678,7.7773565
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.314009,5.858844,7.5864265
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.925956,5.981595,7.9537755
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.666206,5.644151,7.6551785
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.664681,5.814053,7.739367
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.373244,5.463869,7.4185565
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.898659,5.840545,7.869602
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.89772,5.649893,7.7738065
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.773824,6.355901,8.0648625
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.870502,6.461859,8.1661805
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.833002,6.140426,7.986714
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.173748,4.902267,7.0380075
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.684849,6.083421,7.884135
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.427875,6.102565,7.76522
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.395667,4.12053,6.2580985
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.951924,4.38585,7.168887
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.170884,5.521601,7.3462425
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.691629,3.617118,5.6543735
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.874328,4.493342,5.183835
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.550772,3.740796,5.645784
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.203133,4.775313,6.489223
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.402181,3.712711,5.557446
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.810676,3.68428,6.247478
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.90546,4.628156,3.766808
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.371841,2.934832,5.1533365
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.652198,4.536127,6.5941625
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.957427,4.133344,6.0453855
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.605793,4.133344,6.3695685
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.997463,3.81715,5.9073065
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.424012,3.552305,5.4881585
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.524023,3.599541,3.561782
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.02755,4.215497,4.1215235
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.14934,4.304648,6.226994
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.469735,4.452135,6.460935
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.164663,4.209628,6.1871455
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.660272,3.879913,4.7700925
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.993782,4.344855,6.1693185
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.311788,4.133344,6.222566
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.968238,4.216487,6.0923625
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.868309,4.133344,5.0008265
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.831146,5.02516,6.428153
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.355212,4.133344,6.244278
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.160813,4.045901,5.603357
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.02074,4.527773,6.2742565
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.910985,4.224671,6.567828
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.599693,5.51866,7.0591765
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.306754,4.710673,7.0087135
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.600383,4.133344,6.3668635
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.829774,3.762608,6.296191
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.931435,4.528031,6.729733
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.405246,4.133344,6.269295
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.986128,4.133344,6.059736
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.620615,6.436982,7.5287985
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.106319,5.770622,7.4384705
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.886352,5.527186,7.206769
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.255508,5.130231,7.1928695
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.831736,6.05781,7.444773
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.894128,5.120017,7.0070725
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.243024,5.113682,7.178353
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.013293,5.035978,7.0246355
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.262034,5.154624,7.208329
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.927556,5.79216,7.359858
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.099826,4.095142,6.597484
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.646704,6.120928,7.883816
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.046996,5.490824,7.26891
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.906371,5.73382,7.3200955
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.374459,6.21381,7.7941345
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.225114,5.389219,7.3071665
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.287169,4.967541,7.127355
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.947794,5.717293,7.3325435
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.447037,5.486364,7.4667005
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.343661,4.438528,6.8910945
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.938935,5.643494,7.2912145
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.806458,5.694013,7.2502355
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.931755,3.191681,6.061718
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.078213,5.232102,7.1551575
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.293367,4.50486,6.8991135
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.8487,5.867019,7.3578595
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.897481,5.523489,7.210485
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.896364,5.566805,7.2315845
