"","sample","tissue","endometriosis","severity","p241774_at","p225724_at","PSMA3-AS1"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.452641,5.760531,4.606586
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.452641,6.794067,5.123354
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.022971,5.074259,5.048615
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.478093,5.348932,4.9135125
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.923795,9.491618,7.7077065
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.366058,7.404632,5.885345
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.476067,6.61414,5.0451035
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.295215,8.991293,7.143254
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.827965,7.186785,6.007375
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.452641,5.352187,4.402414
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.992452,6.775031,5.3837415
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.987459,6.327018,5.1572385
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.452641,6.107121,4.779881
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.269236,7.554045,6.4116405
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.84738,5.533346,4.690363
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.295215,8.660836,6.9780255
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.979754,6.141411,4.5605825
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.905766,5.577528,4.741647
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.188398,6.246713,5.7175555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.716626,4.973948,4.345287
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.452641,5.074259,4.26345
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.677253,5.886324,4.2817885
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.499725,7.510961,6.005343
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.337857,8.093801,6.715829
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.067656,8.127982,6.097819
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.60582,9.215021,7.4104205
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.017921,8.74418,6.8810505
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.467051,9.057636,7.7623435
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.11648,9.795706,8.456093
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,7.749185,6.5222
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.600168,7.88759,6.243879
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.706556,8.597601,6.1520785
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.641721,9.122678,7.3821995
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.483502,9.878912,7.681207
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.131882,10.321439,9.2266605
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.002813,8.862436,6.9326245
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.907925,8.823453,6.865689
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.296732,9.516016,7.406374
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.211701,9.312297,7.261999
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.710273,10.18202,8.4461465
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.67433,9.61866,7.646495
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.506632,9.447725,7.9771785
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.708479,10.080234,8.3943565
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.544384,9.965969,8.2551765
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.295215,9.557089,7.426152
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.302771,9.354975,7.328873
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.400264,9.585906,7.493085
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.581977,8.614347,6.098162
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.864335,9.319715,7.092025
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.354029,8.821999,6.088014
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.295215,9.205581,7.250398
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.317889,9.570978,7.4444335
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.209606,7.961783,6.5856945
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368565,8.304512,6.3365385
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.009715,9.134496,7.5721055
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.295215,7.661494,6.4783545
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.741377,6.493999,5.617688
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.295215,7.464366,6.3797905
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.349785,8.939033,7.144409
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.563722,7.008511,5.7861165
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.209522,7.450001,6.3297615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.848653,5.483241,5.165947
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.927607,6.104794,5.0162005
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.032718,8.388611,7.2106645
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.452641,6.180621,4.816631
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.72734,8.135006,6.931173
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.264785,7.700617,6.482701
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.295215,7.916316,6.6057655
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.958392,4.798542,4.378467
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.363196,4.795353,4.0792745
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.295215,7.935055,6.615135
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.916459,9.100089,8.008274
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.818287,7.524082,6.1711845
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.192585,5.868944,5.0307645
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.924455,7.23001,6.0772325
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.578109,8.020673,6.799391
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.521148,7.424234,5.972691
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.204927,6.458356,4.8316415
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.580556,8.259046,6.919801
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780519,8.135046,6.4577825
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.387142,8.043058,6.2151
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.295215,7.736578,6.5158965
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039897,8.771425,7.405661
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.98208,10.171883,8.0769815
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.629665,9.892393,7.761029
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.907486,10.282502,8.094994
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.436594,9.907398,7.671996
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.149806,10.121058,7.635432
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.145169,9.512337,6.828753
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.236845,9.335377,6.786111
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.439553,11.07074,9.2551465
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.643994,11.29029,9.467142
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.489045,10.414261,8.951653
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.126127,10.111712,8.6189195
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.817561,11.311744,9.5646525
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.330725,9.992064,8.6613945
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.468294,11.286678,9.377486
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.553337,10.875506,8.7144215
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.888063,10.278965,8.083514
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.208275,11.802372,10.0053235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.740283,10.452281,8.596282
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.09984,9.808151,7.9539955
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.60105,10.744268,9.172659
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.575872,10.860245,9.2180585
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.579612,11.013044,9.296328
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.066286,10.420133,8.7432095
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.401321,10.462959,8.93214
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.684236,11.025549,8.3548925
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.509141,10.092049,8.800595
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.491217,10.737104,9.1141605
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.479606,10.66981,9.074708
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966207,11.092099,9.029153
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.625657,9.736831,7.681244
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.500526,10.837801,9.1691635
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.284657,10.282653,8.783655
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.085539,10.653854,8.8696965
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.170414,10.372271,8.7713425
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.130139,10.41994,8.7750395
