"","sample","tissue","endometriosis","severity","p200968_s_at","p200967_at","PPIB"
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.514102,14.716974,14.115538
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.508256,14.424013,13.9661345
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.998179,14.711267,14.354723
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.908752,14.816338,14.362545
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.143297,14.922111,14.532704
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.230939,14.938469,14.584704
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.167658,14.892203,14.5299305
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.629135,14.556204,14.0926695
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.695463,14.729055,14.212259
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.179148,14.973894,14.576521
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.316466,15.010254,14.66336
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.915541,14.842058,14.3787995
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.736912,14.707962,14.222437
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.167026,14.912487,14.5397565
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.08798,15.011925,14.5499525
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.130651,14.929173,14.529912
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.695927,14.649853,14.17289
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.226127,15.021196,14.6236615
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.248647,14.958972,14.6038095
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.193417,14.301546,13.7474815
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.221124,14.103288,13.662206
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.751115,14.714977,14.233046
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.848369,14.780109,14.314239
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.84965,14.751698,14.300674
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.940143,14.785239,14.362691
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.9323,14.851258,14.391779
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.227003,15.011781,14.619392
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.038775,14.126819,13.582797
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.800189,14.705362,14.2527755
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.418618,14.633172,14.025895
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.450758,14.356058,13.903408
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.779048,13.952903,13.3659755
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.599822,14.655809,14.1278155
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.796252,14.660998,14.228625
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.369518,14.27628,13.822899
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.530468,14.508428,14.019448
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.455253,14.216969,13.336111
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.713723,14.538675,14.126199
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.836252,14.725244,14.280748
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.534779,14.393182,13.9639805
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.927633,14.862958,14.3952955
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.243723,14.1884,13.7160615
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.502717,14.46158,13.9821485
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.078869,14.866822,14.4728455
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.551737,14.540761,14.046249
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.538038,14.460497,13.9992675
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.838895,14.758602,14.2987485
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.350178,14.868107,14.1091425
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.623312,14.665207,14.1442595
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.519214,14.301234,13.910224
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.828839,14.636471,14.232655
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.733103,14.405395,14.069249
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.220989,14.625266,14.4231275
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.026453,14.493685,14.260069
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.900658,14.332258,14.116458
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.455369,14.611136,14.5332525
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.418289,14.632344,14.5253165
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.484762,13.931334,13.208048
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.414177,14.467361,13.940769
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",13.126236,14.236472,13.681354
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.393634,14.533989,13.9638115
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.515134,14.557457,14.0362955
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.475867,13.923493,13.19968
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.075431,14.380907,13.728169
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.568379,14.55487,14.0616245
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.809143,14.825928,14.3175355
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.944094,14.85353,14.398812
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.386463,14.60924,13.9978515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.805559,14.745708,14.2756335
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.736438,14.596504,14.166471
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.67326,14.587599,14.1304295
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.327889,14.445991,13.88694
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.735755,14.086489,13.411122
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.279648,14.324116,13.801882
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.24319,14.354095,13.7986425
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.859267,14.898156,14.3787115
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.202791,14.370863,13.786827
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.72906,14.671369,14.2002145
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.515167,14.591556,14.0533615
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.712606,14.201314,13.45696
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.879521,14.711907,14.295714
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.821026,14.92312,14.372073
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.72368,14.685836,14.204758
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.120365,14.271693,13.696029
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.635392,14.644636,14.140014
