"","sample","tissue","endometriosis","severity","p206075_s_at","p212075_s_at","p212073_at","CSNK2A1"
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.636776,6.013152,4.535104,5.39501066666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.853403,4.999813,3.68582,4.84634533333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.397298,5.021876,4.862971,5.09404833333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.510239,6.422386,4.760559,5.897728
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.559471,5.2798,4.140035,5.32643533333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.379381,6.738017,4.744122,5.95384
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.305748,5.700353,4.561965,5.52268866666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.647617,5.885031,4.549091,5.693913
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.911965,4.999813,4.098155,4.66997766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.216209,5.374153,4.582073,5.05747833333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.633185,5.555541,4.744122,5.64428266666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.573034,7.340049,4.950152,6.62107833333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.784654,7.453079,5.262787,6.50017333333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.994646,7.184606,5.742884,6.640712
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.486036,7.526485,5.192572,6.735031
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.804612,7.177706,5.771667,6.917995
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.886893,7.473662,5.354868,6.57180766666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.685903,7.357545,5.367055,6.47016766666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.455768,5.281877,5.360815,5.36615333333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.358978,5.165053,5.413383,5.64580466666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.472041,5.96888,6.334434,6.25845166666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.508051,6.131089,5.408541,6.01589366666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.214986,6.231874,5.74871,6.39852333333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.258838,5.617961,6.466414,6.11440433333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.914372,6.432544,5.620606,6.32250733333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.239322,5.987526,5.537721,6.25485633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.678814,7.372147,4.844515,6.63182533333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606422,5.382549,5.168013,5.71899466666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.400518,6.989466,5.770582,6.72018866666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.352566,7.130542,7.601841,7.36164966666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.791545,6.350895,6.566501,6.569647
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.928167,6.503078,6.778623,6.73662266666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.007477,5.395834,5.444289,5.9492
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.00925,6.39332,6.250301,6.550957
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.804686,6.014726,5.608781,6.142731
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.525736,5.296257,4.762549,5.52818066666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.533684,7.12712,6.142998,6.93460066666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.811292,6.281615,5.667438,6.25344833333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.028256,6.610836,6.300414,6.646502
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.4963,6.151008,5.608071,6.41845966666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.749869,7.485769,4.783987,6.67320833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.954389,6.362832,6.581166,6.63279566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.522806,7.194882,6.379056,7.032248
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.107713,6.442406,6.242941,6.59768666666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.693565,6.080169,6.275157,6.34963033333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.782762,7.192194,6.560902,6.845286
