"","sample","tissue","endometriosis","severity","p1554966_a_at","p204135_at","FILIP1L"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.513891,6.238192,5.8760415
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.540774,7.922052,6.731413
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.784401,5.858041,5.321221
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.760712,5.795604,4.778158
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.480245,4.676402,4.0783235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.913142,5.056081,4.4846115
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.756763,7.765774,7.2612685
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77292,4.811676,3.792298
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.281809,7.659038,6.9704235
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.041406,5.895689,4.4685475
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.342252,7.810857,7.0765545
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.688072,4.676402,4.182237
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.079328,4.735243,4.4072855
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.623787,5.859651,5.241719
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.164504,6.240115,5.7023095
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.688072,5.056081,4.3720765
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.185737,7.962208,7.5739725
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.977351,5.685027,4.831189
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.020586,3.514797,3.2676915
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.234523,7.034669,6.134596
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.578799,7.197256,6.8880275
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.298403,5.16129,4.2298465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.451739,8.469355,7.960547
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77292,4.931105,3.8520125
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.207985,6.825001,6.016493
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.58275,5.056081,4.3194155
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.328945,6.497425,5.413185
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.489746,4.698718,4.094232
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.77292,4.575265,3.6740925
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.688072,5.056081,4.3720765
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.688072,4.676402,4.182237
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.77292,5.420848,4.096884
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.688635,5.427335,4.557985
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.979482,7.327887,6.1536845
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.122983,6.414008,5.2684955
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.77292,4.825397,3.7991585
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.388445,9.071249,8.729847
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.616449,8.025605,7.821027
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.77292,5.207678,3.990299
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.688072,4.676402,4.182237
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.846489,8.148866,7.9976775
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.517303,7.186296,6.8517995
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.134663,9.309502,8.7220825
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.823634,5.42302,4.623327
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.275403,5.996451,5.135927
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.501491,8.023767,7.762629
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.044411,8.513569,8.27899
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.281809,7.008315,6.645062
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.193629,7.819676,7.5066525
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.664165,9.022478,8.8433215
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.924174,6.545816,6.234995
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.336056,6.928936,6.632496
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.637306,8.981372,8.809339
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.583229,6.958893,6.771061
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.23305,6.760919,6.4969845
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.458271,7.599403,7.528837
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.976966,7.482557,7.2297615
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.344681,8.803459,8.57407
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.059254,5.056081,4.0576675
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.945389,8.402314,8.1738515
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.794801,7.968304,7.8815525
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.518097,7.925211,7.721654
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.926216,7.696628,7.311422
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.230774,7.054137,6.6424555
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.462873,6.800174,6.6315235
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.805449,4.91391,4.3596795
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.201796,5.870444,5.53612
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.470699,8.921191,8.695945
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.655576,5.493808,5.574692
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.929001,6.514294,6.2216475
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.706022,7.23477,5.470396
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.005918,8.773979,8.3899485
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.014618,7.220631,6.6176245
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.121161,4.676402,4.3987815
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.05763,10.596362,10.326996
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.430509,8.460415,7.945462
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.046752,6.75031,5.898531
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.77292,5.072024,3.922472
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.50772,4.899075,3.7033975
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.735272,7.357631,7.0464515
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.570616,7.849296,7.709956
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.546169,8.472446,8.0093075
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.640336,5.59414,4.617238
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.174267,6.82143,5.9978485
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.616379,8.512524,8.0644515
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.447011,6.436893,5.941952
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.281809,8.774156,7.5279825
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.646305,7.639816,7.1430605
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.139454,9.994729,9.5670915
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.005491,6.897944,6.4517175
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.688072,4.69891,4.193491
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.437084,4.605299,4.5211915
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.794498,7.083239,6.9388685
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.603195,5.32288,5.4630375
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.338247,6.136747,5.737497
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.37939,8.595223,8.4873065
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.906902,6.984494,6.945698
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.104107,6.567152,6.8356295
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.137299,7.591444,7.3643715
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.767942,11.568358,11.16815
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.447081,4.770094,4.1085875
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.760815,5.457989,5.109402
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.131612,6.053295,5.5924535
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.747301,11.244551,10.995926
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.495877,8.094593,7.795235
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.132271,9.861778,9.4970245
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.047641,6.726194,6.3869175
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.891333,8.49928,8.1953065
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.528626,7.151649,6.8401375
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.866371,9.46482,9.1655955
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.843758,6.184157,6.0139575
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.044001,6.647693,6.345847
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.751428,7.565684,7.158556
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.175297,5.113854,4.6445755
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.809581,11.373676,11.0916285
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.013476,5.483711,5.2485935
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.556688,10.33532,9.946004
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.652154,10.114626,9.88339
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.403386,8.83571,8.619548
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.053796,9.54739,9.300593
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.405649,10.046608,9.7261285
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.675712,9.24452,8.960116
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.588304,7.633776,7.11104
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.825163,7.753156,7.2891595
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.082531,8.685669,8.3841
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.780158,8.254093,8.0171255
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.401011,7.827953,7.614482
