"","sample","tissue","endometriosis","severity","p33307_at","p202937_x_at","RRP7A"
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.902434,8.440569,8.6715015
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.341617,7.844643,8.09313
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.095343,8.453204,8.7742735
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.796757,8.559709,8.678233
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.428058,9.275843,9.3519505
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.22747,7.671177,7.9493235
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.928425,6.936417,6.932421
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.742139,7.377071,7.559605
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.781476,8.415902,8.598689
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.092005,8.731439,8.911722
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.410998,6.794071,6.6025345
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.505147,6.821134,6.6631405
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027752,7.339461,7.1836065
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.712041,6.742947,6.727494
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.534945,5.857706,5.6963255
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.130733,6.795981,6.463357
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.574031,7.618525,7.596278
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.152739,7.110016,7.1313775
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.846962,6.441211,6.1440865
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.11705,6.745095,6.4310725
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.367958,6.891637,6.6297975
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.750026,6.947981,6.8490035
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.866721,7.900105,7.883413
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.601351,6.686952,6.6441515
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.508131,7.572181,7.540156
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.321975,8.113628,8.2178015
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.934732,8.622026,8.778379
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.806154,8.636658,8.721406
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.887459,9.031938,8.9596985
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.055566,8.708291,8.8819285
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.48421,8.330282,8.407246
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.196389,7.598154,7.8972715
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.197536,8.87752,9.037528
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.705559,9.257319,9.481439
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.821717,7.429482,7.6255995
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.900071,8.487109,8.69359
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.242719,8.466501,8.85461
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.577264,9.04873,9.312997
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.83333,8.139453,8.4863915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.310857,8.858153,9.084505
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.79137,8.354581,8.5729755
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.025296,7.581608,7.803452
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.46123,9.745183,10.1032065
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.550091,8.115369,8.33273
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.153216,8.65457,8.903893
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.734134,8.069167,8.4016505
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.407966,9.321127,9.3645465
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.671847,8.372684,8.5222655
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.164202,6.68863,6.926416
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.117137,7.815286,7.9662115
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.193758,7.976597,8.0851775
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.92021,7.339461,7.6298355
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.245023,8.749168,8.9970955
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.523949,9.045862,9.2849055
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.808813,7.788862,7.7988375
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.270371,7.676772,7.9735715
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.049356,6.497923,6.2736395
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.839033,6.930118,6.8845755
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.527862,6.930118,6.72899
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.04327,6.417586,6.230428
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.106291,5.96016,5.5332255
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.92938,6.90923,6.419305
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.107275,7.339461,7.723368
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.851664,5.960312,5.905988
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.447161,5.834192,5.6406765
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.47213,5.574356,5.523243
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.795831,6.553187,6.674509
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.967575,7.11624,7.0419075
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.824511,5.672109,5.74831
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.039089,6.969038,7.0040635
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.375701,5.021954,5.1988275
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.57535,5.458747,5.5170485
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.206199,6.23569,6.2209445
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.360409,6.455121,6.407765
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.872314,7.037728,6.955021
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.49451,5.016315,5.2554125
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.431321,5.758574,5.5949475
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.411326,6.516092,6.463709
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.61413,5.755103,5.6846165
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.270958,6.423815,6.3473865
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.953862,6.463518,6.20869
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.590209,6.281759,5.935984
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.594442,5.958078,5.77626
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.437428,6.759218,6.598323
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.294871,7.339461,7.317166
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.684406,5.526889,5.6056475
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.822592,6.129354,5.975973
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.516346,6.930723,6.7235345
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.598074,6.900416,6.749245
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.866832,5.745784,5.806308
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.847653,6.085661,5.966657
