"","sample","tissue","endometriosis","severity","p223574_x_at","p228010_at","PPP2R2C"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.985201,4.614462,4.2998315
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.203737,9.506195,9.354966
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.04449,5.032221,4.0383555
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.403759,9.812194,9.1079765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.687899,4.875914,5.2819065
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.166081,9.509089,9.337585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.202798,4.406666,4.804732
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.256707,7.702308,6.9795075
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.242295,5.066167,4.154231
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.567885,5.001332,5.2846085
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.092988,9.537432,8.81521
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.859325,8.324045,8.091685
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.358622,3.241559,3.8000905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.075617,4.20478,4.6401985
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.425295,5.619598,5.5224465
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.462607,5.784883,5.623745
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.509079,4.948082,4.2285805
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.670145,8.805136,7.7376405
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.069749,8.715499,7.892624
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5051,9.864919,9.1850095
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.165172,8.287397,6.2262845
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.313736,9.615156,8.464446
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.269335,4.99201,4.1306725
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.360609,6.035991,4.6983
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.558853,5.457459,4.508156
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.712517,6.933187,6.322852
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.241635,5.297702,4.2696685
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.456549,5.380745,4.918647
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.866931,7.404431,6.635681
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.02805,7.008803,5.0184265
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.210442,10.857527,10.0339845
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.07242,10.447745,9.7600825
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.513904,10.189577,8.8517405
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.484267,9.858062,8.1711645
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.504071,10.814176,9.1591235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.074896,9.688884,8.38189
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.438122,8.299774,6.868948
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.157868,10.487013,9.3224405
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.826281,10.426305,8.626293
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.712517,8.626428,7.1694725
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.428392,5.839039,4.6337155
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.898823,11.132719,10.015771
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.462607,6.785206,6.1239065
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.750145,9.774776,7.7624605
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.064252,8.144334,7.104293
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.721656,11.029089,8.8753725
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.079016,11.081847,9.5804315
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.945148,3.449755,3.1974515
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.402181,6.702406,5.0522935
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.326095,10.799094,10.0625945
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.241635,4.613874,3.9277545
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.258364,10.081012,9.669688
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.881081,4.489027,4.685054
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.024984,9.870522,8.947753
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.004292,10.088172,9.046232
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.242133,4.595562,3.9188475
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.038766,4.394716,5.216741
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.151174,4.47427,4.812722
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.522912,5.50509,4.514001
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.501648,4.782188,4.641918
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.666216,8.602718,7.134467
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.770432,5.562405,5.1664185
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.65624,4.385667,4.5209535
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.466565,6.116926,6.7917455
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.712517,5.842099,5.777308
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.266971,9.881594,9.0742825
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.915887,10.293414,9.1046505
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.789432,6.390412,5.589922
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.489263,9.739502,9.1143825
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.462607,6.122178,5.7923925
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.824667,6.910507,5.867587
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.764157,10.56767,8.6659135
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.561342,6.982646,6.771994
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.404053,10.250285,8.827169
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.057745,8.786788,7.9222665
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.106253,9.059867,8.08306
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.05045,8.039174,7.044812
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.09232,6.761315,5.4268175
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.243219,5.786241,5.01473
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.792044,5.623923,5.2079835
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.084381,5.985729,5.035055
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.619064,4.525392,4.572228
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.349522,10.877176,9.113349
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.157656,11.222494,10.190075
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.993233,10.812127,9.40268
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.339339,8.322157,6.830748
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.877105,4.103984,3.4905445
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.320354,10.297933,8.8091435
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.948708,7.13788,6.043294
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.132389,10.299033,8.215711
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.021174,6.962184,5.491679
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.578939,8.289104,6.4340215
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.244677,6.474874,4.8597755
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.758561,6.640387,5.699474
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.387865,10.850366,8.6191155
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.765226,7.345578,6.055402
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.568005,10.595091,9.081548
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.996717,10.889287,9.943002
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.08644,11.124892,10.105666
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.327152,6.75784,5.542496
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.308697,6.055287,4.681992
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.276529,6.879459,5.577994
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.909247,8.51971,7.2144785
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.241635,5.427555,4.334595
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.885889,7.442072,5.6639805
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.719183,11.23627,9.4777265
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.728244,11.10874,9.418492
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.71497,7.020274,5.367622
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.024616,11.399921,9.7122685
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.795973,6.559065,5.677519
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.005126,11.25974,9.632433
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.039858,11.083325,9.0615915
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.623807,10.863496,9.2436515
