"","sample","tissue","endometriosis","severity","p219613_s_at","p233179_x_at","SIRT6"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.127541,5.526239,5.82689
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.307994,6.456305,6.8821495
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.558778,7.45335,7.506064
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.882737,5.932036,5.9073865
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.317024,7.217957,7.2674905
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.434411,7.092501,7.763456
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.585358,5.874027,6.2296925
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.509513,6.94781,7.7286615
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.423977,6.937015,6.680496
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.537792,5.862706,6.200249
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.27243,6.851771,7.0621005
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.233623,6.949207,7.091415
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.737859,7.192275,7.965067
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.488342,7.350712,7.919527
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.63559,7.072795,7.3541925
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.461573,7.954763,8.208168
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.435246,7.312189,7.8737175
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.898275,7.898209,7.898242
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.504354,7.219277,7.3618155
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.205325,6.359808,6.7825665
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.844346,6.415468,6.629907
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.137777,5.916114,6.0269455
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.983326,6.501831,7.2425785
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.072207,5.760604,6.4164055
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.143415,6.185351,6.164383
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.862029,6.460554,6.6612915
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.65914,6.409195,7.0341675
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.312591,5.915347,6.613969
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.664581,5.965461,6.315021
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.518546,5.787035,5.6527905
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201308,5.696806,5.949057
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.891548,6.35463,6.623089
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.084053,6.462532,6.7732925
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.380851,4.835273,5.108062
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,5.188423,5.143614
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.993954,5.262428,5.128191
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.668963,5.188423,4.928693
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,4.83862,4.9687125
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.828426,4.835586,4.832006
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.756141,4.835273,4.795707
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.987795,4.979884,4.9838395
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.570827,5.188423,4.879625
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.249517,5.288103,5.26881
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.811655,5.696806,5.7542305
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.304312,5.188423,5.2463675
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.353604,5.477244,5.915424
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.251105,5.624608,5.4378565
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,5.013734,5.0562695
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.71329,5.793386,5.753338
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126091,5.624608,5.8753495
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.38317,5.792,6.587585
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.988207,6.169137,6.578672
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.306915,6.300955,7.303935
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.5872,6.550621,7.0689105
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.948899,6.417537,6.683218
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.024339,6.692422,7.3583805
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.852898,6.469041,7.1609695
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.548722,7.398695,7.9737085
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.234908,7.026226,8.130567
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.471454,6.105314,6.288384
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.51405,6.767332,7.140691
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.568109,5.866937,6.717523
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.969465,6.025567,6.497516
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.766718,6.057067,6.4118925
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.711182,6.689306,7.200244
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.754795,6.628875,7.191835
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.158093,5.624608,6.3913505
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.571823,5.696806,6.1343145
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.82167,6.143768,6.482719
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.799921,7.159072,7.9794965
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.853958,6.633121,6.7435395
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.170117,5.884279,6.527198
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.560045,6.491681,7.025863
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.280611,6.950231,7.115421
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.468019,5.696806,6.0824125
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.923817,5.709285,6.816551
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.103169,6.770966,7.4370675
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.667805,6.046468,6.3571365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.818305,5.740951,6.279628
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.776978,4.835273,5.3061255
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.427287,5.188423,5.307855
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.690649,4.856384,5.2735165
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.308682,5.396834,5.852758
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.125278,4.998469,5.5618735
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.788376,5.537811,5.6630935
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.13215,5.005259,5.0687045
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.109707,5.624608,5.8671575
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.560721,5.259133,5.409927
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.982662,5.193045,5.0878535
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.1027,5.556653,5.8296765
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.808734,5.417797,5.6132655
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.152611,5.211157,5.181884
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.761933,5.470898,5.6164155
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447235,5.624608,6.0359215
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.26584,5.696806,5.481323
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.330132,5.212813,5.2714725
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.939399,5.624608,5.7820035
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.900028,4.967607,4.9338175
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,5.188423,5.143614
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.331042,4.837161,5.0841015
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.578831,5.198727,5.388779
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.392607,5.18302,5.2878135
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.12497,5.613127,5.3690485
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.08849,5.441428,5.264959
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,5.222191,5.160498
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.407337,5.188423,5.29788
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.73637,4.933603,4.8349865
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.768134,5.386424,5.577279
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.225139,5.675737,5.950438
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.098805,4.837651,4.968228
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.969433,5.135752,5.5525925
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.106432,5.188423,5.1474275
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.561992,4.998553,4.7802725
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.395451,5.16912,5.2822855
