"","sample","tissue","endometriosis","severity","p1560031_at","p208476_s_at","p225168_at","p225163_at","FRMD4A"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.356603,3.342244,7.008378,5.092351,5.199894
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.247604,4.677734,8.496202,7.06899,6.8726325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.082462,4.28925,7.992192,5.63316,6.249266
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.164359,6.891766,9.862657,7.270299,8.04727025
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,3.675908,7.364823,4.207537,4.95604475
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.060669,4.628834,7.701026,4.547452,5.73449525
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.648541,4.085716,7.228778,4.412982,5.09400425
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.998815,4.165112,5.937303,5.473363,5.14364825
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.620119,3.623963,5.894656,4.823057,4.74044875
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.356603,3.675908,7.662421,5.186051,5.47024575
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.561314,4.052953,7.253784,3.524342,5.09809825
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.356603,2.815031,6.436243,3.524342,4.53305475
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.809828,3.675908,6.076183,5.181342,4.93581525
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.360532,3.675908,6.168795,2.976879,4.0455285
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.062664,3.8305,6.987054,4.824438,5.176164
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.282773,5.31123,9.290307,9.533925,7.85455875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.960216,3.675908,8.381274,5.30888,5.5815695
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.780318,4.085716,6.987114,5.169994,5.5057855
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.458497,4.707203,8.269196,7.582881,6.75444425
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.575911,3.560173,6.229356,3.833157,4.54964925
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.011559,5.069717,7.760865,5.729748,6.14297225
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.626935,6.283443,7.739612,5.577677,6.80691675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.856473,4.085716,9.083022,6.687569,6.428195
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.648541,2.886115,7.041591,5.21673,4.94824425
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.789012,3.553376,6.250863,5.397826,5.24776925
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.201853,5.016501,8.140528,5.277424,5.9090765
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.356603,4.085716,5.993546,5.166648,5.15062825
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.053135,3.245476,5.714813,3.178494,4.0479795
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.333534,5.352854,8.677064,6.009604,6.843264
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.512686,4.085716,6.348165,4.336427,5.0707485
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.201237,4.859459,8.136828,5.677439,6.21874075
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.446822,3.380049,7.783088,4.220808,5.20769175
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.17467,3.761334,7.277934,4.302873,4.87920275
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.109943,4.023743,6.756715,5.37501,5.31635275
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.177705,4.363739,6.717876,5.638749,5.72451725
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.478161,3.509295,7.215176,5.717789,4.98010525
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.071619,5.280378,7.676908,8.124607,6.788378
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.337551,3.106768,6.816835,5.994272,5.3138565
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.754729,4.371864,7.752135,7.238355,6.52927075
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.448038,4.114086,7.054337,7.337701,5.9885405
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.156006,5.174425,8.227087,7.956165,7.12842075
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.021841,4.885596,7.565678,7.16997,6.66077125
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.648541,3.423936,7.396592,6.871259,5.585082
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.986,5.109042,8.182186,7.330496,6.901931
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.105037,6.331203,7.593281,8.250529,7.0700125
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.340974,6.247808,8.593851,8.557882,7.68512875
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.62035,4.515349,6.092198,5.935937,5.5409585
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.955309,2.804904,6.585616,6.001694,4.58688075
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.445401,2.804904,6.34173,6.617415,4.5523625
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.206968,3.245476,6.81269,7.825144,5.2725695
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.407276,3.041341,6.623054,7.350503,5.3555435
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.093849,2.958022,7.19639,7.99068,5.30973525
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.356603,4.352365,8.242214,8.974508,6.7314225
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.438647,3.282132,6.567204,7.756026,5.51100225
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.575911,3.302695,6.191499,7.665941,5.4340115
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.591472,3.287658,7.272252,8.121053,5.56810875
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.992937,2.977223,6.985451,7.103995,5.0149015
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.631656,3.280528,6.380366,7.20533,5.12447
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.267698,3.245476,6.518261,6.276313,4.576937
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.267698,2.236067,6.508197,7.133106,4.536267
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.006917,4.401864,8.707865,8.062987,6.54490825
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.684171,2.800863,6.149506,6.842847,4.61934675
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.955309,2.673577,6.083515,6.597427,4.577457
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.302372,4.158331,6.820771,6.426405,5.42696975
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.145326,3.394946,7.414401,7.327797,5.8206175
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.612775,3.008261,6.361899,7.043828,5.25669075
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.830404,4.875468,8.399533,6.497862,6.65081675
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.66515,3.28966,7.185155,4.033706,4.79341775
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.546186,5.426944,7.821495,5.621729,6.3540885
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.418801,3.558385,5.759173,5.862886,4.89981125
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.428539,2.886115,6.782481,5.646452,5.18589675
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.632958,5.167772,8.387416,6.877811,7.01648925
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.857149,4.085716,6.310323,3.524342,4.9443825
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.785539,5.460103,9.297416,6.997505,7.38514075
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.356603,4.085716,7.301213,5.994308,5.68446
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.343916,4.085716,6.763447,5.852931,5.5115025
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.490157,4.278392,6.878284,5.765457,5.8530725
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.178793,3.728757,7.658164,6.277636,5.9608375
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.787899,5.101294,7.828802,5.82289,6.38522125
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.341892,6.337908,7.689841,6.172739,6.885595
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.977745,4.224983,8.075799,5.562757,5.960321
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.552925,4.191219,7.161047,6.033161,5.984588
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.356603,4.19899,5.989853,5.236759,5.19555125
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.879641,5.974816,7.887725,6.589949,7.08303275
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.648541,4.085716,6.919544,3.793303,4.861776
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.652534,5.354952,7.616283,5.705183,6.332238
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.778777,4.906361,7.561462,5.969784,6.304096
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.356603,3.991278,6.713904,5.675127,5.434228
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.267654,6.242533,8.348,6.723776,7.39549075
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.40966,3.687858,6.336889,5.665639,5.2750115
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.355246,3.245476,6.656176,4.408833,4.91643275
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.702525,2.836286,6.608084,6.096841,5.060934
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.998006,5.738857,8.201435,6.735118,7.168354
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.136609,6.210448,9.028758,8.497933,7.968437
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.876284,4.085716,7.846371,6.362622,6.04274825
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.831606,3.92205,7.040247,6.149502,5.73585125
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.366934,4.034305,7.069845,5.072268,5.385838
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.427056,3.245476,7.342737,5.935937,5.4878015
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.035246,3.250882,5.490027,5.788048,4.89105075
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.748524,4.085716,5.538541,4.774292,4.78676825
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.575911,2.886115,6.498872,5.688718,4.912404
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.869443,5.297346,7.366852,7.729227,6.815717
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.011945,4.389437,6.513592,7.821295,6.18406725
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.596268,5.481919,7.319382,7.941186,6.83468875
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.684176,6.233174,8.799053,9.260195,7.9941495
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.696348,3.698941,5.951115,7.051012,5.599354
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.417783,4.726829,7.921323,7.907736,6.74341775
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.528344,5.238949,7.350763,8.230718,7.0871935
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.340823,4.46307,6.679766,7.528789,6.253112
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.356603,4.085716,6.386219,6.561231,5.59744225
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.20257,5.137379,6.850815,7.976684,6.791862
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.80347,6.177601,8.447808,8.527039,7.7389795
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.883818,4.404591,7.288602,8.284419,6.2153575
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.363817,4.688478,6.738968,7.800041,6.397826
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.020069,5.33848,6.978865,8.040298,6.594428
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.19512,4.851013,6.549677,8.587042,6.795713
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.474014,4.083755,6.595402,7.258429,5.8529
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.686115,6.08842,8.605941,9.504607,7.97127075
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.48711,5.455848,6.716947,7.250602,6.72762675
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.964333,4.387871,7.518057,7.756379,6.40666
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.202677,5.294875,8.030436,8.31958,7.211892
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.968767,4.247005,6.368542,7.067861,5.66304375
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.671757,3.581618,6.240067,6.93968,5.6082805
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.73489,5.897997,8.685139,8.136279,7.61357625
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.351182,4.085716,6.462161,7.136322,5.75884525
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.69694,5.255955,7.407924,7.950435,6.8278135
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.955318,3.245476,6.241296,6.723947,5.29150925
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.976663,4.085716,6.280624,6.985664,5.58216675
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.759023,4.498615,6.238274,6.669566,5.7913695
