"","sample","tissue","endometriosis","severity","p207122_x_at","p211385_x_at","SULT1A2"
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.837716,9.165532,9.001624
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.699103,8.39379,8.5464465
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.695882,8.70374,8.699811
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.489167,9.776247,9.632707
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.72754,7.763311,7.7454255
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.910914,7.715936,7.813425
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.026249,7.217877,7.122063
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.969262,7.355776,7.162519
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.285283,7.355776,7.3205295
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.177114,7.355776,7.266445
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.336434,7.567817,7.4521255
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.022308,7.630132,7.82622
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651622,7.68816,7.669891
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.177114,7.598493,7.3878035
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.177114,7.211476,7.194295
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.651622,7.630132,7.640877
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.408836,7.355776,7.382306
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.320755,7.2489345
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.177114,7.335743,7.2564285
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.218072,7.355776,7.286924
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.355776,7.266445
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.106955,7.1420345
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.394533,8.334339,8.364436
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.651622,7.595388,7.623505
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.438047,7.447476,7.4427615
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.91968,8.012624,7.966152
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.739662,7.577834,7.658748
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.543125,7.355776,7.4494505
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.923833,7.684012,7.8039225
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,7.258505,7.2178095
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,8.068528,7.622821
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.449228,6.328906,6.389067
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,7.42356,7.300337
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.287524,7.630132,7.458828
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.832209,7.683507,7.757858
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.24386,7.625984,7.434922
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651622,7.68816,7.669891
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.9969,6.655284,6.826092
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.177114,7.29556,7.236337
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.629342,7.355776,7.492559
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.672801,8.495707,8.584254
