"","sample","tissue","endometriosis","severity","p217824_at","p217823_s_at","p217825_s_at","p217826_s_at","UBE2J1"
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.529241,9.379602,7.168134,8.945562,8.25563475
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.090468,9.376216,7.987664,8.989062,8.6108525
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.865047,9.062435,7.356477,8.768366,8.26308125
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.978504,9.150121,7.599857,8.519182,8.311916
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260319,9.321156,7.641987,8.85385,8.519328
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.240294,9.342925,7.799091,9.7102,8.7731275
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.353905,9.454007,7.667177,9.147393,8.6556205
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.2116,8.693102,7.055986,8.423265,8.09598825
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.313727,9.669752,7.915428,9.133377,8.758071
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.86341,9.422282,7.511065,9.147946,8.48617575
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.644221,7.373317,6.122178,7.476227,6.90398575
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.671097,8.763957,6.963677,8.079913,7.869661
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.546472,8.397454,6.745176,7.950777,7.65996975
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.276735,8.188101,6.605886,7.536206,7.401732
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014824,7.195588,3.88546,6.505822,6.1504235
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.081522,7.883856,6.007332,7.575348,7.1370145
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.293624,8.184904,6.391217,7.368227,7.309493
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.389469,7.599635,5.866337,7.022229,6.7194175
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.355456,7.9565,6.716044,7.353313,7.34532825
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132537,5.183906,3.458977,6.354937,5.53258925
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.445341,6.74297,5.086147,6.690931,6.24134725
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.604058,8.70037,7.438592,7.895419,7.90960975
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.079183,7.382971,6.135759,6.51534,6.77831325
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.255007,8.349517,6.347617,7.489008,7.36028725
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.226278,8.456153,6.544179,7.270026,7.374159
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.590943,7.730102,5.93973,7.25213,7.12822625
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.09076,6.050673,3.861634,7.011729,6.003699
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.443513,5.901777,6.055992,4.636067,6.00933725
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.027363,8.311375,6.277468,7.544081,7.29007175
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.435974,8.733121,6.480209,7.778407,7.60692775
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.948563,8.720162,6.993237,7.345335,7.75182425
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132537,7.153122,4.154727,6.859986,6.325093
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.555796,7.752193,6.046358,6.796374,7.03768025
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.276735,8.193543,6.737945,7.517074,7.43132425
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132537,7.967455,6.158256,6.330175,6.89710575
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.448296,6.608923,4.816206,7.029605,6.4757575
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.714296,8.098671,6.64033,7.286175,7.434868
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.842273,7.660272,6.225781,6.286386,6.753678
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.29331,7.243176,5.313705,5.953663,6.2009635
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.16141,8.322763,6.37173,7.636714,7.37315425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.821621,8.218483,6.072252,7.423955,7.13407775
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.276735,9.462492,7.235351,8.606222,8.1452
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.164449,9.161924,7.067632,8.663961,8.0144915
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.526314,8.761014,7.367917,8.534727,8.047493
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.132537,9.525392,7.335335,8.870237,8.21587525
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.245686,9.079281,6.736896,9.165161,7.806756
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.355584,8.268544,7.195491,7.976813,7.449108
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.013912,8.65915,6.13146,7.141667,7.23654725
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.665689,8.775786,6.545433,7.315101,7.57550225
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.276735,8.775368,7.057919,7.673708,7.6959325
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.876342,8.966064,6.917983,8.508137,8.0671315
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.182448,8.910839,7.527622,7.643714,8.06615575
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.406752,8.780525,7.541945,7.754747,8.12099225
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.924365,8.807015,7.063876,8.499143,8.07359975
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.434413,8.495153,7.637851,7.764504,8.08298025
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.031283,9.031179,7.616622,8.019034,8.1745295
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.275176,9.243044,7.816695,8.122083,8.3642495
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.926251,9.172832,7.25873,7.727373,8.0212965
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.435434,8.821289,7.998661,8.109171,8.34113875
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.480008,9.059425,8.132305,10.121384,8.9482805
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.967128,8.840945,7.156675,9.187042,8.2879475
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.860609,9.011296,7.202391,9.348277,8.35564325
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.702369,8.807675,6.933078,7.734642,7.794441
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.792749,8.81685,6.87631,8.944985,8.1077235
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.931837,9.118846,7.227404,8.51344,8.19788175
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.798375,8.68274,7.335091,7.542529,7.83968375
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.843588,9.45957,7.410717,9.72334,8.60930375
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.682493,8.895747,7.548246,8.195298,8.080446
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.953972,8.810396,7.302566,9.008508,8.2688605
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.678508,8.698695,7.335241,7.66451,7.8442385
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.106492,9.326174,8.32265,8.881055,8.65909275
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.033523,9.010982,7.038587,9.127044,8.302534
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.979983,9.297156,6.917553,9.351843,8.38663375
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.515892,8.900557,6.787137,8.732745,7.98408275
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.891808,9.114828,7.190793,9.009323,8.301688
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.189966,8.834561,7.254393,8.922244,8.300291
