"","sample","tissue","endometriosis","severity","p226768_at","p236447_at","GIGYF1"
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.493908,3.345411,4.9196595
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.592605,3.615352,5.1039785
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.666777,3.661931,5.664354
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.060914,3.661931,5.3614225
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.13706,3.434886,5.285973
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.826963,3.596759,5.211861
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59434,3.591671,4.5930055
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.033027,3.698631,5.865829
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.449386,3.661931,5.5556585
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.522255,3.435705,3.97898
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.088819,3.177306,4.1330625
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.093066,3.334368,4.213717
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.913383,2.75974,3.8365615
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.24636,3.449993,3.8481765
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.122294,3.464658,4.293476
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.088819,3.596759,4.342789
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.404124,2.856072,3.630098
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.131342,3.596759,4.3640505
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.139557,2.802662,3.4711095
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.088819,3.583789,4.336304
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.742005,2.397444,3.5697245
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.381575,3.388686,4.3851305
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.366477,3.534608,3.9505425
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.182186,3.560972,3.871579
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.108749,3.638881,5.873815
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.975024,3.360675,5.1678495
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.11012,3.661931,5.3860255
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.758276,3.877761,5.8180185
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.237414,5.070484,7.153949
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.71291,3.853635,5.7832725
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.16022,3.379974,5.270097
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.932395,3.661931,5.797163
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.465433,3.399766,5.4325995
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.135798,5.199173,7.1674855
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.057226,4.311716,6.684471
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966957,3.387738,5.1773475
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.765529,3.661931,5.71373
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.634133,3.661931,5.648032
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.090791,3.661931,5.376361
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.275707,4.28687,6.2812885
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.962422,3.661931,5.8121765
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.265107,3.705797,5.985452
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.485458,3.442433,5.4639455
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.10645,3.661931,4.8841905
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.872354,3.654493,5.2634235
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.719353,4.641491,6.680422
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.254284,3.661931,5.4581075
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.070778,3.334368,5.702573
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.920193,3.661931,5.791062
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.662794,3.289977,5.9763855
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.320818,3.661931,5.4913745
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.52639,3.661931,5.5941605
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.953794,4.02831,5.991052
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.965989,3.508911,5.73745
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.352596,3.468782,4.910689
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.162489,4.06616,5.1143245
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.893378,4.848158,5.370768
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.352596,4.195018,5.273807
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.352596,4.057598,5.205097
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.027672,4.714868,5.37127
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.026142,5.314587,5.6703645
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.352596,4.741158,5.546877
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.352596,3.025561,4.6890785
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.629268,3.648961,5.1391145
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.776127,3.188743,4.482435
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.203166,3.355468,4.779317
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.352596,3.514615,4.9336055
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.131342,2.790899,3.9611205
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.531732,3.544745,5.0382385
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.360449,3.019319,4.689884
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.233564,3.596759,4.9151615
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.827766,2.707864,4.767815
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.438146,3.072856,4.755501
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.259837,2.943879,3.601858
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.37067,3.425992,4.398331
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.142609,3.653066,4.3978375
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.352596,3.241288,4.796942
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.767602,3.596759,4.6821805
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.687201,3.528883,4.608042
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.551284,3.661931,4.6066075
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.410892,3.596759,4.5038255
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.757147,3.020716,4.3889315
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.131342,3.462315,4.2968285
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.05145,2.836123,4.4437865
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.729166,3.530998,5.130082
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.088819,3.447981,4.2684
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.216415,3.165055,4.690735
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.124362,2.711543,3.9179525
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.212403,3.334368,4.2733855
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.505222,3.098238,4.30173
