"","sample","tissue","endometriosis","severity","p201963_at","p207275_s_at","ACSL1"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.2596,4.079182,7.169391
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.852144,2.448928,4.150536
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.366547,2.461741,4.914144
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.249477,4.544574,6.3970255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.233404,2.754614,4.494009
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.843217,2.519466,4.6813415
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.234274,6.881761,8.5580175
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.406078,5.95141,7.678744
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.134307,2.448928,4.7916175
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.031019,7.235515,8.633267
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.436916,2.702663,5.0697895
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.857879,2.895121,5.3765
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.517743,3.195398,5.8565705
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.842924,4.799779,6.3213515
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.801368,3.725683,6.2635255
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.744293,5.906988,7.8256405
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.00117,5.246309,7.1237395
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.406729,4.300138,6.3534335
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.134307,4.052057,5.593182
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.419747,4.36465,6.8921985
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.882359,5.236477,7.059418
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.631042,2.833361,4.7322015
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.914538,2.796859,4.8556985
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.304368,5.987955,7.6461615
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.057112,2.448928,5.25302
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.907992,4.565511,6.2367515
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.714499,4.470271,6.092385
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.154204,4.799779,6.9769915
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.518655,4.491473,6.505064
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.63515,8.205997,9.4205735
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.957385,8.161636,9.5595105
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.515324,5.268526,6.891925
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.698974,5.44188,7.070427
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.407929,8.132869,9.270399
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.555476,7.91826,9.236868
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.678835,5.666839,7.672837
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.035996,6.384939,7.7104675
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.625006,5.816317,7.2206615
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.849291,6.445472,7.6473815
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.290931,6.970679,8.630805
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.528152,7.504696,9.016424
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.361958,7.172582,8.76727
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.239911,7.140053,8.689982
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.535929,7.234547,8.885238
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.770901,7.965193,9.368047
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.985085,7.124944,8.5550145
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.905465,6.983544,8.4445045
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.326359,9.186551,10.756455
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.936664,6.689703,8.3131835
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.696362,8.945211,10.3207865
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.136703,7.078647,8.607675
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.903991,7.237625,9.070808
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.984211,6.816756,8.4004835
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.214468,7.144021,8.6792445
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.478131,7.482048,8.9800895
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.950732,7.387824,8.669278
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.860688,5.660425,7.2605565
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.515181,7.53361,9.0243955
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.873569,4.036049,5.954809
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.726978,5.533664,7.130321
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.330318,5.591534,7.460926
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.649358,4.673776,6.161567
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.848431,7.265809,8.55712
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.134307,2.236067,4.685187
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.95308,4.43832,6.1957
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.517849,7.388167,8.953008
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.494167,4.799779,7.146973
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.915375,5.386951,7.151163
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.713288,6.105407,7.9093475
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.410004,4.799779,6.6048915
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.299414,2.448928,4.874171
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.440552,2.448928,4.94474
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.759996,5.643021,7.2015085
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.66893,5.742149,7.2055395
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.113835,6.688653,8.401244
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.136306,3.468906,5.302606
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.804126,6.268334,8.03623
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.163697,7.042117,8.602907
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.838925,4.817055,6.32799
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.838964,2.98815,5.413557
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.657653,5.281019,6.969336
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.086736,5.283671,7.1852035
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.370889,4.948765,6.659827
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.716042,4.799779,6.7579105
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.486911,4.942547,6.714729
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.116437,8.039366,9.5779015
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.134387,7.81101,8.9726985
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.77571,7.093026,8.434368
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.31255,8.72673,10.01964
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.480458,5.943602,7.21203
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.262511,5.672439,6.967475
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.473247,5.699341,7.086294
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.555654,6.849546,8.7026
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.627023,7.543397,9.08521
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.896625,7.443072,9.1698485
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.81548,8.468142,10.141811
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.275093,7.623129,9.449111
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.983686,7.636859,9.3102725
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.893726,6.080735,7.9872305
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.939251,8.659327,10.299289
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.825504,8.789159,10.3073315
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.018382,6.278961,8.1486715
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.289206,6.96414,8.626673
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.765886,6.586039,8.1759625
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.950544,6.228752,8.089648
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.501017,5.701289,7.601153
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.607499,8.329424,9.9684615
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.401822,7.027644,8.714733
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.138663,7.895885,9.517274
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.056694,6.478677,8.2676855
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.474312,7.442749,8.9585305
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.784498,8.24748,10.015989
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.634616,6.508518,8.071567
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.420415,6.792568,8.6064915
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.303612,6.889471,8.5965415
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.478397,6.319708,7.8990525
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.283831,7.100103,8.691967
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.9727,6.51294,8.24282
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.670096,6.347416,8.008756
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.57753,5.598615,7.5880725
