"","sample","tissue","endometriosis","severity","p204315_s_at","p204318_s_at","p215942_s_at","GTSE1"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.094549,7.40761,6.186351,7.56283666666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.202893,3.34628,3.713112,3.42076166666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.65636,5.879679,4.676744,5.73759433333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.865036,3.926157,4.534939,4.10871066666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.531209,6.360502,5.656799,6.18283666666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.130781,8.163737,6.232906,8.175808
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.447172,7.345178,7.165594,7.652648
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.905663,3.841513,3.395893,3.71435633333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.172932,5.22441,3.930188,5.10917666666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.09467,7.742308,6.836232,8.22440333333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.583972,8.232297,7.048198,8.28815566666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.395972,3.86626,4.884465,4.38223233333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.233696,4.370307,3.249803,3.95126866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.831231,8.597468,7.725483,8.71806066666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.235911,8.91772,7.130325,8.42798533333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.757239,6.500646,5.36115,6.87301166666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372392,5.708902,4.534827,5.538707
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.147412,4.669937,3.227845,4.348398
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.395972,4.85517,4.196841,4.482661
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.167791,6.37382,4.724568,5.755393
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.319183,5.793629,5.153401,6.08873766666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.865036,5.837784,4.019575,4.57413166666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.602679,5.457891,3.450621,4.83706366666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.876516,3.813376,3.2412,3.97703066666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.925833,8.219661,6.864591,7.67002833333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.394754,6.48859,5.543331,6.47555833333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.81739,7.020422,6.351671,7.063161
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.060359,8.809119,8.37247,8.41398266666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.768953,8.523299,7.52117,7.604474
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.445784,8.288741,7.455063,7.063196
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.206631,3.926157,3.246225,3.459671
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.462053,5.038553,4.416679,4.30576166666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.15307,8.018008,7.40594,6.859006
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.836717,8.464278,7.837805,7.3796
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.084674,8.496883,7.708472,7.43000966666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.220901,3.644556,3.719593,3.52835
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.877589,7.47495,6.957181,6.76990666666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.885735,3.949533,4.268584,4.03461733333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.895177,5.846961,4.696597,5.146245
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,5.386584,4.534827,4.374768
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.676989,8.927439,8.271299,8.291909
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.859183,8.482264,7.823062,7.721503
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.128837,6.122497,4.186785,5.479373
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.573958,4.531571,3.726525,4.27735133333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.948137,7.530408,5.610223,7.02958933333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.469159,5.57485,4.620531,5.55484666666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.692999,6.9385,6.096487,7.242662
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.515047,6.835293,4.991065,6.11380166666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.261932,8.52009,8.095927,8.625983
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.631345,8.620508,7.50886,8.58690433333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.167285,4.499678,3.957777,4.20824666666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.643951,6.562516,4.620531,6.275666
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.024793,3.926157,3.525977,3.82564233333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.119268,3.932767,3.265761,4.105932
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.391656,4.588189,3.227845,4.40256333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.410858,6.220323,4.91661,5.51593033333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.243947,6.280526,5.439101,6.32119133333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.286061,6.524554,4.663576,5.82473033333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.572862,9.061453,8.454718,9.363011
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.983201,8.625134,6.78548,8.13127166666666
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.744648,8.391976,7.085429,8.07401766666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.588824,8.611299,7.271017,8.15704666666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.470705,6.144509,4.534827,5.71668033333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.042771,8.453828,6.973551,8.15671666666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.51751,4.609025,3.719593,4.615376
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.410858,6.004815,3.9207,5.11212433333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,6.427351,4.794699,4.80831433333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.073015,5.338064,4.076261,5.16244666666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.690478,8.065361,7.161813,7.97255066666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.021888,6.810333,5.489198,5.77380633333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.275809,7.576251,5.845772,7.23261066666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.374959,5.547836,4.620531,5.514442
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.058762,7.534119,5.09197,6.22828366666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,3.926157,4.505768,3.87827266666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,3.42517,3.719593,3.44921866666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,3.42517,3.719593,3.44921866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,3.926157,3.728207,3.61908566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,7.427799,7.212118,5.94760333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,7.501054,7.114903,5.93961666666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.202893,8.436553,8.047664,6.56237
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.202893,3.42517,3.082256,3.236773
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.202893,3.441516,2.971733,3.20538066666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.410858,7.510174,5.691955,6.204329
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.202893,3.926157,3.691715,3.60692166666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.246064,3.926157,3.113053,3.42842466666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.251753,4.042892,4.620531,3.97172533333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,4.908259,2.372978,3.49471
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,4.898135,4.207391,4.10280633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.206257,6.04549,4.182769,4.478172
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.291973,7.150852,5.094738,5.17918766666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,3.42517,2.998972,3.20901166666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.167581,8.327631,7.230489,7.908567
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.410858,7.479996,5.992597,6.29448366666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.365127,8.418973,7.198898,7.66099933333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.793892,8.825981,7.344287,6.98805333333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.139766,5.353779,4.620531,4.704692
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,3.926157,3.031921,3.38699033333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,5.837963,4.546546,4.529134
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.865036,5.689866,4.534827,4.69657633333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,4.222051,3.237028,3.55399066666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.573811,9.283003,7.961681,8.27283166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.511875,8.09565,6.437623,6.34838266666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.202893,3.42517,2.367961,2.99867466666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.093066,8.282084,7.035527,7.47022566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.865036,5.093654,3.967468,4.30871933333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.540106,8.907687,7.42949,7.95909433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.225152,8.639065,7.824536,7.896251
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.838656,8.98638,7.631433,8.15215633333333
