"","sample","tissue","endometriosis","severity","p203058_s_at","p203060_s_at","PAPSS2"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.265882,10.085389,8.1756355
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.001474,8.875768,6.938621
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.893934,8.826575,7.3602545
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.787594,5.578864,4.683229
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.248183,8.250006,6.7490945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.526231,9.387451,7.956841
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.772629,7.030832,5.4017305
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.379892,8.256847,6.3183695
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.634609,7.125663,5.380136
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.07134,9.080446,7.575893
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.672997,6.551153,5.612075
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.014168,7.087682,5.550925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.045971,7.692908,6.3694395
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.166249,9.732347,8.449298
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.597827,8.598273,6.59805
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.839638,8.583484,6.711561
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.86758,9.266739,7.5671595
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.044303,8.632703,6.838503
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.412275,10.237682,8.3249785
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.377352,10.1389,8.258126
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.839638,8.418706,6.629172
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.690739,9.271632,7.4811855
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.778867,10.679481,9.229174
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.893934,9.717933,7.8059335
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.872509,6.990311,5.43141
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.85189,9.150271,7.0010805
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.073121,7.113308,5.5932145
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.749635,6.655841,5.702738
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.318881,5.916667,4.617774
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.892094,9.266633,7.5793635
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.344078,8.201827,6.2729525
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.797311,7.572176,6.6847435
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.95007,9.433655,7.6918625
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.889637,8.722112,6.8058745
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.778032,8.218124,6.498078
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.685276,10.722197,9.2037365
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.558589,10.150006,8.8542975
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.787594,7.584546,5.68607
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.893934,8.700277,7.2971055
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.204552,11.208719,9.7066355
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.034811,10.718282,9.3765465
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.95977,10.160339,8.5600545
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.505403,8.062637,6.78402
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.6635,8.692443,7.1779715
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.335388,9.811997,8.5736925
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.971179,11.345144,10.1581615
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.783122,9.895922,8.839522
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.208174,10.356549,9.2823615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.941198,10.368006,9.154602
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.163281,7.881308,6.5222945
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.827138,9.408172,8.617655
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.712625,10.57402,9.6433225
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.853231,9.086429,7.96983
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.336346,9.42291,8.379628
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.261791,9.067254,8.1645225
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.476836,10.340883,9.4088595
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.062321,10.883212,9.9727665
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.0145,7.764954,6.889727
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.800857,10.731894,9.7663755
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.542536,10.337916,9.440226
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.743744,10.104261,8.9240025
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.931776,8.918239,7.4250075
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.714484,9.688621,8.2015525
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.809652,10.870199,9.3399255
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.839638,7.842499,6.3410685
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.508757,10.413905,8.961331
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.787358,10.672736,9.230047
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.361493,9.170493,7.765993
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.787594,6.98016,5.383877
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.787594,8.14056,5.964077
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.950152,10.163426,8.556789
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.893934,9.184759,7.5393465
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.975004,7.776999,5.8760015
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.944376,11.169744,9.55706
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.61525,11.175201,9.3952255
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.86795,9.863513,8.3657315
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.333599,8.131296,5.2324475
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.409412,5.942535,4.6759735
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.893934,9.280074,7.587004
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.434107,10.394264,8.9141855
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.062199,11.45143,9.7568145
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.862313,9.15599,7.5091515
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.632422,7.67457,6.153496
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.716582,9.749197,8.2328895
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.48737,9.289662,7.388516
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.416525,9.771488,8.0940065
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.004458,9.497773,7.7511155
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.226048,10.200759,8.7134035
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.20469,9.051534,7.628112
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.67222,6.675154,5.173687
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.787594,6.751918,5.269756
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.166097,11.118486,10.6422915
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.263133,7.641491,6.952312
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.769562,9.470197,9.1198795
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.3262,9.370386,8.848293
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.242585,8.868868,8.5557265
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.355796,9.385015,8.8704055
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.837417,9.81491,9.3261635
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.224623,7.600355,5.912489
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.650692,9.133678,7.392185
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.782168,9.463162,8.122665
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.839638,7.592165,6.2159015
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.892829,10.904467,9.898648
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.795684,8.10533,6.950507
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.108836,10.103106,8.605971
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.174146,9.974852,8.574499
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.507047,12.567436,11.5372415
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.832565,9.675528,8.2540465
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.625756,11.916086,10.770921
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.867713,9.507354,8.6875335
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.059264,10.14869,9.103977
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.51811,9.636103,8.5771065
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.427993,8.154464,6.7912285
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.202391,11.509944,10.3561675
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.146277,7.426977,6.286627
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.757199,9.41784,8.0875195
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.528269,12.73486,11.6315645
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.172778,8.843246,7.508012
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.074327,10.609499,9.341913
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.833514,10.725023,9.2792685
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.210205,11.859859,10.535032
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.977142,10.53869,9.257916
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.752635,11.794585,10.77361
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.279473,10.843588,9.5615305
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.34648,10.646345,9.4964125
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.500721,10.742566,9.6216435
