"","sample","tissue","endometriosis","severity","p1552931_a_at","p212521_s_at","p212522_at","PDE8A"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.438302,3.406056,7.909305,4.58455433333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.572182,4.269073,7.302048,4.71443433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.286009,3.744247,5.3467,3.79231866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.80941,4.73342,7.140804,4.89454466666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.572182,4.646626,5.399923,4.20624366666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.646614,5.569544,7.060691,5.42561633333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.376934,6.624269,9.120761,6.373988
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.80941,4.883274,7.185107,4.95926366666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.438302,4.314308,7.265315,4.67264166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.574662,5.921602,8.996748,6.16433733333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.549234,4.195272,7.736345,4.82695033333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.763015,3.526673,7.10799,4.46589266666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.572182,4.433636,8.176215,5.06067766666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.888173,4.937879,7.097341,4.97446433333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.438302,4.380286,6.803415,4.54066766666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.428454,5.47448,8.303307,5.40208033333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.036517,4.81402,6.473571,4.77470266666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.238746,4.928664,8.079647,5.08235233333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.549234,3.744247,6.742807,4.34542933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.572182,4.40406,7.452466,4.80956933333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.059431,4.937879,7.580273,5.19252766666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.80941,4.305836,6.339453,4.48489966666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.757483,3.890969,6.490188,4.71288
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.873297,4.937879,6.869464,4.89354666666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.280589,3.744247,7.504778,4.50987133333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.438302,4.194774,6.110872,4.24798266666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.648771,4.937879,8.348367,5.31167233333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.572182,6.376579,9.482868,6.14387633333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.567107,5.427806,8.516809,5.50390733333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.503497,6.200587,8.339276,6.01445333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.963645,7.235998,9.313831,7.171158
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.834306,5.44027,8.033123,5.43589966666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.80941,6.055145,8.267563,5.710706
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.830254,5.902583,8.263022,5.66528633333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.545056,6.186046,8.786198,6.17243333333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.80941,5.56813,8.575187,5.650909
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.426928,6.547263,9.139404,6.37119833333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.07526,6.574034,8.615984,6.088426
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.321191,6.630885,8.538312,6.496796
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.83673,6.834405,9.302189,6.65777466666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.748615,7.407692,9.933795,7.36336733333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.091029,7.161845,9.694186,7.31568666666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.766825,7.626281,9.716622,7.70324266666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.369768,7.088546,9.597305,7.01853966666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.085694,8.096558,10.224292,8.13551466666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.222819,7.817189,9.965664,8.00189066666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.009986,7.674695,9.942189,7.87562333333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.754472,7.648701,9.91608,7.77308433333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.956008,6.804407,9.185253,6.648556
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.55584,7.285804,9.478979,7.10687433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.342739,7.069655,9.468213,6.96020233333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.549234,5.784141,8.887723,5.740366
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.233557,6.916681,9.148517,6.76625166666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.917315,7.265078,9.548046,6.91014633333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.03392,5.950665,8.459704,6.14809633333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.128797,6.468941,8.660216,6.08598466666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.224275,5.957259,8.572155,5.91789633333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.438302,5.345926,8.044768,5.276332
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.271007,3.927234,7.33782,4.51202033333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.801518,5.231894,7.429882,5.15443133333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.819398,5.991995,8.790772,5.86738833333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.815421,3.842185,7.159271,4.60562566666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.44332,5.300674,7.707621,5.15053833333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.438302,3.744247,6.612402,4.26498366666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.549234,4.734201,7.411376,4.89827033333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.94617,5.887964,8.834706,5.88961333333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.80941,5.236923,7.133619,5.059984
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.535768,5.345926,8.32048,5.40072466666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.549234,5.345926,7.735235,5.21013166666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.572182,4.816524,7.413428,4.93404466666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.438302,3.526673,7.531309,4.49876133333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.545396,3.526673,7.047892,4.37332033333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.861119,5.88276,8.26951,5.67112966666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.80941,5.952346,8.256991,5.67291566666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.438302,5.338314,8.486154,5.42092333333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.331511,3.556068,7.170755,4.352778
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.549234,4.972818,7.707083,5.07637833333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.997747,4.937879,7.823164,5.25293
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.638257,5.035433,8.394132,5.35594066666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.572182,4.269455,7.763501,4.86837933333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.541318,5.108437,8.289648,5.31313433333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.572182,5.345926,8.040773,5.319627
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.572182,4.991704,7.040087,4.867991
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.572182,5.271235,8.299035,5.38081733333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.922562,5.807028,8.460325,5.72997166666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.630221,6.537298,9.535942,7.234487
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.294658,6.956994,9.365347,7.53899966666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.344975,6.903466,9.396157,7.54819933333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.545516,7.100776,9.324943,7.323745
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.032999,7.627531,9.014916,7.558482
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.38508,7.109924,9.110062,7.20168866666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.493256,6.543381,8.648764,6.56180033333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.73832,6.395968,9.924946,6.68641133333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.549042,7.696498,10.379182,7.541574
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.872046,6.932766,9.95974,6.92151733333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.4973,6.815782,9.249658,6.52091333333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.424881,7.274653,10.035039,7.24485766666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.678168,7.041904,9.673535,7.13120233333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.860158,6.8853,9.589933,6.77846366666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.646185,7.304124,9.956635,7.30231466666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.952926,7.140469,9.588978,6.89412433333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.56204,7.911273,10.742514,7.738609
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.589673,7.27697,9.577103,7.14791533333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.75408,7.135961,9.703964,7.19800166666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.827557,6.845875,10.323659,6.99903033333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.977782,6.400616,9.55696,6.311786
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.375024,7.694939,10.739591,7.936518
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.322656,6.317699,9.45794,6.36609833333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.955689,6.982937,9.568598,6.83574133333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.481694,7.342738,10.131981,6.985471
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.746747,7.075891,9.783223,6.86862033333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.445787,7.096094,9.983881,7.175254
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.506739,6.531508,9.524149,6.854132
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.184413,7.079731,9.778034,6.680726
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.946634,7.670414,10.09429,7.570446
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.881764,6.703065,10.020874,6.86856766666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.553775,6.598082,9.711716,6.621191
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.814786,6.545415,9.716929,6.35904333333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.766987,6.860154,9.732287,6.786476
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.935046,6.43726,9.35399,6.575432
