"","sample","tissue","endometriosis","severity","p214280_x_at","p221919_at","p222040_at","HNRNPA1"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.510631,4.948553,5.845573,6.76825233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.923158,6.023732,4.311948,6.752946
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.422955,7.610351,7.360631,8.46464566666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.310504,6.576115,6.459425,7.78201466666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.10789,5.577133,5.117676,6.60089966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.06707,6.833221,7.488902,8.129731
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.09902,4.967952,4.742043,6.26967166666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.621706,6.095198,6.071954,7.26295266666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.819376,7.280871,7.299159,8.13313533333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.013161,4.948553,4.389356,6.11702333333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.419953,7.109264,7.168308,8.23250833333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.790442,5.449599,7.362817,7.534286
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.079203,5.861738,4.604947,6.515296
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.230391,4.948553,3.359141,5.84602833333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.611147,5.342297,3.359141,6.104195
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.38579,5.925127,5.230626,6.847181
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.276824,5.212084,4.924183,6.47103033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.231686,6.445492,6.564646,7.41394133333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.928861,6.648261,6.104267,7.560463
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.329921,7.385276,7.081178,8.26545833333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.496833,8.479031,8.224668,9.40017733333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.944147,7.218413,6.821923,7.99482766666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.483597,7.48796,7.6557,8.542419
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.382884,8.985021,8.174102,9.51400233333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.177893,7.046125,6.736096,7.98670466666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.041704,7.403265,6.75113,8.06536633333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.647228,7.686434,7.542713,8.62545833333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.569557,8.319875,7.722917,8.870783
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.207543,8.564447,8.496351,9.42278033333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.540076,8.925963,8.600122,9.68872033333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.52054,7.501623,7.91901,8.64705766666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.457994,7.764761,7.64329,8.622015
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.654336,8.376267,8.341508,9.45737033333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.188835,7.453509,7.052373,8.56490566666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.171851,10.382001,9.481415,10.6784223333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.672524,9.112991,8.138352,9.641289
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.485675,9.069275,8.099237,9.55139566666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.247533,10.422124,9.045299,10.571652
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.865442,9.883203,8.873619,10.2074213333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.608572,9.188704,8.243985,9.68042033333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.283322,8.972165,8.422547,9.55934466666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.580084,7.831059,7.625014,9.01205233333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.475753,5.427112,4.684599,6.862488
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.645155,6.363015,6.04761,7.68526
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.194495,7.569728,7.416252,8.726825
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.516092,6.337278,5.994924,7.616098
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.342279,8.217724,7.659503,9.07316866666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.416771,7.473463,7.243977,8.37807033333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.61575,8.266949,7.515566,8.79942166666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.087721,8.666291,7.703867,9.15262633333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.33167,7.000775,7.0152,7.78254833333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.617952,5.473898,6.002593,7.031481
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.469304,6.292984,5.593989,7.118759
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.239086,7.884928,8.408337,8.844117
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.523323,6.28348,5.989343,7.265382
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.66455,5.851981,6.491288,7.33593966666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.252613,6.27151,7.383653,7.96925866666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.966439,5.342297,5.610723,6.63981966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.291919,7.638555,7.81379,8.58142133333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.439227,6.33832,7.052966,7.610171
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.86202,6.780795,7.377828,8.006881
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.797265,7.179178,7.617576,8.19800633333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.877013,5.845603,6.932458,7.55169133333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.834223,5.879557,5.653085,7.12228833333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.571341,5.622244,6.239343,7.14430933333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.217467,7.287728,7.530392,8.34519566666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.261254,7.119246,8.516883,8.632461
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.849994,7.265,7.445624,8.18687266666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.422401,5.896496,4.627898,6.64893166666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.745978,6.97733,6.878382,7.86723
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.921475,6.870025,7.036236,7.94257866666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.494589,7.24851,7.555107,8.43273533333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.582202,6.520147,6.400243,7.500864
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.715302,7.526044,7.898243,8.71319633333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.361627,6.837793,7.22364,7.80768666666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.463023,6.91822,5.778,7.38641433333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.016532,7.155659,7.114499,8.09556333333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.715481,7.682641,7.90401,8.76737733333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.158,9.620611,7.72753,9.502047
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.057123,9.765045,7.692107,9.50475833333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.38307,9.988458,8.007309,9.79294566666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.338389,9.546501,8.133474,9.672788
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.057815,9.666016,7.389932,9.70458766666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.917585,9.329493,7.772545,9.67320766666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.607741,9.723252,8.132214,9.821069
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.839656,10.133267,9.556001,10.5096413333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.812948,10.227024,9.263514,10.4344953333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.853183,9.732536,9.515505,10.3670746666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.381098,9.976781,8.877961,10.0786133333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.616713,9.96227,9.790355,10.456446
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.094604,9.34936,9.273904,9.905956
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.721816,9.920864,9.141803,10.2614943333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.603805,9.853355,8.824108,10.093756
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.37337,9.474037,8.567174,9.80486033333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.247338,10.828684,9.701093,10.925705
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.149841,9.39047,9.646242,10.0621843333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.379368,8.292345,7.629044,9.10025233333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.792159,9.924477,8.939818,10.218818
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.077175,9.772664,8.993413,10.281084
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.716605,10.144915,8.965997,10.275839
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.251913,8.833694,8.45085,9.51215233333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.549785,10.271018,8.930354,10.2503856666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.877246,10.244129,10.286122,10.802499
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.775887,8.422057,7.805284,9.001076
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.549217,10.14033,9.692853,10.4608
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.656591,9.364339,8.892805,9.971245
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.977426,10.362174,10.653572,10.997724
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.692815,9.689269,9.397578,10.2598873333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.826218,9.389201,8.611934,9.942451
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.149073,9.374434,8.441052,9.654853
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.700577,9.163307,8.51905,9.79431133333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.724404,9.178521,8.921186,9.94137033333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.716527,9.431672,8.927961,10.0253866666667
