"","sample","tissue","endometriosis","severity","p202471_s_at","p214333_x_at","IDH3G"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.557804,6.823639,9.1907215
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.170186,8.025362,10.097774
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.11516,7.975896,10.045528
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.488998,7.303145,9.3960715
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.375948,8.063104,10.219526
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.447125,7.227477,9.337301
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.364162,6.998142,9.181152
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.312277,8.00649,10.1593835
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.995772,7.317359,9.6565655
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.535822,8.463215,10.4995185
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.637388,7.593678,9.615533
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.202746,7.617501,9.9101235
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.567835,8.36985,10.4688425
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.370951,8.125715,10.248333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.546203,8.068123,10.307163
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.264505,8.025604,10.1450545
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.370646,7.803401,10.0870235
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.989507,7.657516,9.8235115
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.856625,6.672483,8.764554
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.214234,7.920811,10.0675225
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.730134,7.051657,9.3908955
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.423171,6.756528,9.0898495
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.147209,7.527095,9.837152
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.251672,7.666925,9.9592985
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.89331,7.405287,9.6492985
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.580294,7.109659,9.3449765
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.209912,6.698378,8.954145
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.569312,6.698378,9.133845
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.152794,7.794875,9.9738345
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.223681,7.798977,10.011329
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.199049,5.60879,7.9039195
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.470292,5.789717,8.1300045
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.367302,5.852978,8.11014
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.139128,5.503872,7.8215
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.501727,5.938891,8.220309
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.35039,5.845754,8.098072
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.625693,6.242131,8.433912
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.532911,5.826871,8.179891
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.426079,5.965861,8.19597
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.321682,5.855893,8.0887875
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.437497,5.977965,8.207731
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.627079,5.979499,8.303289
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.774184,6.388373,8.5812785
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.548427,5.798564,8.1734955
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.352397,5.918728,8.1355625
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.630476,7.402157,9.5163165
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.303308,6.698378,9.000843
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.021975,7.333352,9.6776635
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.073988,7.974703,10.0243455
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.242777,8.032835,10.137806
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.216119,7.530431,9.873275
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.978896,7.06346,9.521178
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.316719,7.916384,10.1165515
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.800841,7.196525,9.498683
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.935443,7.873904,9.9046735
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.050817,7.726175,9.888496
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.440818,6.805259,9.1230385
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.849937,7.278402,9.5641695
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.301683,7.175957,9.23882
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.901616,7.271368,9.586492
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.67683,7.146167,9.4114985
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.198922,7.682656,9.940789
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.225893,7.730261,9.478077
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.828286,7.353456,9.590871
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.894174,7.418728,9.656451
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.52651,6.972788,9.249649
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.433683,7.936587,10.185135
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.817515,6.698378,9.2579465
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.46586,7.156087,9.3109735
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.928446,7.330981,9.6297135
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.659159,7.71367,9.6864145
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.619453,7.04502,9.3322365
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.803495,7.576065,9.68978
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.002779,7.879887,9.941333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.891984,7.332606,9.612295
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.069782,7.341897,9.7058395
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.186671,6.614728,8.4006995
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.642433,5.755758,7.6990955
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.8977,6.242131,8.0699155
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.174339,6.694396,8.4343675
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.751187,6.564289,8.157738
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.207794,6.698378,8.453086
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.75673,7.259389,9.0080595
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.052969,6.100978,8.0769735
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.952515,5.841031,7.896773
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.659493,5.259172,7.4593325
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.372521,6.052733,8.212627
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.839749,5.605458,7.7226035
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.37256,5.15961,7.266085
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.698698,5.726738,7.712718
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.046079,5.856576,7.9513275
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.336844,6.046376,8.19161
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.952295,5.695711,7.824003
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.8748,5.604817,7.7398085
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.180183,5.608104,7.8941435
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.805447,5.6069,7.7061735
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.706481,5.603869,7.655175
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.390939,5.788554,8.0897465
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.737421,5.690728,7.7140745
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.985416,5.697666,7.841541
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.718893,6.126157,7.922525
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.68521,6.047853,7.8665315
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.993081,5.680945,7.837013
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.137293,5.982145,8.059719
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.834027,5.636271,7.735149
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.541476,6.194235,7.8678555
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.877851,5.441506,7.6596785
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.91586,5.824266,7.870063
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.738216,5.577388,7.657802
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.517375,5.663187,7.590281
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.866385,5.58564,7.7260125
