"","sample","tissue","endometriosis","severity","p1557350_at","p201514_s_at","p225007_at","G3BP1"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.823892,6.309796,7.515141,6.21627633333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.892268,6.219077,8.232159,6.11450133333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.503294,6.418402,8.016027,6.31257433333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.164935,6.287584,6.901103,5.78454066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.098883,6.719933,5.73801233333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.805825,6.287584,6.827927,5.64044533333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.004981,7.038857,7.928947,6.32426166666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.523884,6.219077,7.926228,6.223063
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.768939,5.164547,7.130876,6.021454
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.111003,6.219077,7.587673,5.97258433333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.487284,6.790958,7.832306,6.703516
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.757132,6.287584,6.292919,5.44587833333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.132726,6.287584,6.526641,5.64898366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.942875,8.703527,6.680541
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.733372,6.38761,6.848346,5.32310933333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.056065,5.318309,6.377236,5.58387
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.146123,6.813743,8.431097,6.79698766666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.079905,6.254766,7.15097,5.828547
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.411686,6.287584,7.062381,5.92055033333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.878999,6.219077,8.649261,6.915779
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.281415,6.38761,6.807961,5.825662
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.757132,6.219077,6.94211,5.63943966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004709,5.611592,8.428449,6.34825
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.725134,6.247117,6.578528,5.51692633333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.503779,6.219077,7.998971,6.57394233333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.155962,6.287584,6.877268,6.106938
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.304392,5.841142,7.991067,6.04553366666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.084918,6.906037,5.795392
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.395221,6.287584,7.104853,5.92921933333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.69571,6.287584,7.2699,5.75106466666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.494311,6.38761,6.707101,5.86300733333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.236671,5.299073,7.791635,5.775793
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.839251,6.742579,7.995286,6.85903866666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.287584,8.021697,6.234834
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.924996,6.219077,8.448784,6.197619
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.287584,8.043697,6.24216733333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.208114,6.79933,8.407256,6.47156666666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.002769,8.164765,8.559061,7.24219833333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.951706,6.458332,7.971056,6.46036466666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.998412,7.029779,7.952193,6.660128
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.431933,7.302005,8.024105,6.252681
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.102002,6.854175,8.709111,6.88842933333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.330902,6.702972,8.249521,6.42779833333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.383313,7.597001,8.550903,7.17707233333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.387252,6.852726,7.898958,6.71297866666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.368035,7.125018,7.960645,6.15123266666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.091022,8.349155,8.698095,6.71275733333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.473714,7.599629,8.981779,6.68504066666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.757132,7.719964,9.342581,6.93989233333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.761647,7.990907,8.928149,6.56023433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.680111,7.328347,8.651078,6.55317866666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.431933,7.870855,8.724266,6.67568466666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.395221,7.788681,9.200815,7.128239
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.31516,7.948036,9.058703,6.77396633333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.733372,7.554152,8.930454,6.40599266666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.129031,8.168888,8.69795,6.66528966666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.733372,8.606994,8.843231,6.72786566666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.45141,8.077488,8.976116,6.50167133333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.104341,6.854175,8.831231,6.59658233333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.07238,8.438682,8.983166,6.83140933333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.733372,8.541109,8.597306,6.623929
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.706027,6.878432,7.795434,6.126631
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.49243,6.849601,8.436977,6.25966933333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.509331,6.97008,8.151707,6.21037266666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.468277,6.854175,7.880492,6.40098133333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.69571,6.219077,7.626777,5.847188
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.395221,6.476559,7.381703,6.08449433333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.506947,6.954875,8.38687,6.61623066666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.568933,6.987712,7.447952,6.33486566666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.421866,6.612887,8.208462,6.74773833333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.757132,4.721718,7.147479,5.20877633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.111995,6.287584,6.841165,5.74691466666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.292409,7.190377,8.379709,6.954165
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.734939,6.260729,7.762235,6.25263433333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.539227,6.822611,8.436758,6.93286533333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.334116,6.341882,8.166451,6.61414966666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.210996,6.28126,7.493571,6.328609
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.124775,5.582322,7.760987,6.156028
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.69571,6.219077,7.564116,5.826301
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.728868,6.742018,8.385125,6.95200366666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.858256,7.751819,8.463076,7.02438366666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.418886,6.219077,8.248651,6.62887133333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.74878,6.254818,7.825104,5.94290066666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.112445,6.342106,8.302373,6.58564133333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.250501,6.455442,8.165316,6.623753
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.983562,6.38761,8.09959,6.490254
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.395221,5.164109,8.014704,5.85801133333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.552474,6.830123,8.330525,6.904374
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.757132,6.634283,7.898345,6.09658666666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.004943,6.287584,7.589803,5.62744333333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.595166,6.565735,8.048266,6.736389
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.395221,6.983533,8.170611,6.516455
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.099954,7.741834,8.177679,6.67315566666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.395221,8.252944,8.63194,7.09336833333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.965568,7.81731,8.793191,7.192023
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.452874,8.058645,8.731387,7.08096866666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.082973,8.577933,8.929452,7.53011933333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.843623,8.826721,9.410739,7.69369433333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.248042,8.721129,9.596713,7.85529466666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.699565,5.976262,8.795052,6.490293
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.472414,6.854175,9.182208,6.83626566666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.8972,7.23422,9.283329,7.13824966666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.934023,6.738529,9.042823,6.57179166666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.8474,6.965804,9.30835,7.040518
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.165758,6.478399,8.728623,6.45759333333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,6.854175,9.30796,6.852452
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.419798,6.74086,9.164906,6.775188
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.666809,7.136028,8.691624,6.49815366666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.253151,6.886459,9.221779,7.120463
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.395221,6.82709,9.083756,6.768689
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.145849,8.841332,9.340468,7.44254966666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.931464,7.216972,9.092618,7.08035133333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.122164,7.574566,8.925188,7.207306
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.245484,6.854175,9.252413,7.11735733333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.042029,6.943238,8.748735,6.57800066666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.99235,7.22595,8.956767,6.72502233333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.628137,6.789477,9.373026,7.26354666666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.757132,7.334783,8.071612,6.38784233333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.757132,6.871926,8.845303,6.49145366666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.388157,7.547983,9.214376,7.050172
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.650775,7.406614,9.471126,7.17617166666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.98565,6.900654,8.943149,7.27648433333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.966041,7.644136,8.586351,7.06550933333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.59916,7.199523,8.292161,6.696948
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.1404,7.417107,8.990952,7.18281966666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.743493,7.579461,9.27499,7.19931466666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.299574,7.206669,9.396905,6.967716
