"","sample","tissue","endometriosis","severity","p1567213_at","p1567214_a_at","p210183_x_at","p212037_at","p212036_s_at","PNN"
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.135053,9.896424,13.316668,9.679049,10.177249,9.6408886
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.883581,10.860237,12.722238,10.543674,10.510975,10.504141
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.636911,10.355048,12.610403,10.045626,10.169594,9.9635164
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.967259,11.971603,12.634647,10.963918,11.74236,11.0559574
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.752787,11.120495,12.282215,10.137549,11.056284,10.469866
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.671877,11.262105,12.843141,10.033978,10.887186,10.5396574
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.321347,12.143406,12.696706,10.835935,12.090297,11.2175382
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.948564,11.510961,12.839683,10.604566,11.64039,10.9088328
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.852143,11.438199,12.54199,10.452297,11.393137,10.7355532
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.322151,10.957284,12.826191,9.843774,10.764515,10.342783
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.922519,10.820778,12.601613,10.422196,10.230753,10.1995718
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.266792,9.607807,12.33685,9.637805,9.376509,9.4451526
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.94213,10.041034,12.5518,10.079742,9.651346,9.6532104
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.37118,10.579874,12.866202,9.827536,9.978156,9.9245896
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.690922,10.089489,12.579835,10.31325,9.931584,9.921016
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.470019,10.633896,12.744318,10.457591,10.235788,10.3083224
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.088023,9.330948,12.582061,8.712103,9.631904,8.8690078
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.733578,10.166209,12.955091,10.196024,10.656514,10.1414832
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.306985,10.142395,13.405839,10.372968,10.524856,10.1506086
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.706372,8.658364,12.972382,8.582069,8.498535,8.2835444
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,6.649513,13.324599,8.767355,6.90129,7.5757648
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.511892,7.362514,13.220888,8.075181,7.169718,7.6680386
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.82125,9.681622,13.259957,9.495152,9.664153,9.1844268
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,7.894769,13.362761,8.629526,7.467796,7.9181838
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.949803,8.746195,13.190204,8.726955,8.940208,8.910673
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.511892,5.794459,13.330264,7.830613,6.381195,7.1696846
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.488058,6.920581,12.98123,7.606328,6.639019,7.3270432
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.093625,9.096151,13.065803,9.691597,9.143087,9.4180526
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.143933,8.102907,13.498445,8.421207,7.555555,8.3444094
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.363225,8.683199,12.89333,9.206166,8.926631,8.8145102
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.750686,8.677679,13.401833,8.792618,8.655097,8.8555826
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.122914,7.193353,13.078039,8.50029,7.293219,8.037563
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.466934,6.940532,13.185747,8.194103,6.822933,7.5220498
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.569427,7.325666,12.828612,7.807312,5.879613,7.282126
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.135053,9.162645,13.182025,9.912997,9.303321,9.3392082
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.305317,9.843176,12.638258,9.895929,9.972812,9.7310984
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.951145,8.832685,13.20702,8.987667,8.431007,9.0819048
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.511892,6.778513,13.258596,8.464862,6.950869,7.5929464
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.546709,7.665135,13.423393,8.754882,8.077021,8.493428
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.047354,8.83072,12.859651,8.876881,8.651583,8.8532378
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.008548,8.127686,13.274269,8.987667,8.537699,8.3871738
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.512037,7.08979,12.744967,8.704027,6.125945,7.4353532
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.805651,9.304425,13.144846,9.586327,9.267874,9.4218246
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.901663,8.808605,12.43219,8.895481,8.924546,8.392497
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.434511,8.306383,13.520344,8.919825,8.685017,8.373216
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.320537,8.539478,13.128117,8.63552,8.787864,8.2823032
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.203433,9.832699,12.816895,9.636408,10.185321,9.7349512
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.389829,10.998673,12.643584,10.336937,10.990845,9.8719736
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.847166,10.869909,12.529181,10.277007,11.360416,9.7767358
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.820176,10.974641,12.321917,10.279198,11.334243,9.746035
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.465849,10.827385,12.604947,10.49341,10.899576,9.4582334
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867544,11.269091,12.487115,11.202627,11.920264,10.3493282
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.961694,10.839692,12.520989,10.473293,11.501106,9.8593548
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.135053,10.937888,12.739235,10.689764,11.487368,10.1978616
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.376152,11.983617,12.14649,10.524559,11.35105,10.6763736
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.83872,11.895246,12.357588,10.671371,11.558616,10.8643082
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.321714,11.946567,12.574095,10.607994,11.638643,11.0178026
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.771237,12.003107,12.81139,10.763732,11.474559,10.964805
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.996606,12.139289,12.333617,10.920008,11.628202,11.0035444
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.352223,12.064231,12.642522,9.793107,11.54785,10.8799866
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.835391,11.963705,11.982855,10.599485,11.400951,10.7564774
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.703495,11.539644,12.26501,10.711163,11.153172,10.6744968
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.318094,11.018369,12.511904,10.1594,10.465766,10.2947066
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.157671,12.289643,12.194944,11.126803,11.761549,11.106122
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.387094,11.163492,12.186099,9.618714,10.790587,10.2291972
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.50052,11.158236,12.551287,10.549914,10.68206,10.4884034
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.547504,11.762591,12.520621,10.730161,11.341502,10.7804758
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.884555,11.750616,12.392506,10.587368,11.470899,10.8171888
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.130468,12.250623,12.251473,10.872636,11.738778,11.0487956
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.297305,11.046655,12.632391,9.956136,10.887581,10.3640136
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.147076,12.090499,12.67586,10.740984,11.523835,11.0356508
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.438947,12.38034,12.188087,10.758278,12.015183,11.156167
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.812274,10.498892,12.592804,9.491357,10.321699,9.9434052
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.180658,12.247368,12.513596,10.584541,11.626217,11.030476
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.803109,11.694761,12.52195,10.626835,11.39652,10.808635
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.174267,12.314171,12.503406,11.008567,11.874992,11.1750806
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.680373,11.403507,12.31277,9.597061,11.097346,10.4182114
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.83327,11.606674,12.362183,10.562978,11.406873,10.7543956
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.254485,10.869447,12.602517,9.469773,10.588354,10.1569152
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609899,11.374806,12.662296,10.725074,10.953816,10.6651782
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.825258,11.571472,12.588099,10.709732,11.237899,10.786492
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.855173,11.53797,12.685377,10.631774,11.313243,10.8047074
