"","sample","tissue","endometriosis","severity","p220985_s_at","p226104_at","RNF170"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.912584,5.78651,5.349547
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.468698,6.968176,6.218437
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.368895,5.929549,5.149222
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.587092,7.033163,6.3101275
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.855862,6.995356,6.425609
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.15345,6.430097,5.7917735
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.771275,6.556858,5.6640665
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.549242,6.585033,6.0671375
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.883163,4.923551,4.403357
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.108384,5.826735,4.9675595
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.15301,8.904144,8.028577
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.223834,6.284244,5.754039
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.967221,6.996671,5.981946
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.68548,8.158945,7.4222125
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.883676,6.995356,5.939516
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.484464,7.256188,5.870326
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.497068,7.096243,6.2966555
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.470871,5.356804,4.9138375
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.9873,6.536209,5.7617545
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.60875,7.065226,6.336988
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.74969,6.129323,5.9395065
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.639332,7.106474,6.372903
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.357797,6.052351,5.705074
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.944114,6.995356,5.469735
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.405641,6.91641,6.1610255
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.527619,5.766592,5.6471055
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.92043,6.995356,5.957893
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.549242,5.85743,5.703336
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.527594,7.200932,6.364263
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.826053,6.707709,6.266881
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.823641,7.770385,6.797013
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.903599,8.914172,7.9088855
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.843235,7.466631,6.654933
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25659,8.212138,7.234364
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.110424,8.557892,7.834158
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.880883,7.920075,7.400479
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.056341,7.392071,6.724206
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.558598,7.618246,7.088422
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.149244,7.783941,6.9665925
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.185103,8.291799,7.238451
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.579002,8.880295,8.2296485
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.146521,6.995356,6.0709385
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.089196,6.995356,6.042276
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.355158,8.796388,8.075773
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.663647,8.621249,8.142448
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.951545,8.964167,7.957856
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133063,8.568054,7.8505585
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.973986,9.356369,8.6651775
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.584913,8.676573,8.130743
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.042533,8.367347,7.70494
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.904696,8.698272,8.301484
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.341681,9.227092,8.2843865
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.799065,8.950338,8.3747015
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.364901,8.808678,8.0867895
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.148519,8.51237,7.8304445
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.251588,9.370566,7.811077
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.418655,8.569406,7.9940305
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.418858,8.345894,7.882376
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.613597,7.200778,5.9071875
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.828603,8.209262,7.5189325
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.114199,7.574054,6.8441265
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.647262,7.124426,6.385844
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.356,7.205155,6.2805775
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.059814,6.574432,6.317123
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.117914,7.171894,6.644904
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.5818,5.94625,5.764025
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.229028,7.741108,6.985068
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.932103,7.707643,5.819873
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.33405,5.643821,5.4889355
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.114199,7.61271,6.8634545
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.695378,6.995356,6.345367
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.015159,6.393462,6.2043105
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.057103,6.940064,6.4985835
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.114199,6.665286,6.3897425
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.556105,6.995356,6.2757305
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.397177,6.995356,5.6962665
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.267641,7.445984,6.8568125
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.386332,7.587247,6.9867895
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.114199,7.084561,6.59938
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.225533,6.56865,5.8970915
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.759733,7.29301,6.5263715
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.354491,7.459627,6.907059
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.549242,7.288881,6.4190615
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.259161,6.995356,6.1272585
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.218008,7.686135,6.9520715
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.992177,5.929717,5.960947
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.346945,6.755056,6.0510005
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.247264,7.92036,7.083812
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.118133,8.408031,7.763082
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.678461,8.499876,8.0891685
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.668565,8.664139,7.666352
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.740488,8.733359,7.7369235
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.266503,7.800037,7.03327
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.13742,8.631563,7.3844915
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.549242,8.155809,6.8525255
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.147027,8.397108,6.7720675
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.048966,9.501195,7.7750805
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.06173,9.678737,8.3702335
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.746172,9.139085,7.9426285
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.338633,9.879774,8.6092035
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.846024,9.455414,8.150719
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.079884,9.586713,8.3332985
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.686581,9.338248,8.0124145
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.515358,9.446333,8.4808455
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.440313,8.78537,8.1128415
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.851835,9.516867,8.184351
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.537726,8.750355,7.6440405
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.354603,9.264769,8.309686
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.916756,9.16351,8.040133
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.984206,9.081063,8.0326345
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.758384,9.898869,8.8286265
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.5211,9.208568,7.864834
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.328397,9.692173,8.510285
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.684747,8.304811,7.494779
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.412174,8.371359,7.8917665
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.013274,9.589393,8.3013335
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.011464,8.712864,7.862164
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.042384,9.074407,8.0583955
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.906984,7.508464,6.707724
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.713664,8.47067,7.592167
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.297823,8.612397,7.95511
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.807466,8.582289,7.6948775
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027338,8.46067,7.744004
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.762167,8.137708,7.4499375
