"","sample","tissue","endometriosis","severity","p47553_at","p221887_s_at","WHRN"
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.929171,9.324111,9.126641
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.846378,8.273699,8.0600385
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.786439,10.779872,10.7831555
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.42859,7.330283,6.8794365
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.523092,7.757517,7.6403045
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.085792,10.361803,10.2237975
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.229559,7.776742,7.5031505
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.518604,6.830171,6.6743875
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.231982,7.222215,7.2270985
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.897761,8.794791,8.346276
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.996639,8.346562,8.1716005
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.432489,9.255657,9.344073
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.662538,6.920736,6.791637
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.164495,7.462672,7.3135835
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.009872,10.167834,10.088853
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.406293,6.505217,6.455755
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.939682,9.187583,9.0636325
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.225971,7.60283,7.4144005
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.401283,7.745724,7.5735035
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.455507,8.711101,8.583304
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.520318,7.859018,7.689668
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.872673,8.935983,8.904328
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.87309,6.500694,6.186892
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.014158,7.311296,7.162727
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.485089,8.042986,7.7640375
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.086393,9.156024,9.1212085
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.098543,9.222632,9.1605875
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.836573,8.946592,8.8915825
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.999742,7.843196,7.421469
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.085561,7.747065,7.416313
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.003591,6.996578,7.0000845
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.256974,6.678107,5.9675405
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.179447,9.32086,9.2501535
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.968461,8.016867,7.992664
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.350813,7.569929,7.460371
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.050467,7.140625,7.095546
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.624614,10.689452,10.657033
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.607311,9.698988,9.6531495
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.565029,7.688173,7.626601
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.084981,7.298419,7.1917
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.897211,6.873997,6.385604
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.806806,9.713102,9.759954
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.978556,8.037456,8.008006
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.89757,7.303,7.100285
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.52032,5.526609,4.5234645
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.891823,5.266858,5.0793405
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.464815,6.152365,5.80859
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.383182,3.880358,4.13177
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.278957,8.157126,8.2180415
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.987746,6.151469,6.0696075
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.240584,5.050093,4.6453385
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.363341,6.437044,6.4001925
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.606367,7.518145,7.562256
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.074569,4.782272,4.9284205
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.395146,5.740376,5.567761
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.548655,4.914692,4.2316735
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.135823,10.023441,10.079632
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.914468,4.688009,4.3012385
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.928738,4.501966,4.215352
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.216221,7.783412,7.4998165
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.841023,10.073824,9.9574235
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.722733,6.322575,6.522654
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.414832,8.03984,8.227336
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.163747,8.344238,8.2539925
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.454441,8.605648,8.5300445
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.913925,6.598577,6.256251
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.083207,7.908704,7.4959555
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.248453,11.331211,11.289832
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.653372,7.384107,7.0187395
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.795555,7.997898,7.8967265
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531739,7.590001,7.56087
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.728634,7.995876,7.862255
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.555937,6.923666,6.7398015
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.380665,7.683127,7.531896
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.852221,6.92457,6.8883955
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.011778,9.115466,9.063622
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.176674,10.431973,10.3043235
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.185204,7.614632,7.399918
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.62432,6.677853,6.1510865
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.181552,8.219917,8.2007345
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.795346,8.211363,8.0033545
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.911518,8.81901,8.865264
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.753983,8.010708,7.8823455
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.141631,7.507596,7.3246135
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.385677,8.349581,8.367629
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.414624,6.958909,6.6867665
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.41523,7.583751,7.4994905
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.589288,6.910627,6.7499575
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.469397,10.533219,10.501308
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.870185,9.899517,9.884851
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.075142,7.209965,7.1425535
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.978487,8.689701,8.834094
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.302623,6.307997,6.30531
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.443188,7.016232,7.22971
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.219907,6.237367,5.728637
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.403054,5.891502,5.647278
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.429404,6.190753,5.8100785
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.726398,10.39868,10.562539
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.680933,7.388039,7.534486
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.933924,7.710162,7.822043
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.157834,10.829889,10.9938615
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.363155,7.143897,7.253526
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.721638,9.816813,9.7692255
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.894893,6.801424,6.8481585
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.442395,7.278958,7.3606765
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.403295,8.158778,8.2810365
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.259875,6.824954,7.0424145
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.354545,7.091758,7.2231515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.397407,5.777587,5.087497
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.891574,6.322575,6.1070745
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.878314,6.322575,6.1004445
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.541813,10.250175,10.395994
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.998119,6.40154,6.1998295
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.147928,9.893009,10.0204685
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.938971,8.462479,8.700725
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.539623,6.487326,6.0134745
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.720901,9.547329,9.634115
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.056626,6.067394,5.56201
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258714,6.302287,6.2805005
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.221495,7.007464,7.1144795
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.514863,5.453204,4.9840335
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.606188,6.880278,6.743233
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.508224,6.216043,5.3621335
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.818516,6.322575,6.0705455
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.746265,6.657705,6.701985
