"","sample","tissue","endometriosis","severity","p226069_at","p226065_at","p230708_at","PRICKLE1"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.523701,7.99826,5.732945,7.08496866666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.646135,9.128023,7.314528,8.36289533333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.102849,9.247456,8.290762,8.88035566666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.894775,8.825554,7.939456,8.55326166666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.643423,7.630909,5.535361,6.26989766666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.787966,9.004805,8.173048,8.655273
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.61146,5.762064,5.29121,6.221578
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.173982,8.341991,6.68892,7.73496433333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.124086,7.752019,8.114348,7.99681766666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.618351,7.435094,6.608623,7.22068933333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.253351,9.252456,7.857057,8.78762133333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.827601,6.774269,5.883496,6.82845533333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.21502,6.733955,5.764317,6.237764
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.669997,8.644905,5.473665,7.26285566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.089889,7.167448,6.692934,6.98342366666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.441414,7.72685,6.617247,7.261837
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.796807,6.493027,6.176165,6.82199966666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.341695,6.88158,7.508735,7.57733666666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.00824,8.677465,7.182264,7.95598966666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.363709,9.531054,7.903029,8.93259733333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.702975,8.446994,7.623857,8.257942
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.379601,8.552911,7.127524,8.020012
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.356695,6.674432,5.66821,6.23311233333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.843983,7.147771,7.551759,7.51450433333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.331344,8.072199,7.208813,7.87078533333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.458381,8.848602,7.588616,8.298533
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.98558,7.40279,7.520226,7.63619866666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.381399,8.402284,7.510685,8.09812266666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.525347,8.107898,7.430951,8.02139866666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.86554,8.896091,7.196495,8.31937533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.92251,9.67939,8.140665,8.91418833333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.851151,8.920895,7.663376,8.478474
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.097779,9.862981,9.793625,9.91812833333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.532353,9.815403,9.477999,9.608585
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.494866,10.023257,9.347591,9.62190466666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.114184,9.276416,8.567492,8.98603066666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.955249,9.063234,8.684027,8.90083666666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.272706,9.399942,8.400048,9.024232
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.899881,9.864184,9.212448,9.65883766666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.323092,9.459267,8.340023,9.040794
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.993024,9.187033,9.192808,9.12428833333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.570627,9.214987,9.041592,9.27573533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.337839,8.96164,8.431142,8.57687366666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.846629,9.956642,9.52177,9.77501366666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.532449,10.136844,8.710183,9.126492
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.903349,9.771866,8.992928,9.55604766666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.908249,9.583325,9.178633,9.55673566666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.752261,8.813471,7.412145,8.325959
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.941391,8.849719,7.34347,8.04486
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.459315,8.710346,8.129096,8.76625233333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.933244,7.435526,6.371347,7.24670566666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.863686,8.904977,7.758307,8.50899
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.919379,7.894349,6.331428,7.38171866666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.037271,9.222844,8.39927,9.219795
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.001569,8.952532,7.549277,8.501126
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.135518,8.83432,6.973967,7.98126833333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.783463,9.203626,7.596167,8.527752
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.374883,8.230188,6.10127,7.56878033333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.157593,9.488711,8.484803,9.04370233333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.298451,8.011719,6.582486,7.297552
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.888938,8.567504,8.019485,8.49197566666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.196423,8.630605,7.639747,8.15559166666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.002342,8.498968,7.44387,7.98172666666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.280648,9.51832,8.000042,8.59967
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.406319,7.972944,7.690734,8.02333233333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.479442,10.0711,8.552501,9.367681
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.360757,9.601721,8.961007,9.30782833333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.377196,8.686332,8.33163,8.46505266666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.670202,8.695301,6.567124,7.97754233333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.439244,8.884668,7.436743,8.25355166666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.875809,9.493802,8.615994,8.99520166666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.806904,7.954424,8.839696,8.867008
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.900209,8.494926,8.026897,8.14067733333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.874326,9.995307,8.818851,9.562828
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.607058,9.513578,8.284986,9.13520733333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.612597,8.173594,6.748168,7.84478633333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.140437,8.599529,8.149312,8.62975933333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.68431,8.538145,7.070414,8.097623
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.375158,8.356125,5.726886,7.152723
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.402535,7.870353,5.512691,6.92852633333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.165353,9.383211,7.214234,8.254266
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.98047,8.281361,5.883496,7.38177566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827915,9.780152,6.770285,8.45945066666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.443734,9.720819,5.61381,7.926121
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.1968,10.496982,8.212896,9.302226
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.551526,8.078999,7.49303,8.041185
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.188846,9.287708,8.186432,8.887662
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.714449,10.332641,8.764923,9.60400433333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.639715,8.732289,8.21747,8.52982466666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.923091,9.983479,9.695071,9.86721366666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.491507,9.919078,8.660355,9.35698
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.42911,7.772264,6.312204,7.17119266666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.490145,8.714675,8.017009,8.40727633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.807488,8.116809,7.205195,7.70983066666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.471145,9.872957,9.355,9.56636733333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.527987,9.111052,8.036045,8.55836133333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.897307,10.161287,9.462999,9.840531
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.491044,10.201475,9.299411,9.66397666666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.933643,10.478839,9.434166,9.94888266666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.488425,8.303711,8.298064,8.3634
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.697128,10.505016,8.702229,9.634791
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.875205,9.234956,8.137637,8.749266
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.988996,8.479155,7.770974,8.07970833333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.637623,7.808625,6.631657,7.35930166666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.06985,9.576216,8.626873,9.09097966666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.008631,10.73925,9.222601,9.99016066666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.266795,10.344324,9.892378,10.1678323333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.366503,5.863329,4.889494,5.706442
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.646821,10.059314,8.5516,9.419245
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.288173,8.639724,7.929175,8.28569066666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.19029,10.581741,9.765442,10.1791576666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.783914,10.372749,8.80912,9.655261
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.329777,9.474098,8.464444,9.08943966666667
