"","sample","tissue","endometriosis","severity","p208914_at","p213772_s_at","GGA2"
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.929079,5.879833,5.404456
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.727142,5.242783,4.9849625
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.656923,5.777403,5.217163
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.596437,6.411947,6.004192
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.405621,6.536283,5.970952
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.696868,6.055462,5.876165
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.404973,5.494301,5.449637
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.399107,5.423592,4.4113495
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.00137,5.130354,4.565862
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.670502,5.879925,5.2752135
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.107269,5.70011,5.4036895
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.812122,5.336204,5.074163
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.786694,5.448803,5.1177485
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.28059,5.246395,4.7634925
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,4.983539,4.820231
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.28059,4.983539,4.6320645
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.660155,6.127194,5.3936745
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.164964,6.127194,5.646079
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,5.099523,4.878223
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,5.655893,5.156408
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.28059,4.193621,4.2371055
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.423732,5.632829,5.5282805
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,5.702336,5.1796295
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.656788,5.674535,5.1656615
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.28059,4.171438,4.226014
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.660443,5.4936,5.0770215
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.28059,5.740164,5.010377
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.665279,5.780304,5.2227915
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.506218,5.130354,4.818286
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,5.083486,4.8702045
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.056315,5.070865,4.56359
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.935312,5.197917,4.5666145
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.276764,4.834328,4.555546
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.656923,6.127194,5.3920585
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.178499,5.250327,5.214413
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.54718,6.360367,5.9537735
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.162341,5.554109,5.358225
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.894706,5.899608,5.397157
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.656923,5.30736,4.9821415
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131727,7.170781,6.651254
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.834174,6.841228,6.337701
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.28059,6.202851,5.2417205
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.656923,5.337776,4.9973495
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.646463,7.216544,6.9315035
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.105793,6.785982,6.4458875
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8624,6.262821,6.0626105
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.656923,5.600993,5.128958
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.489198,5.492064,5.490631
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.870342,6.101527,5.4859345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.18167,6.796314,5.988992
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.346828,6.592048,5.969438
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.866795,7.534771,6.700783
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.970789,6.501356,6.2360725
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.968309,6.127194,5.5477515
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.585225,7.232005,6.408615
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.291971,6.850103,6.071037
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.001802,6.767034,5.884418
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.116896,6.638171,5.8775335
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.401914,6.913848,6.157881
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.001245,7.10501,6.5531275
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.936933,6.478416,6.2076745
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.582223,6.551273,6.066748
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.329614,6.888695,6.1091545
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.20061,6.757028,5.978819
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.777412,6.271407,6.0244095
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.002092,6.793854,6.397973
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.576727,6.189863,5.383295
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.195145,6.683772,5.9394585
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.715582,4.688059,4.7018205
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.15533,6.127194,5.641262
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.022733,5.632452,4.8275925
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.635896,5.390172,5.013034
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.101952,5.738113,5.4200325
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.28059,4.881975,4.5812825
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.314212,5.130354,4.722283
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.817871,5.86487,5.3413705
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.490905,5.006569,4.748737
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.413718,5.60764,5.010679
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.065394,6.127194,5.596294
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.25344,5.993931,5.6236855
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.103822,4.844431,4.4741265
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.35452,4.983539,4.6690295
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.283812,5.957845,5.1208285
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.2729,5.517281,4.8950905
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.372618,6.127194,5.749906
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.393524,6.070944,5.232234
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.667488,5.133829,4.9006585
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.255351,5.843996,5.5496735
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.610821,5.582184,5.0965025
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.843789,5.501143,5.172466
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.105797,5.780877,5.443337
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.610137,5.878571,5.244354
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.715059,5.13762,4.9263395
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.28059,5.229997,4.7552935
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.460805,6.127194,5.2939995
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.25338,7.749967,7.5016735
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.703114,6.127194,5.915154
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.428722,6.335897,6.3823095
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.694364,6.301479,6.4979215
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.939742,6.748826,6.344284
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.391083,6.183071,5.787077
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.590955,6.276276,6.4336155
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.288992,6.127194,5.708093
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.516841,6.580669,6.548755
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.315471,6.299349,5.80741
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.96195,6.606703,6.2843265
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.410417,6.527017,5.968717
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.160288,6.127194,5.643741
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.857703,6.496028,6.1768655
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.596991,7.068641,6.832816
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.586298,7.177586,6.881942
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.347548,7.082905,6.7152265
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.085889,6.538009,6.311949
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.194065,6.127194,5.6606295
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.750996,6.498035,5.6245155
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.643511,6.718059,6.180785
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.903794,6.909388,6.406591
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.790615,6.833668,6.3121415
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.486649,6.458403,5.972526
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.466972,6.540146,6.003559
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.062403,7.254272,6.6583375
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.201584,6.248336,5.72496
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.835494,6.850759,6.3431265
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.492679,6.717012,6.1048455
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.315633,7.045657,6.180645
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.343029,6.777675,6.060352
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.004523,6.964272,6.4843975
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.057076,6.811341,5.9342085
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.266796,6.670452,5.968624
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.702363,7.054469,6.378416
