"","sample","tissue","endometriosis","severity","p217743_s_at","p232591_s_at","TMEM30A"
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.551756,4.168681,5.8602185
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.166042,3.919131,6.0425865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.453788,4.823714,6.138751
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.885253,5.476685,6.680969
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.24822,3.012981,5.1306005
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.952138,6.341702,7.64692
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.704464,7.46751,8.585987
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.990717,5.229872,6.6102945
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.886539,5.077929,6.482234
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.92483,6.114689,7.5197595
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.228133,5.624715,7.426424
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.311215,5.899058,7.1051365
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.196682,5.92567,7.561176
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.142947,4.71523,6.4290885
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.367553,4.84419,6.6058715
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.028384,6.296752,8.162568
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.008896,6.805949,8.4074225
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.893545,6.010544,7.9520445
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.26067,7.936921,9.0987955
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.141078,6.439466,8.290272
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.077905,6.682631,8.380268
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.782163,6.916329,8.349246
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.154075,7.074237,8.614156
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.908911,6.533213,8.221062
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.996776,7.232086,8.614431
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.556162,7.451494,9.003828
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.225906,7.237267,8.7315865
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.634709,4.985668,6.8101885
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.831885,6.882187,8.357036
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.151421,6.948381,8.549901
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.350224,5.016893,6.6835585
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.002144,6.862453,7.9322985
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.895634,5.357848,7.126741
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.698243,5.6071,7.1526715
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.660941,2.761291,4.711116
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.161364,5.098898,6.630131
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.080418,6.206961,7.6436895
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.513924,4.504133,6.0090285
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.061916,5.040574,6.551245
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.256406,4.157014,4.20671
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.96812,5.535119,6.7516195
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.234353,5.632838,7.4335955
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.295483,4.414576,5.8550295
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.806222,5.666817,7.2365195
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.118913,4.904744,6.5118285
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.389613,4.627094,6.5083535
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.155717,3.521323,3.83852
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.500999,3.859652,3.6803255
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.303834,4.361383,6.3326085
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.126889,5.50174,7.3143145
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.858357,5.137535,6.997946
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.225904,2.959829,4.5928665
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.042732,3.408615,5.7256735
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.662285,5.323219,6.992752
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.850208,4.804921,6.3275645
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.190136,3.408615,5.2993755
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.37265,4.734979,6.5538145
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.55234,4.250034,6.401187
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.055969,4.566048,5.8110085
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.277754,4.790241,6.5339975
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.324157,4.497581,6.410869
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.892984,7.486896,9.18994
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.196476,7.3644,8.780438
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.398777,7.449551,8.924164
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.53812,8.09792,9.31802
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.328107,7.816682,9.0723945
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.372955,6.915248,8.1441015
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.620015,5.887661,7.753838
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.440638,4.211304,6.825971
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.916202,4.886812,7.401507
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.363954,5.276349,7.3201515
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.452178,5.098898,7.275538
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.822506,5.273205,7.5478555
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.502273,5.543625,7.522949
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.593222,5.928862,8.261042
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.211787,5.475225,7.843506
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.32232,5.57566,7.94899
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.816671,4.860014,7.3383425
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.731773,6.492411,8.612092
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.393502,6.678132,8.035817
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.187455,4.883359,7.035407
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.414242,5.492739,7.4534905
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.697839,5.121541,7.40969
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.871854,6.341257,8.1065555
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.945323,5.189085,7.567204
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.854183,4.785383,7.319783
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.153549,6.877363,8.515456
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.729751,4.522876,7.1263135
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.808608,5.742482,7.775545
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.137947,5.143287,7.640617
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.120673,8.581607,9.85114
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.451363,6.252033,7.851698
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.088598,5.761639,7.9251185
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.726637,5.836406,7.7815215
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.642834,5.594595,7.6187145
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.711421,5.006578,7.3589995
