"","sample","tissue","endometriosis","severity","p226835_s_at","p229899_s_at","ZFAS1"
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.719957,2.903999,6.311978
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.303486,3.969557,7.1365215
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.437111,2.903999,7.170555
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.552238,2.990303,6.7712705
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.633192,2.928136,6.780664
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.834744,3.66135,7.248047
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.029099,3.00487,6.5169845
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.333508,2.990303,6.6619055
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.900131,5.277749,8.08894
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.967746,2.903999,6.4358725
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.201331,2.903999,6.552665
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.732458,2.903999,6.8182285
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.043158,3.005675,7.0244165
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.394443,2.990303,6.192373
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.629124,3.815683,7.2224035
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.79438,2.903999,6.3491895
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.651891,2.990303,6.821097
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.680568,4.490928,7.585748
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.169415,2.903999,6.536707
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.963293,3.666892,7.3150925
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.536623,2.903999,6.720311
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.784803,2.903999,6.344401
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.083814,3.178634,6.631224
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.315212,2.236067,6.2756395
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.317229,2.990303,6.653766
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.95832,3.352587,6.6554535
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.958157,2.903999,6.931078
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.501023,3.465789,6.983406
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.499726,3.080657,6.7901915
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.128284,4.113662,8.120973
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.406644,3.006127,6.7063855
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.482844,4.060575,7.2717095
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.007402,5.584596,8.295999
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.634842,4.021953,7.3283975
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.762588,2.990303,6.3764455
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.04463,3.451771,7.2482005
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.273126,4.36772,7.320423
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.028101,4.097661,7.562881
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.968948,4.768981,7.8689645
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.873726,4.097661,7.4856935
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.705345,2.921791,6.813568
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.104876,4.913763,8.0093195
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.257872,4.440248,7.84906
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.045669,6.70087,8.8732695
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.070914,4.275278,7.673096
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.605516,4.990374,8.297945
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.51496,5.739985,8.6274725
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.262187,6.249961,8.756074
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.962077,5.511627,8.236852
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.684393,5.278645,7.981519
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.624342,4.810525,8.2174335
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.139595,3.271585,7.20559
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.81799,3.989177,7.4035835
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.421674,4.237965,7.3298195
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.238924,3.560689,7.3998065
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.453984,4.097661,7.7758225
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.552068,4.403335,7.4777015
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.160616,4.097661,7.6291385
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.195678,4.097661,7.6466695
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.994671,3.876211,6.935441
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.265161,2.903999,6.58458
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.389042,3.012113,6.7005775
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.134235,4.947532,7.5408835
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.120936,2.700584,6.41076
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.087012,2.990303,6.5386575
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.225952,2.903999,6.5649755
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.446731,2.903999,6.175365
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.303676,4.573883,7.4387795
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.79282,2.981683,6.3872515
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.147345,4.079321,7.113333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.270324,3.219049,6.7446865
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.909294,2.903999,6.4066465
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.835602,2.236067,6.0358345
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.049243,2.990303,6.519773
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.691484,4.532269,7.6118765
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.234889,5.370198,7.3025435
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.468284,4.098122,7.283203
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.178471,2.938009,6.55824
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.683755,2.996179,6.339967
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.27085,4.077265,7.1740575
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.54207,3.676108,7.609089
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.21128,2.903999,6.5576395
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.76402,4.097661,7.4308405
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.466093,4.084555,6.775324
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.701289,3.071562,6.3864255
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.910316,3.433885,7.1721005
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.212087,4.338028,7.2750575
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.801843,4.52717,7.6645065
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.668847,5.218678,7.9437625
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.109791,6.06462,8.5872055
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.94006,5.285226,8.112643
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.37208,5.167119,8.2695995
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.333831,4.210994,7.7724125
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.875908,5.729678,8.302793
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.847215,6.662276,8.2547455
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.436619,6.857718,8.6471685
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.926803,7.043756,8.9852795
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.775974,6.602471,8.1892225
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.483448,7.797115,9.1402815
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.720804,7.016591,8.8686975
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.427722,6.50492,8.466321
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.452508,6.996164,8.724336
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.584424,5.943654,8.264039
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.747964,6.688928,8.718446
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.760377,6.519877,8.140127
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.157013,4.492885,7.824949
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.797306,6.298086,8.547696
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.374808,6.302489,8.8386485
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.178986,7.184365,9.1816755
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.356469,5.951862,8.1541655
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.873811,6.106709,8.49026
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.998957,6.67797,8.8384635
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.69613,5.344089,8.0201095
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.340131,7.680285,9.010208
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.89883,6.018499,8.4586645
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.153555,7.634271,9.393913
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.243353,5.679231,7.961292
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.825995,5.861735,8.343865
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.106663,5.921353,8.014008
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.096324,7.04778,9.072052
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.499544,6.454701,8.4771225
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.04037,7.109215,9.0747925
