"","sample","tissue","endometriosis","severity","p209218_at","p213562_s_at","p213577_at","SQLE"
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.534315,2.236067,6.776952,5.515778
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.304461,2.646668,9.417647,6.45625866666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.156232,2.577471,9.278446,7.00404966666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.341535,2.646668,6.956184,6.31479566666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.720705,3.273177,6.199689,6.397857
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.256451,2.506004,6.011097,5.591184
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.607329,2.596008,7.776423,5.99325333333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.692128,2.621909,8.952029,7.08868866666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.273625,2.577471,6.417181,5.75609233333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.254015,2.615291,3.918538,4.92928133333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.575768,2.596008,7.05296,5.40824533333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.923526,2.621909,6.582512,6.042649
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.413138,2.590971,4.319794,5.10796766666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.772295,2.596008,7.024657,6.13098666666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.090006,4.372289,9.537738,8.33334433333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.513109,4.65215,7.606924,7.924061
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.56573,2.621909,5.954927,5.71418866666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.133423,5.656685,8.771775,8.52062766666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.848067,2.646668,6.138133,5.87762266666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.173732,2.887693,6.012671,6.02469866666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.778672,3.811774,7.149919,6.913455
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.311638,2.707409,7.197993,6.40568
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.729686,2.646668,8.125508,6.833954
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.68253,2.596008,6.106819,6.12845233333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.50885,2.646668,5.453675,5.869731
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.616535,2.761482,6.548775,6.30893066666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.127882,7.373265,9.105703,9.86895
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.839951,2.646668,5.210313,5.565644
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.817168,5.818151,8.688009,8.77444266666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.724252,2.596008,4.939881,5.420047
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.235706,2.646668,5.392023,5.75813233333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.959247,2.621909,5.470321,5.68382566666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.346662,2.621909,5.165804,5.71145833333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.998045,2.646668,6.102198,5.915637
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.936881,5.785551,8.253679,8.32537033333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.788073,3.847704,7.280337,6.972038
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.099917,2.621909,6.138133,5.95331966666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.807242,6.213106,7.619077,8.546475
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.331059,2.577471,5.450633,5.45305433333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.168941,6.932663,8.853159,9.31825433333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.896047,2.789007,5.972714,6.219256
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.532939,2.646668,5.621971,5.600526
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.034088,4.884807,8.018592,7.97916233333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559791,3.013882,6.773628,6.44910033333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.558729,3.047123,5.888037,6.16462966666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.276399,2.646668,5.541578,5.82154833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.577127,3.358668,6.186445,6.37408
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.250246,2.646668,5.576026,5.49098
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.44856,2.621909,6.542726,6.20439833333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.696334,3.559569,6.363232,6.53971166666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.928612,4.160718,7.464693,7.18467433333333
