"","sample","tissue","endometriosis","severity","p212095_s_at","p212093_s_at","MTUS1"
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.610164,4.768771,4.6894675
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.531009,3.556225,4.043617
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.148842,4.575505,5.3621735
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.172479,4.575505,5.373992
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.311351,5.043725,6.677538
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.596952,4.603932,5.100442
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.185047,6.238207,6.711627
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.018938,7.267246,7.143092
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.340944,5.908356,6.62465
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.180464,5.186983,5.6837235
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.089334,6.593825,6.8415795
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.518427,5.968337,6.743382
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.471381,5.171541,6.821461
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.747325,6.915159,7.831242
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.99281,6.100359,6.5465845
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.516957,6.554204,7.0355805
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.680367,7.259626,7.4699965
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.068804,7.65099,7.859897
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.073088,7.723222,7.398155
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.119909,7.764101,7.442005
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.500504,7.192975,7.3467395
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.804078,8.356563,8.0803205
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.621334,8.594972,8.108153
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.485589,8.348606,7.9170975
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.079244,7.646848,7.363046
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.667027,7.589109,7.628068
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.452886,8.526932,8.989909
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.037115,7.108894,7.0730045
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.88544,6.873232,7.879336
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.711505,7.337599,7.524552
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.817822,7.539762,7.678792
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.98552,5.865513,6.4255165
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.14153,6.834765,7.4881475
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.737449,6.379865,7.058657
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.365459,5.405797,5.885628
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.075179,4.439432,5.2573055
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.70801,4.860885,5.7844475
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.180102,7.077373,7.1287375
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.477244,5.386912,5.932078
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.415738,6.072128,6.743933
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.323122,4.133758,4.72844
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.001048,4.575505,5.2882765
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.147826,5.991791,7.0698085
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.067909,4.575505,5.821707
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.845042,4.575505,5.2102735
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.925374,4.808515,5.8669445
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.63203,4.933319,6.2826745
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.992798,5.05337,6.023084
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.774014,3.686957,5.2304855
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.511834,5.885453,6.6986435
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.361348,5.277005,6.3191765
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.95581,4.575505,5.7656575
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.984152,3.543706,4.763929
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.757688,4.998677,6.3781825
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.883531,5.046567,5.965049
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.295476,5.08879,4.192133
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.859526,4.193497,5.0265115
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.503438,4.923384,6.213411
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.052494,4.790873,5.4216835
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.355951,5.050998,5.7034745
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.108372,5.73844,6.423406
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.391962,5.527708,6.459835
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.452822,7.578912,7.015867
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.15808,8.44258,7.80033
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.98552,7.660776,7.323148
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.98552,7.646417,7.3159685
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.837541,8.297235,8.067388
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.310595,7.841127,7.575861
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.161416,6.749724,6.45557
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.370091,5.011613,4.190852
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.328465,6.003287,5.165876
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.451251,6.935507,7.693379
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.548494,6.651582,6.100038
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.392342,6.217714,5.805028
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.824989,7.963726,8.3943575
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.086728,6.365553,5.7261405
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.255667,6.965904,6.1107855
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.877743,7.216442,6.0470925
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.320357,7.037328,6.1788425
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.98552,7.020008,7.002764
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.831955,8.86223,9.3470925
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.291805,7.644842,8.4683235
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.904288,7.477673,8.1909805
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.942551,6.975239,6.458895
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.663156,6.947551,7.8053535
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.513244,7.363086,7.438165
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.095171,6.870686,6.4829285
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.027493,7.860531,8.444012
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.767125,7.457744,7.6124345
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.472577,7.271283,7.87193
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.811534,6.820228,6.315881
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773679,7.416577,6.095128
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.427062,7.324745,7.8759035
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.103824,7.465478,7.784651
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.949874,6.758447,7.3541605
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.566451,6.904933,7.735692
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.402843,7.323782,7.8633125
