"","sample","tissue","endometriosis","severity","p218183_at","p223960_s_at","CDIP1"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.398715,9.136851,8.267783
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.400921,9.192467,8.296694
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.305488,8.769764,8.037626
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.483643,9.738462,8.6110525
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.816498,9.066561,8.4415295
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.533412,9.44399,8.488701
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.156363,10.049736,8.6030495
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.175514,9.34608,8.260797
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.930401,10.225891,9.078146
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.705579,8.781405,7.743492
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.560158,9.721027,8.6405925
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.396916,9.645646,8.521281
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.598026,9.822226,8.710126
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.713951,10.404132,9.0590415
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.379387,8.870246,8.1248165
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.561241,8.371868,7.4665545
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.836338,9.994305,8.9153215
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.663062,7.5203,7.091681
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.303013,9.548936,8.4259745
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.031383,9.488495,8.259939
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.234255,9.355813,8.295034
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.065675,8.731856,7.8987655
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.705579,9.05426,7.8799195
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.108384,10.018887,8.5636355
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.835693,9.343935,8.089814
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.661996,7.770229,6.7161125
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.695979,8.639033,7.667506
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.503986,9.432593,8.4682895
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.58296,9.886668,8.734814
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.088492,6.999045,6.5437685
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.168194,7.642042,6.905118
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.926692,7.261414,6.594053
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.189653,7.538505,6.864079
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.346553,6.738379,6.042466
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314629,7.563891,6.93926
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.073113,7.67094,6.8720265
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.040583,7.323647,6.682115
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.372338,7.362393,6.8673655
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.229597,7.049716,6.6396565
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.270473,7.802851,7.036662
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.278924,7.713247,6.9960855
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.705579,8.188662,7.4471205
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.923451,7.791492,6.8574715
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.193022,7.689281,6.9411515
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.932707,9.766574,8.8496405
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.262964,7.943384,7.103174
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.751274,9.602987,8.1771305
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.222452,10.33495,9.278701
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.986662,10.088944,9.037803
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.144747,10.340466,9.2426065
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.910413,9.370209,8.140311
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.485359,9.422356,8.4538575
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.878223,9.1766,8.0274115
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531306,9.080454,8.30588
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.510304,9.709871,8.6100875
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.741579,9.322535,8.032057
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.166027,9.142271,8.154149
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.203236,9.141313,8.1722745
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.124238,10.231701,9.1779695
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.576662,9.570982,8.573822
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.716086,9.081417,8.3987515
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.57205,9.555669,8.5638595
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.180792,9.245142,8.212967
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.792407,8.96998,7.8811935
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.667844,10.190107,8.9289755
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.7267,10.193845,8.9602725
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.622084,9.500533,8.5613085
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.02194,9.620537,8.3212385
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.260211,9.642775,8.451493
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.879423,8.546079,7.712751
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.705579,8.924671,7.815125
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.591359,9.921441,8.7564
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.002952,9.419055,8.2110035
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.902093,9.085392,7.9937425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.521238,8.802015,8.1616265
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.03703,6.395342,5.716186
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.01048,6.383736,5.197108
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.092,7.212147,6.1520735
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.150102,7.845782,6.997942
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.841308,6.383736,5.612522
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.546884,6.756088,6.151486
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829039,6.750628,6.2898335
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.157306,7.465739,7.3115225
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.652312,7.611736,6.632024
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.663207,7.445371,7.054289
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.691929,7.257507,6.474718
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.669835,7.729309,6.699572
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.375649,6.917715,6.646682
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.834232,6.738665,5.7864485
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.117907,7.822287,6.970097
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.164215,8.936405,8.05031
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.824623,7.32993,6.0772765
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.235421,7.025312,6.1303665
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.608835,6.520896,6.0648655
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.306309,7.412742,6.3595255
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.78673,6.791892,6.289311
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.924647,7.893462,6.9090545
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.176499,6.937455,6.556977
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.044719,7.689725,6.867222
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.233226,7.291362,6.762294
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.798079,7.710275,6.754177
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.905303,7.434182,6.6697425
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.034334,7.572963,6.8036485
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.189693,7.790474,6.4900835
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.949881,7.070359,6.01012
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.385072,6.865069,6.1250705
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.149967,7.643208,6.8965875
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.290988,7.625344,6.958166
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.474099,6.836841,6.15547
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.376837,7.294234,6.3355355
