"","sample","tissue","endometriosis","severity","p206487_at","p212074_at","p214169_at","SUN1"
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.969825,7.596069,5.197831,7.254575
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.054303,7.70578,5.377639,7.37924066666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.761685,6.278092,6.781652,7.27380966666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.216805,7.37402,4.359925,6.65025
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.567425,7.364313,4.034243,6.655327
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.616872,8.539184,6.591381,8.24914566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.587369,9.06576,3.781601,7.47824333333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.512576,8.531399,3.50156,7.181845
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.812801,9.13835,5.449959,7.13370333333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.850681,9.06135,4.397597,7.43654266666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.694624,9.216219,2.863256,6.59136633333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.382624,9.252694,3.008794,6.54803733333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.718318,8.737306,4.544914,7.00017933333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.307307,8.539037,3.234888,6.693744
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.090055,8.541853,3.781601,6.47116966666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.147359,9.18286,2.703052,6.677757
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.683791,9.227588,3.781601,7.23099333333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.409354,8.886204,3.504071,6.59987633333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.866034,9.340189,4.531375,7.91253266666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.118256,8.556127,2.800466,6.158283
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.854134,10.043785,3.781601,6.55984
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.178661,10.073346,4.9965,6.74950233333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.522055,10.833304,4.295986,7.55044833333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.21256,9.943379,3.246874,6.46760433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.689141,10.698517,5.297295,7.561651
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.733809,10.625481,2.882513,6.74726766666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.16521,10.12754,3.234888,6.842546
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.65093,10.096389,3.790694,6.512671
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.6381,10.644916,5.543121,7.60871233333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.555632,10.338024,5.469586,7.12108066666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.436451,9.83161,4.098868,5.78897633333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.910826,9.588583,4.510039,6.00314933333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.748534,9.751621,3.781601,6.76058533333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.939158,9.934233,4.516492,6.46329433333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.057314,10.19173,4.038408,6.09581733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.426137,9.458846,3.781601,6.88886133333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.497461,9.504494,3.781601,6.927852
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.584168,9.628122,5.13487,7.44905333333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.786665,8.567229,2.821764,6.391886
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.55278,8.401911,5.047301,7.66733066666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.070839,7.869356,3.781601,6.573932
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.071249,9.07787,4.111042,7.08672033333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.759584,8.131229,3.781601,6.89080466666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.205868,8.729277,3.777485,6.90421
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.254474,8.062202,5.873657,8.06344433333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.405083,8.009263,5.055756,7.15670066666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.721906,9.406489,3.781601,7.303332
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.332675,8.727826,4.8514,7.63730033333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.332916,8.569158,3.781601,6.89455833333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.382513,7.793619,3.781601,6.31924433333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.177549,8.469214,3.400953,7.01590533333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.275979,7.751671,4.70951,7.57905333333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.500305,7.485784,5.639779,7.20862266666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.566014,9.03601,3.215241,6.93908833333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.841532,8.771338,3.127856,6.91357533333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.981102,8.573207,3.781601,6.77863666666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.867585,7.633133,5.807981,7.436233
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.923413,8.688062,3.781601,7.13102533333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.539426,9.149242,3.781601,7.49008966666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.968477,8.861438,4.586378,7.47209766666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.550026,8.80112,5.90457,8.08523866666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.551284,8.828802,4.592103,7.324063
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.832757,8.713679,4.024153,7.19019633333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.090625,8.403745,6.476458,7.65694266666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.619319,8.742867,3.781601,7.047929
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.122056,9.107029,2.711776,6.64695366666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.308869,10.935069,2.840203,5.69471366666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.897519,11.32758,2.840203,6.35510066666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.186997,11.195061,2.699098,6.027052
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.432729,10.486626,2.902536,5.94063033333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.09894,10.517508,2.699098,6.105182
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.432729,10.535581,2.699098,5.889136
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.494381,9.973911,2.699098,5.72246333333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.864898,11.476553,3.363741,7.90173066666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.587723,10.796118,2.699098,7.02764633333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.362581,10.548922,3.784452,7.231985
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.746537,10.713952,3.243845,6.90144466666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.491679,11.323887,5.14573,7.98709866666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.952121,10.521984,4.638933,7.704346
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.009547,11.258373,3.234888,7.500936
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.332112,11.357457,3.13308,7.27421633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.647424,10.482967,3.08999,6.740127
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.304551,11.925867,2.841499,7.690639
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.911247,10.14439,3.781601,6.945746
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.868243,10.087837,3.556304,6.504128
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.896807,10.685237,3.018482,7.20017533333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.654303,10.379285,2.883853,6.97248033333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.496761,10.958817,3.283865,6.91314766666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.342111,10.00003,3.235048,6.52572966666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.454409,10.860492,3.239785,6.851562
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.343341,11.317191,6.63898,8.766504
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.923453,9.971013,2.71946,6.53797533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.383373,11.106766,3.781601,7.42391333333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.704085,10.440393,3.587858,6.91077866666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.50859,10.737346,3.781601,7.34251233333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.136369,10.767596,7.394858,8.76627433333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.759773,10.479727,3.161784,7.13376133333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.91316,10.113467,3.034291,6.68697266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.229243,10.151931,3.580541,6.98723833333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.989031,10.291334,2.856701,7.04568866666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.482836,10.747625,3.237262,7.15590766666667
