"","sample","tissue","endometriosis","severity","p219677_at","p226075_at","SPSB1"
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.883346,9.47505,9.179198
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.304254,10.589922,9.947088
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.390646,8.79376,8.592203
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.172069,9.904277,9.538173
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.020674,9.1971,8.608887
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.162427,8.94166,8.5520435
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.024055,8.216565,7.62031
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.31747,8.01204,7.664755
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.798826,9.307275,9.0530505
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.377516,9.528821,8.9531685
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.135258,9.408283,8.7717705
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.205136,9.464444,8.83479
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.033312,8.563334,7.798323
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.545936,11.772662,11.159299
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.208644,8.050164,7.629404
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.257636,10.590691,9.9241635
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.296613,9.000671,8.648642
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.35215,8.858685,8.1054175
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.326563,7.727394,7.0269785
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.21837,7.731634,7.475002
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.329102,8.740804,8.034953
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.265274,8.768224,8.016749
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.430672,8.819278,8.124975
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.038866,6.073302,6.056084
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.241576,6.652716,5.947146
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.534916,5.955718,6.245317
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.030025,8.691375,7.8607
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.13653,7.339873,6.7382015
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.56983,5.803307,6.1865685
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.713353,6.775439,6.244396
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.999583,9.279767,8.639675
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.054262,6.034054,6.044158
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.993653,9.019823,8.506738
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.263883,8.509635,7.886759
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964353,8.288195,8.126274
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.395964,6.503108,5.949536
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.229166,9.808052,9.518609
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.079205,5.34156,5.2103825
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.974559,5.231484,5.6030215
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.161892,4.938687,5.0502895
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.071988,7.053634,6.562811
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.625175,7.13529,7.3802325
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.035879,6.749382,6.3926305
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.06057,10.116241,9.5884055
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.146921,7.962727,8.054824
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.436472,6.918124,6.677298
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.848247,5.977462,5.9128545
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.53896,7.516393,7.0276765
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.225551,10.186227,9.705889
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.578557,5.077136,5.3278465
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.97911,8.324886,8.651998
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.981122,5.985492,5.983307
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.754884,5.493975,5.6244295
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.509871,5.602062,6.0559665
