"","sample","tissue","endometriosis","severity","p222498_at","p227905_s_at","p227904_at","p235962_at","AZI2"
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.668803,4.405693,3.963579,3.514884,4.88823975
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.670812,4.719945,3.715712,4.190985,5.0743635
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.038839,5.252602,4.857142,4.783699,5.7330705
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.084297,5.12595,4.548327,3.514884,5.0683645
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.643987,3.272304,3.715712,3.514884,4.28672175
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.225191,3.82644,3.671157,3.514884,4.309418
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.306143,4.778631,4.635922,4.109885,5.20764525
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.631445,4.369654,4.053197,3.403628,4.614481
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.173708,3.597506,3.56523,3.499856,4.209075
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.238615,3.143743,3.346864,3.403628,4.0332125
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.62337,3.261021,3.756507,3.254859,3.97393925
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.37574,3.82644,4.370387,4.109885,4.920613
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.093708,3.153987,3.39545,3.763662,4.10170175
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.838802,4.020491,4.654208,3.794273,4.8269435
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.331565,3.478655,4.413382,3.514884,4.6846215
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.567579,3.82644,3.666302,3.634383,4.423676
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.395284,2.819596,3.682458,2.896254,3.698398
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.224673,3.853262,4.53762,3.910679,4.6315585
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.990557,3.82679,4.196485,4.109885,4.78092925
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.322609,4.713812,4.55966,4.109885,5.1764915
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.159707,3.862043,4.789762,3.763684,4.893799
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.415849,3.82644,3.715712,3.588418,4.38660475
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.5194,3.656523,3.742333,4.042842,4.4902745
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.118423,3.272304,4.165497,4.109885,4.66652725
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.064054,4.112981,3.805159,3.595402,4.644399
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.56249,2.760138,3.479347,3.396716,4.04967275
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.103861,3.292082,4.886311,4.246305,4.88213975
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.208322,3.82644,4.164804,3.814781,4.50358675
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.745746,3.544025,3.742333,3.403628,4.358933
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.268301,4.405693,3.715712,4.109885,4.87489775
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.389046,2.874115,3.77144,4.601111,4.658928
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.942251,6.469804,3.732535,4.295248,5.3599595
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.571363,5.449203,3.674323,3.403628,4.77462925
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.888817,6.522605,3.739167,4.767394,5.47949575
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.120632,6.207882,3.742333,4.149344,5.30504775
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.673821,5.927411,3.671157,3.883815,5.039051
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.851295,4.524051,3.671157,3.711062,4.43939125
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.112344,6.024372,3.742333,3.857147,5.184049
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.78598,4.3176,4.00195,5.681768,5.4468245
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.841331,4.757244,4.47927,5.259186,5.58425775
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.789381,4.405693,4.699317,5.051197,5.486397
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.487659,4.608248,3.90452,5.112038,5.27811625
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.48221,4.977096,4.84982,4.823759,5.53322125
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.649271,4.983494,4.351473,5.020272,5.5011275
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.347573,5.015473,4.622687,5.236793,5.5556315
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.63899,4.89298,4.672354,5.249174,5.6133745
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.999719,5.354451,5.461749,5.124135,5.9850135
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.693714,4.704354,4.173511,4.619911,5.2978725
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.089935,5.096387,5.155919,5.094328,5.60914225
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.35139,5.882783,5.223781,5.952287,6.35256025
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379118,5.62188,4.952098,5.189041,6.03553425
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.343584,5.399074,5.229544,4.226101,5.79957575
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.969902,5.594364,4.884878,5.605158,6.0135755
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.453789,4.999386,5.094705,5.319458,5.9668345
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.380007,5.075345,4.049397,5.394222,5.47474275
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.032445,4.968062,4.953483,5.127607,5.52039925
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.147972,5.794841,5.378773,4.798469,6.03001375
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.570993,5.220615,4.67123,5.648338,5.777794
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.858323,5.93306,4.803957,4.446593,5.76048325
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.298079,5.333362,5.402092,4.423465,5.6142495
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.121172,6.171806,6.474682,4.747974,6.1289085
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.742314,5.729504,4.803186,4.66188,5.734221
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.838744,5.558463,5.500291,4.508621,5.85152975
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.163738,5.097048,5.50287,4.81222,5.893969
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.003184,5.508931,5.255656,5.269375,6.0092865
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.656752,4.645325,4.82972,5.001328,5.53328125
