"","sample","tissue","endometriosis","severity","p202657_s_at","p202656_s_at","SERTAD2"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.993252,7.802706,7.397979
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.191845,6.603168,6.8975065
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.754167,4.898486,4.8263265
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.504148,4.056398,4.280273
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.959557,7.894676,8.4271165
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.232365,3.909101,4.570733
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.821601,6.224025,6.022813
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.909798,8.090772,8.500285
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.366185,5.102703,6.234444
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.17711,4.951292,5.564201
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.890072,7.781622,7.835847
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.029899,5.791402,5.9106505
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.029387,5.977053,6.50322
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.057654,7.459392,7.758523
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.015427,5.446621,5.731024
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.808362,6.026856,6.917609
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.053273,2.399638,3.7264555
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.872215,7.762366,7.3172905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.086138,6.643956,6.865047
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.811267,5.192632,5.5019495
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.774446,4.003403,4.8889245
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.752908,5.126028,5.439468
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.619325,5.910886,6.2651055
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.305535,6.509003,6.907269
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.902443,6.302226,6.6023345
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.603313,6.883819,7.743566
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.047506,6.226285,6.6368955
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.974933,6.997626,7.4862795
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.907083,6.680665,7.293874
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.757314,7.954089,8.3557015
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.449923,6.082064,6.7659935
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.167339,5.66225,6.4147945
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.569246,6.591547,7.0803965
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.460599,7.184327,7.822463
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.129642,7.297977,7.7138095
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.251336,6.611378,6.931357
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.569453,6.685762,7.1276075
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.654735,7.545428,8.1000815
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.215002,7.395015,7.8050085
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.054256,7.25286,7.653558
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314704,7.489555,7.9021295
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.470855,8.436111,8.953483
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.369529,7.254763,7.812146
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109243,7.153643,7.631443
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.95482,7.089863,7.5223415
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.946576,7.970621,8.4585985
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.421752,7.390492,7.906122
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.951423,7.071039,7.511231
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.589796,7.846291,8.2180435
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.032299,8.495045,8.763672
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.012599,7.250747,7.631673
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.123303,7.269558,7.6964305
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.263879,5.584649,6.424264
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.522287,7.421072,7.9716795
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.204556,6.789869,7.4972125
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.08541,5.308229,6.1968195
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.686184,6.211743,6.4489635
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.128311,5.780404,5.9543575
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.720294,6.366078,7.043186
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.10166,5.949592,6.525626
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.031292,8.322491,8.6768915
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.745857,6.233061,5.989459
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.663808,6.640604,7.152206
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.093843,7.358299,7.726071
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.834081,7.226242,7.0301615
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.603208,7.154098,7.878653
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.578356,6.192015,6.8851855
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.792833,5.71611,6.2544715
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.01918,6.743396,6.381288
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.222147,5.320715,6.271431
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.586588,6.581278,7.083933
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.702318,6.766479,7.2343985
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.44347,6.81677,7.13012
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.539009,5.508556,5.5237825
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.015737,7.505242,7.2604895
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.730142,6.656954,7.193548
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.601532,6.535434,7.068483
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.964321,5.933984,6.4491525
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.444714,6.696515,7.0706145
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.985254,6.94146,7.463357
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.015731,5.338922,6.1773265
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.297227,6.877458,7.0873425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.15286,7.233028,7.692944
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.468241,3.850721,5.159481
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.542101,5.440522,6.4913115
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.161227,4.536901,5.849064
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.208834,3.429888,4.819361
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.748162,4.836458,5.79231
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.44876,3.850721,4.6497405
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.642118,4.466688,5.554403
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.352331,7.666912,8.0096215
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.481853,6.889761,7.185807
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.113804,7.412048,7.762926
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.905619,9.344491,9.625055
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.451912,7.733296,8.092604
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.418713,8.535149,8.976931
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.379967,7.826628,8.1032975
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.980127,7.110096,7.5451115
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.479997,6.576743,7.02837
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.519649,6.903427,7.211538
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.815589,8.153669,8.484629
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.385112,7.356419,7.8707655
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.479777,7.500386,7.9900815
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.714114,7.499496,8.106805
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.700372,6.799114,7.249743
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.876784,8.065647,8.4712155
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.264391,8.55797,8.9111805
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.599466,7.799371,8.1994185
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.018148,6.944878,7.481513
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.057553,8.281978,8.6697655
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.090762,6.958585,7.5246735
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.246986,7.35717,7.802078
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.277571,9.752025,10.014798
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.102376,7.187382,7.644879
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.669324,6.862691,7.2660075
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.425439,7.278724,7.8520815
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.991589,7.158164,7.5748765
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.098682,7.076625,7.5876535
