"","sample","tissue","endometriosis","severity","p226046_at","p229664_at","MAPK8"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.841424,5.273528,5.057476
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.095719,4.922992,4.5093555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.080773,6.096915,5.588844
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.134511,5.517423,5.325967
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.115397,4.712816,4.4141065
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.847026,6.16829,5.507658
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.880962,4.239976,4.060469
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.380241,5.033668,5.2069545
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.115397,4.664768,4.3900825
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.017301,5.517423,5.267362
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.32346,4.718537,4.5209985
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.84708,4.501648,4.174364
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.561668,4.514629,4.0381485
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.26637,4.595544,4.430957
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.115397,5.237501,4.676449
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.054659,5.517423,5.286041
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.853851,6.332169,5.59301
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.711299,6.664484,6.1878915
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.115397,5.517423,4.81641
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.529373,6.343438,5.9364055
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.910432,6.407853,6.1591425
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.616383,5.389867,5.003125
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.853851,4.678175,4.766013
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.32335,6.34157,5.83246
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.058271,6.490601,5.774436
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.68345,6.662574,6.673012
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.969728,7.341761,6.6557445
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.792011,5.610755,5.201383
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.06104,6.601012,5.831026
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.537025,7.125511,6.831268
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.777436,7.001221,6.3893285
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.788054,7.55153,7.169792
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.13392,7.847037,7.4904785
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.59487,7.034185,6.8145275
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.997963,7.560339,7.279151
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059859,7.077382,7.0686205
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.247443,7.120186,6.6838145
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.402455,7.162284,6.2823695
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.078635,7.326537,6.702586
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.429705,6.640253,6.534979
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.773453,7.314897,7.044175
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.758334,6.883332,6.320833
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.648811,7.348106,6.9984585
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.960175,7.169774,7.0649745
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.773693,5.698366,5.2360295
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.653816,6.599056,6.126436
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.223599,6.556432,6.3900155
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.274537,4.983919,4.629228
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.150667,4.620127,4.385397
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.464742,4.457319,4.4610305
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.471509,6.569427,6.020468
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.853851,4.590631,4.722241
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.18098,5.628803,4.9048915
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.150667,5.584114,4.8673905
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.222005,6.264823,5.743414
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.752468,5.8823,5.817384
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.273774,3.025138,4.149456
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.174303,6.394435,5.784369
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.440581,5.585008,5.0127945
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.001636,5.283639,5.1426375
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.322492,4.566171,4.4443315
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.77105,5.517423,5.1442365
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.414495,6.109738,5.7621165
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.929558,6.433045,6.1813015
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.423728,5.517423,4.9705755
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.115397,4.643047,4.379222
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.447714,5.517423,4.9825685
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.602068,5.818426,5.710247
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.13356,6.194658,5.664109
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.322574,6.396633,6.3596035
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.219068,6.107319,5.6631935
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.215844,6.057597,5.6367205
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.532703,5.347621,4.940162
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.374085,5.969978,5.1720315
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.160735,5.171886,5.6663105
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.091304,6.643507,6.3674055
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.855163,6.373082,6.1141225
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.986241,7.026609,6.006425
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.700341,6.798562,6.2494515
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.711378,7.263793,6.9875855
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.39377,7.161579,6.7776745
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.588,6.77613,6.682065
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.248025,7.261785,6.754905
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.020227,7.683011,6.851619
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.603464,7.284996,6.44423
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.791998,7.235276,6.513637
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.101768,7.942251,7.5220095
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.966043,7.035233,6.500638
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.807524,8.340493,7.5740085
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.61153,7.727022,7.169276
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.035047,6.635002,6.3350245
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.639377,7.750354,7.1948655
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.257945,8.546376,7.9021605
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.189566,7.077619,6.6335925
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.78317,7.488802,6.635986
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.062769,7.55089,6.8068295
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.638111,7.802018,7.2200645
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.542551,7.589128,7.0658395
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.325921,7.048382,6.6871515
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.104436,7.311812,7.208124
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.889946,6.559755,6.2248505
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.950848,7.237294,7.094071
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.463027,7.049991,6.756509
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.112193,7.78313,7.4476615
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.379259,8.336963,8.358111
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.770308,7.209592,6.98995
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.458616,6.779709,6.1191625
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.69527,7.358411,7.0268405
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.637483,7.248646,6.9430645
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.11696,7.398507,6.7577335
