"","sample","tissue","endometriosis","severity","p218090_s_at","p229694_at","WDR11"
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.563975,8.051366,8.3076705
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.190477,5.592266,7.3913715
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.515193,8.315848,8.9155205
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.709447,8.84327,9.2763585
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.64469,8.821009,9.2328495
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.161566,7.789624,7.975595
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.439473,5.683559,7.061516
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.468603,6.21455,8.3415765
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.526357,6.50298,8.5146685
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.773193,8.056047,9.41462
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.411217,5.676483,8.04385
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.329613,6.886282,8.6079475
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.546907,7.315732,8.9313195
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.428381,7.955688,9.1920345
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.341508,6.725504,8.533506
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.353144,7.36247,8.857807
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.577408,5.76444,8.170924
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.16699,4.66931,7.41815
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.247982,5.323586,7.785784
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.658323,8.052526,8.8554245
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.284587,6.029681,8.157134
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.281962,5.898365,8.0901635
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.723744,7.169702,7.946723
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.590432,7.141462,8.365947
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.384484,7.052941,8.2187125
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.450577,7.144497,7.797537
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.871585,7.404969,7.638277
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.780307,8.026113,7.90321
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.961952,7.71928,8.340616
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.397301,7.713338,7.5553195
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.646781,7.713338,7.6800595
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.836974,9.018657,8.9278155
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.4655,6.394091,6.9297955
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.129687,8.717355,8.923521
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.476473,8.462495,8.469484
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.44848,7.531353,7.9899165
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.558847,7.713338,8.1360925
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.429172,9.326448,8.87781
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.890003,10.287092,9.0885475
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.733888,7.190596,7.462242
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.940556,8.361307,8.6509315
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.098306,8.243207,8.6707565
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.863471,7.398156,8.1308135
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.913001,6.916908,7.4149545
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.702298,7.637521,8.1699095
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.716878,8.623224,8.670051
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.634652,6.435886,7.535269
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.602885,8.97725,8.7900675
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.83105,8.128266,8.479658
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.504182,7.047637,7.7759095
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.093484,7.025444,7.559464
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.704018,7.778979,8.2414985
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.006537,6.975262,7.9908995
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.990439,8.148811,9.069625
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.716753,8.173048,8.9449005
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.632032,8.05032,8.841176
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.986492,7.713338,8.849915
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.667253,7.342795,8.505024
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.890532,7.712583,8.3015575
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.614893,8.009509,8.812201
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.76595,8.335314,9.550632
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.825632,8.200462,9.513047
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.523296,8.948815,9.7360555
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.529617,7.845142,9.1873795
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.821362,7.929555,9.3754585
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.324459,8.558922,9.4416905
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.065018,8.592232,9.828625
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.886727,7.713338,9.3000325
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.757855,7.161198,8.9595265
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.287134,8.361732,9.824433
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.367831,7.713338,9.0405845
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.439821,7.867166,9.1534935
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.601019,9.503879,10.052449
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.494994,9.190127,9.8425605
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.902954,7.983728,9.443341
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.631911,7.887303,9.259607
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.568387,8.303948,9.4361675
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.527012,7.033523,8.7802675
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.359354,8.356531,9.3579425
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.715912,7.732128,9.22402
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.531147,8.321677,9.426412
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.941351,7.46089,9.2011205
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.083335,6.812408,8.4478715
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.438883,7.835673,9.137278
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.508382,8.622436,9.565409
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.340061,8.003353,9.171707
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.441127,9.107565,9.774346
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.606929,7.787494,9.1972115
