"","sample","tissue","endometriosis","severity","p223438_s_at","p223437_at","p226978_at","PPARA"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.699247,6.039397,7.58733,5.77532466666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.075839,5.070882,6.722219,5.28964666666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.696295,5.501599,7.206856,5.46825
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.697929,5.731719,6.843418,5.42435533333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.511984,5.266134,7.096761,5.62495966666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.573498,5.070882,6.916794,5.187058
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.896256,4.404652,6.27921,4.86003933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.896256,5.266134,7.169394,5.443928
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.696295,5.266134,6.955508,5.305979
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.696295,5.070882,6.764076,5.17708433333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.075839,5.070882,6.727482,5.291401
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.696295,4.158743,6.847304,4.90078066666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.444169,5.569867,7.470711,5.49491566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.614575,5.836382,6.267956,5.572971
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.543631,5.271144,7.222696,5.34582366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.993984,6.108865,8.277314,6.126721
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.503941,5.44412,7.57207,5.50671033333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.870768,5.921092,7.754378,6.18207933333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.373838,6.24074,7.678578,6.431052
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.262026,5.921707,7.414754,5.86616233333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.622531,5.783695,7.295238,5.900488
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.673255,5.883107,7.373362,5.97657466666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.984398,6.23971,7.595341,6.27314966666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.304417,6.219381,7.695222,6.07300666666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.158339,6.092919,8.01042,6.42055933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.551385,5.975323,7.019612,5.84877333333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.079271,5.447147,6.36518,5.29719933333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.204482,5.81967,7.737249,6.25380033333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.261279,6.726282,8.4396,7.142387
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.304734,6.789908,7.871382,6.98867466666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.204924,6.368275,8.238661,6.93728666666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.396419,7.098878,8.567954,7.354417
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.627603,7.139562,8.177494,7.31488633333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.888038,6.685945,7.786151,6.78671133333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.257081,7.164103,8.133257,7.18481366666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.692158,7.346319,8.369542,7.46933966666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.205602,6.385508,8.164809,6.91863966666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.350736,7.853259,8.711685,7.97189333333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.972042,6.340839,8.074788,6.79588966666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.869466,8.26892,8.184265,7.10755033333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.107118,7.001694,8.027419,7.04541033333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.664372,6.060995,7.656821,6.46072933333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.139794,5.899614,7.150098,5.72983533333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.345366,6.548928,7.739449,6.544581
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.206632,5.432819,7.351498,5.66364966666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.075839,5.266134,7.101983,5.48131866666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.075839,5.070882,6.843418,5.33004633333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.568351,5.32251,7.069722,5.65352766666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.696295,4.978464,6.738683,5.137814
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.696295,5.070882,6.596651,5.121276
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.743259,6.420115,7.401175,6.188183
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.668446,5.81967,6.843418,5.11051133333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.822592,5.33319,6.487187,5.214323
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.52274,5.977867,7.743483,6.08136333333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.075839,6.692707,7.794405,6.18765033333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.444539,5.070882,6.53419,5.016537
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.075839,5.777695,7.699976,5.85117
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.067323,6.021564,7.004813,5.6979
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.845506,5.252058,8.189002,5.76218866666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.896256,5.266134,7.182722,5.44837066666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869466,5.81967,7.243813,5.97764966666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.627735,5.070882,6.727482,5.142033
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.861422,6.745855,8.03966,6.548979
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.444169,5.211646,6.891278,5.18236433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.277537,5.908146,7.681233,5.95563866666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.23127,5.81967,7.37474,5.80856
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.92797,5.707774,7.130656,5.5888
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.896256,5.841212,7.70973,5.81573266666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.674434,5.795989,6.845743,5.438722
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.603942,4.233838,6.222549,4.68677633333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.493199,5.283228,6.727482,5.16796966666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.770094,6.376663,7.978021,6.374926
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869466,6.433466,7.693802,6.33224466666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.544765,6.361671,7.208165,6.704867
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.151733,6.117153,6.803635,6.357507
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.629518,6.333465,6.843418,6.60213366666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.429479,6.603189,7.890107,6.97425833333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.061623,5.425737,6.581136,6.022832
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.294497,5.458629,6.267956,5.673694
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.863561,5.266134,6.073137,5.400944
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.865139,6.512768,7.572355,6.316754
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.311144,7.70295,8.612953,7.542349
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.209932,7.3095,8.511148,7.34352666666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.849127,7.605923,8.381015,7.27868833333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.007087,6.348539,7.750111,6.368579
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.581303,6.916278,8.052257,6.849946
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.205826,7.06091,7.909024,6.72525333333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.290959,7.390072,8.509645,7.396892
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.648421,7.302038,8.103099,7.01785266666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.516584,6.665795,7.99477,6.72571633333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.523508,7.32086,8.067771,6.970713
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.758412,7.074627,8.563879,7.46563933333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.828236,7.435283,8.61849,7.62733633333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.656689,6.870155,7.981726,6.83619
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.980485,8.286073,8.642012,7.96952333333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.646171,6.784268,7.877788,6.769409
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.376022,7.922954,8.313526,7.53750066666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.058696,6.338654,7.701322,6.366224
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.947658,6.379729,7.940971,6.75611933333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.840178,7.284752,8.321781,7.14890366666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.875884,6.129926,7.460404,6.15540466666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.572522,5.928956,7.047971,5.84981633333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.108276,6.631583,7.675744,6.47186766666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.618143,6.351285,7.806596,6.592008
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.714002,6.829308,8.49661,7.01330666666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.869466,6.297973,7.007683,6.058374
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.662255,6.874292,7.40362,6.64672233333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.40909,6.693899,7.092332,6.39844033333333
