"","sample","tissue","endometriosis","severity","p244462_at","p216991_at","p216983_s_at","p220019_s_at","p229123_at","ZNF224"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.388631,2.236067,4.552298,3.169113,3.475355,3.5642928
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.130445,2.236067,4.76874,2.711137,4.068644,3.7830066
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.750952,2.236067,4.814028,3.169113,3.640996,3.5222312
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.829834,2.236067,3.726835,2.699734,2.823836,3.0632612
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.303796,2.236067,4.657221,3.436046,6.26107,4.77884
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.67211,2.236067,3.652598,2.699734,4.145179,3.6811376
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.110625,2.236067,5.59505,2.763001,4.068644,3.9546774
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.839866,2.236067,5.529037,3.23256,4.293041,4.2261142
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.438828,2.236067,4.934293,2.699734,3.642122,3.7902088
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.166446,2.236067,4.829539,3.163346,2.656751,3.4104298
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.199304,2.236067,5.749337,2.699734,4.068644,3.7906172
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.296802,2.236067,3.496458,2.774404,3.356888,3.2321238
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.548502,2.236067,4.555377,2.699734,3.496018,3.5071396
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.499764,2.236067,3.852225,2.699734,4.172158,3.6919896
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.157586,2.236067,4.272643,2.747334,2.618722,3.2064704
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.67211,2.236067,5.552659,2.934328,4.521381,4.183309
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.212379,2.236067,3.908697,2.236067,3.487091,3.2160602
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.599888,2.236067,5.583001,3.063962,3.511328,3.7988492
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.740752,2.236067,6.080148,2.699734,2.257085,3.4027572
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.715178,2.236067,3.819868,3.169113,4.068644,3.601774
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.353308,2.236067,5.208435,3.169113,4.068644,3.8071134
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.606938,2.236067,5.403074,2.699734,4.114802,4.012123
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.312057,2.236067,4.211072,2.717261,4.493056,3.7939026
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.859719,2.236067,5.639397,2.699734,3.908295,4.0686424
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.791473,2.236067,5.703654,3.169113,4.520077,4.2840768
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.401923,2.236067,5.910126,3.207687,6.049307,4.761022
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.523468,2.236067,5.279084,3.169113,4.433757,4.1282978
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.852455,2.236067,5.56608,3.377612,4.469726,4.300388
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.633957,2.236067,5.042864,3.278873,5.306168,4.4995858
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.839866,2.236067,4.401839,2.699734,4.515371,3.9385754
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.397577,2.236067,3.551633,3.169113,3.430961,3.5570702
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.312669,2.236067,3.38918,3.169113,4.933008,4.0080074
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.962749,2.236067,4.617853,3.169113,4.95617,4.1883904
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.920561,2.236067,4.008176,3.169113,5.672774,4.2013382
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.202812,2.236067,6.863512,3.393305,5.863585,5.1118562
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.794936,2.236067,4.993398,2.739919,4.163561,3.9855762
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.904484,2.236067,4.68968,3.224412,4.902584,4.1914454
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.927517,2.236067,4.103781,3.442066,5.925141,4.5269144
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133957,2.236067,4.261771,3.169113,6.042666,4.5687148
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.830025,2.236067,6.083563,3.931243,6.361967,5.288573
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.773245,2.236067,6.176413,4.668737,6.880368,5.546966
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.504896,2.236067,5.57215,4.788065,6.430727,5.306381
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.546772,2.236067,6.588177,4.756778,6.526705,5.5308998
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.433665,2.236067,6.068769,4.242198,6.042302,5.2046002
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.897323,2.236067,5.287023,4.69073,6.094469,5.0411224
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.495163,2.236067,4.59989,4.673161,6.200833,5.0410228
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059992,2.236067,4.751089,3.610007,5.787393,4.6889096
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.294662,2.236067,3.412636,3.169113,4.941164,4.0107284
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.009043,2.236067,3.761026,3.169113,5.871455,4.4093408
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.839866,2.236067,4.665587,4.538619,5.760435,4.6081148
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.689958,2.236067,3.410724,3.169113,5.579064,4.2169852
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.38327,2.236067,3.879053,3.323082,5.87523,4.3393404
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839866,2.236067,3.481104,3.169113,4.454418,3.8361136
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.437499,2.236067,4.978065,4.229917,5.399191,4.6561478
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.564983,2.236067,4.343779,3.169113,5.225524,4.3078932
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.39446,2.236067,3.906792,2.699734,3.78092,3.6035946
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.847794,2.236067,4.924564,2.699734,4.068644,3.7553606
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.616526,2.236067,4.010703,2.699734,3.545502,3.6217064
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839866,2.236067,3.437126,3.169113,4.821449,3.9007242
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.18775,2.236067,3.730724,3.004108,2.709632,3.3736562
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.889714,2.236067,5.873219,2.699734,3.587065,3.8571598
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.522093,2.236067,5.803248,2.699734,4.222056,3.8966396
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.480656,2.236067,5.00419,2.699734,3.589131,3.6019556
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839866,2.236067,3.899887,2.749914,4.173452,3.7798372
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.196186,2.236067,5.175697,3.169113,4.072261,3.9698648
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.456034,2.236067,5.058776,2.699734,3.445016,3.5791254
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.688768,2.236067,3.727137,2.699734,3.310785,3.3324982
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.518124,2.236067,5.998482,2.699734,3.559831,4.0024476
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.179689,2.236067,5.69813,2.699734,4.375395,4.037803
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.740752,2.236067,4.528213,3.169113,4.068644,3.5485578
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.820688,2.236067,5.754793,2.302358,3.891571,4.0010954
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.837595,2.236067,5.352907,2.236067,4.296468,3.9918208
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.933348,2.236067,4.890252,2.953127,4.070248,3.8166084
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.162941,2.236067,4.39365,2.699734,3.484766,3.5954316
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839866,2.236067,6.07311,2.699734,4.515366,4.2728286
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.151156,2.236067,4.914318,2.701763,4.135542,3.8277692
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.565066,2.236067,4.391345,2.699734,4.916405,3.9617234
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.337954,2.236067,4.857051,2.699734,4.068644,3.63989
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.09414,2.236067,4.082324,2.23909,4.135546,3.5574334
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.38884,2.236067,3.698726,2.938176,2.808859,3.2141336
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.328075,2.236067,3.652598,2.699734,4.117327,3.4067602
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.839866,2.236067,5.261426,3.169113,4.817979,4.2648902
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.130826,2.236067,4.976497,2.975144,5.233946,4.310496
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.46391,2.236067,4.987421,3.393719,5.932433,4.60271
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.1972,2.236067,6.566882,4.558492,6.742209,5.46017
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.783818,2.236067,6.190608,3.785079,5.398756,4.8788656
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.8825,2.236067,4.79815,4.588418,5.908682,4.8827634
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.189167,2.236067,5.876129,3.541047,5.400697,4.6486214
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.003009,2.236067,6.326076,3.974313,4.933217,4.6945364
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.897251,2.236067,4.614192,3.169113,4.394667,4.062258
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.766289,2.236067,4.122368,5.452122,6.804316,5.2762324
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.830418,2.236067,6.195669,4.676139,6.91054,5.5697666
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.201527,2.236067,6.031224,3.933127,6.853954,5.2511798
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.174777,2.236067,5.963468,5.21989,7.324972,5.7838348
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.231717,2.236067,4.727711,3.321391,6.267969,4.756971
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.511993,2.236067,5.561166,3.985848,7.146123,5.2882394
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.936121,2.236067,5.679012,5.110453,7.122945,5.6169196
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.801397,2.236067,4.683069,4.68141,6.966587,5.273706
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.875776,2.236067,5.294927,3.986877,6.348512,4.9484318
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.518895,2.236067,5.921849,4.530242,7.357507,5.712912
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.957776,2.236067,4.828372,3.599032,6.579802,4.8402098
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.395334,2.236067,4.207859,3.438949,6.513793,4.7584004
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.651104,2.236067,5.92228,4.03923,6.892141,5.1481644
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.321858,2.236067,6.44268,3.903966,6.649312,5.3107766
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.542975,2.236067,5.741806,5.000602,7.277312,5.7597524
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.379636,2.236067,6.102357,4.349524,6.935346,5.400586
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.990554,2.236067,6.453094,4.412394,6.777207,5.5738632
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.529656,2.236067,3.412636,3.278194,5.335844,4.1584794
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.835056,2.236067,5.194307,3.454046,5.305093,4.6049138
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.510216,2.236067,5.7445,4.340629,6.771244,5.3205312
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.880544,2.236067,5.923449,3.367653,6.339099,4.9493624
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.231107,2.236067,4.91614,3.169113,5.721617,4.6548088
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.138718,2.236067,4.491574,4.972679,6.07039,4.9818856
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.420744,2.236067,5.929439,4.004218,6.45741,5.2095756
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.635762,2.236067,5.917424,4.537146,5.608679,4.9870156
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.934264,2.236067,4.725177,3.169113,6.470543,4.7070328
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.090455,2.236067,5.649685,3.657942,5.909344,4.9086986
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.858037,2.236067,6.520299,3.646855,6.386882,5.129628
