"","sample","tissue","endometriosis","severity","p210266_s_at","p212436_at","p214815_at","TRIM33"
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.885607,7.634473,5.652436,7.724172
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.716386,5.869899,4.512044,6.699443
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.054884,6.098338,4.02296,6.39206066666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.646108,7.43242,5.205091,7.427873
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.48931,6.704685,4.329453,6.84114933333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.025482,7.243773,5.731501,7.66691866666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.969567,7.304099,4.613419,7.295695
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.957499,6.97821,4.967092,7.30093366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.812479,7.187976,4.911519,7.30399133333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.019704,7.388443,5.320459,7.576202
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.84749,7.139009,4.400221,7.12890666666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.214222,7.252343,4.508796,7.32512033333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.612291,7.759416,4.959902,7.44386966666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.325955,7.198921,3.429055,6.65131033333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.774528,7.451806,3.166655,6.797663
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.548992,6.97029,4.911519,7.47693366666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.687529,7.58632,4.392382,7.222077
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.645359,7.382917,4.260554,7.09627666666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.079043,4.655877,4.527656,5.754192
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.823248,7.102242,4.65276,7.19275
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.263949,6.73543,4.63013,6.876503
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.34468,4.402752,4.880234,5.87588866666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.33179,4.442424,4.575014,5.783076
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.627241,4.933048,4.911519,6.15726933333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.248761,6.978874,4.911519,7.04638466666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.951742,4.939028,5.132696,6.34115533333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.846614,5.614817,5.596888,7.01943966666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.17154,4.836899,5.079555,5.36266466666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.674251,4.568989,5.282947,6.17539566666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.058855,6.683404,6.3283,7.69018633333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.340125,4.568989,5.466012,6.45837533333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.76554,6.026372,5.366014,7.052642
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.238786,4.555974,4.892619,6.22912633333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.426074,5.259621,6.066982,6.917559
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.194678,4.555974,7.238035,6.66289566666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.938385,4.555974,5.387665,6.294008
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.41414,6.080291,5.930759,7.14173
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.811619,6.613392,5.570546,7.33185233333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.582899,5.965093,4.982677,6.84355633333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.376472,5.048609,4.575014,6.00003166666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.929172,5.815885,5.681383,7.14214666666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.418452,5.676602,5.8058,6.96695133333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.986708,5.801512,3.753479,6.51389966666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.685272,5.252315,4.942679,6.293422
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.922774,5.921875,6.144351,7.32966666666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.240328,6.010251,5.512321,6.92096666666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.562281,4.926903,4.52808,6.00575466666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.591757,4.705709,5.683064,6.66017666666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.616126,6.312682,5.242145,7.05698433333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437131,5.619256,4.911519,5.989302
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.873305,6.183202,5.172575,6.74302733333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.990201,5.536968,4.375091,5.63408666666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.81708,4.752882,3.545521,5.03849433333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.900054,6.28546,4.894661,6.69339166666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.652554,4.458628,4.748534,5.61990533333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.262883,6.378943,3.753479,6.13176833333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.153649,5.850055,5.248425,7.084043
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.009692,6.172523,5.377823,7.18667933333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.26429,6.649054,5.421034,7.44479266666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.347666,7.185092,5.259214,7.597324
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.9646,7.330717,5.102504,7.46594033333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.728348,7.387155,6.633727,8.24974333333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.151456,7.169955,5.885888,7.73576633333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.897086,7.021503,5.274678,7.39775566666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.471606,7.08555,4.981032,7.179396
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.438112,7.398564,5.905356,7.91401066666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.184383,7.58846,5.400551,7.72446466666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.201526,7.502225,4.838377,7.51404266666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.310414,6.982716,4.925856,7.40632866666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.576848,7.160472,6.490806,8.076042
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.956484,7.329201,5.366589,7.550758
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.111866,6.549085,4.911519,7.19082333333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.94321,6.883661,6.054945,7.627272
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.132096,8.240504,5.847008,8.07320266666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.821485,6.869655,5.754789,7.48197633333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.023971,7.047201,5.529029,7.53340033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.143346,7.239711,6.65645,8.013169
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.95423,7.579008,4.911519,7.48158566666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.228669,7.812596,5.367913,7.80305933333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.476107,7.241932,6.151661,7.95656666666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.839212,6.448338,6.489358,7.59230266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.253102,7.292852,6.201085,7.91567966666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.292071,6.964446,6.080449,7.77898866666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.284468,7.238761,6.724475,8.082568
