"","sample","tissue","endometriosis","severity","p219940_s_at","p225149_at","PCID2"
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.498445,5.2418835
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.152581,6.052496,6.6025385
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.498445,5.2418835
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.967987,3.554461,4.761224
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.774297,4.31594,5.0451185
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.498445,5.2418835
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.967987,2.788575,4.378281
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.572409,5.545072,6.0587405
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.987641,4.498445,5.243043
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.315947,4.790366,5.5531565
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.985322,4.498445,5.2418835
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.259806,5.122564
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.985322,4.498445,5.2418835
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.498445,5.2418835
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.985322,4.498445,5.2418835
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.235138,4.498445,5.3667915
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.986887,4.498445,5.242666
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.86271,5.030418,5.946564
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.774884,5.361584,6.068234
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.265026,5.994257,6.6296415
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.573398,5.030418,5.801908
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.637489,6.359387,6.998438
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.439768,7.798254,8.119011
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.229222,5.211852,6.220537
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.967359,5.030418,5.9988885
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.064217,7.050845,7.557531
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.321077,6.383888,6.8524825
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.469417,6.073088,6.7712525
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.277345,7.120656,7.6990005
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.122921,5.491837,6.307379
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.498382,5.983664,6.741023
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.641643,8.320589,8.481116
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.528996,8.108334,8.318665
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.554947,8.094365,8.324656
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.471599,7.928537,8.200068
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.35092,7.651209,8.0010645
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.913149,8.116448,8.5147985
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.548526,7.816806,8.182666
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.738363,8.397638,8.5680005
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.71344,7.891372,8.302406
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.734006,8.252542,8.493274
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.893828,8.447339,8.6705835
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.538958,8.140311,8.3396345
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.820693,7.287498,7.5540955
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778404,8.295641,8.5370225
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.696632,8.377019,8.5368255
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.572579,5.152258,6.3624185
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.63323,6.884742,7.258986
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.793449,6.404208,7.0988285
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.191438,4.904123,6.0477805
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.985322,4.331112,5.158217
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.394211,4.833851,5.614031
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.197435,5.995847,6.596641
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.582703,4.599007,5.590855
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.001018,5.396453,6.1987355
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.785872,3.598487,4.6921795
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.96718,4.498445,5.2328125
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.494927,5.745177,6.620052
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.675169,5.030418,5.8527935
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.757943,5.682921,6.220432
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.093254,5.889925,6.4915895
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.35781,4.498445,5.4281275
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.967987,4.315152,5.1415695
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.985322,4.498445,5.2418835
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.934752,5.5053,6.220026
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.803546,6.713945,7.2587455
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.169454,5.695596,6.432525
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.985322,4.498445,5.2418835
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.512985,5.030123,5.771554
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.732574,4.825327,5.7789505
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.593504,5.030418,5.811961
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.968098,4.574834,5.271466
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.181213,5.634886,6.4080495
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.803071,5.030418,5.9167445
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.431733,4.498445,5.465089
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.774158,4.807854,5.791006
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.617733,5.852527,6.73513
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.751225,5.43777,6.5944975
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.673195,6.433158,7.0531765
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.823243,6.483505,7.153374
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.957808,6.312792,7.1353
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.882395,6.456271,7.169333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.617981,5.818837,6.718409
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.272244,5.770954,6.521599
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.181322,7.311626,7.746474
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.693126,8.453075,8.5731005
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.340694,7.392494,7.866594
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.926942,7.54328,7.735111
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.241859,8.338949,8.290404
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.565649,6.444765,7.005207
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.233558,8.051084,8.142321
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.587561,8.287565,8.437563
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.273851,7.924938,8.0993945
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.309397,8.421557,8.365477
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.937648,7.790703,7.8641755
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.276,7.423323,7.8496615
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.040785,6.848047,7.444416
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.180001,7.324581,7.752291
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.145914,8.318209,8.2320615
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.693347,6.63897,7.1661585
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.202673,7.251693,7.727183
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.41344,7.80585,8.109645
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.63337,6.33612,6.984745
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.377243,7.872375,8.124809
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.013354,7.764907,7.8891305
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.512671,8.530033,8.521352
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.427955,6.974738,7.7013465
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.238639,7.055206,7.6469225
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.724088,6.800725,7.2624065
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.777734,6.890958,7.334346
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.072571,6.81092,7.4417455
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.176462,7.031359,7.6039105
