"","sample","tissue","endometriosis","severity","p1558949_at","p226691_at","p229257_at","TNRC18"
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.370734,10.799856,4.882055,7.01754833333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.164402,10.237315,4.836551,6.74608933333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.297144,9.982506,4.686079,6.655243
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.866338,9.981956,5.047429,6.63190766666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.061983,11.011655,5.56757,7.54706933333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.131717,10.773117,4.962996,6.62261
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.30944,10.487422,5.445094,6.74731866666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.050505,10.344256,4.948464,6.781075
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.518633,10.098756,5.968107,7.19516533333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.9886,9.975128,4.29286,6.41886266666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.489454,10.707384,6.309653,7.16883033333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.21688,10.56075,5.559901,6.779177
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.239275,10.691469,4.616592,6.849112
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.073602,10.251927,4.579157,6.63489533333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.235557,10.438005,2.997241,5.55693433333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.131717,10.096795,3.296212,5.84157466666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.191248,10.015917,3.599781,5.93564866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,10.386258,3.814569,5.81053633333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,10.145383,3.054582,5.47691566666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.131717,9.97451,2.907211,5.671146
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.322964,10.695953,3.305475,5.77479733333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.131717,10.393331,4.183448,6.23616533333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.629793,9.952984,3.818613,6.13379666666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.288631,9.527291,3.42485,5.746924
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.230782,9.66608,3.833342,5.57673466666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,9.856767,4.296949,6.09514433333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.131717,9.088845,3.108537,5.443033
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134911,9.797733,4.467791,6.13347833333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.323105,9.807783,4.605141,6.245343
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,9.802927,4.035622,5.99008866666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.071225,10.205417,3.616557,5.96439966666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280129,9.321892,4.708885,5.770302
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,9.054546,2.916153,5.06716033333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.522871,9.455838,2.723164,5.567291
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.131717,9.334559,2.907211,5.457829
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.712463,9.883803,3.268802,5.62168933333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.512259,9.390905,3.516242,5.47313533333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.787607,9.56365,2.94752,5.43292566666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.393324,9.30118,3.637262,5.443922
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.895374,9.300848,3.697782,5.63133466666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.573351,9.772143,3.711539,6.019011
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.286434,9.337548,3.075594,5.233192
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.131717,9.802872,3.982354,5.97231433333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.339448,8.652344,4.377739,5.45651033333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.857307,9.253652,3.010028,5.37366233333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.018757,9.441114,3.68401,5.714627
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.131717,9.287987,2.880583,5.433429
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.587196,9.172614,3.20601,5.32194
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.321777,9.552812,3.71554,5.530043
