"","sample","tissue","endometriosis","severity","p1554703_at","p216620_s_at","ARHGEF10"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.56817,6.545434,6.056802
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.388143,5.03103,5.7095865
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.401145,5.477183,5.439164
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.064374,7.062992,6.563683
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.648071,6.300373,6.474222
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.782108,5.921134,6.351621
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.416463,5.830566,5.6235145
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.194627,6.921174,6.5579005
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.255377,5.383588,5.3194825
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.116743,5.521739,5.319241
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91028,7.286049,6.5981645
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.552895,6.603619,6.078257
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.061225,5.734668,5.8979465
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.828273,7.770979,7.299626
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.740876,6.501351,6.1211135
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.829809,6.664565,6.747187
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.752431,6.212131,6.982281
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.922071,6.102887,5.512479
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651082,6.167064,6.409073
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.733574,7.134563,6.9340685
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.331678,5.987336,5.659507
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.913468,7.084547,6.9990075
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.974774,5.891356,5.433065
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.209396,7.250005,6.7297005
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11526,6.005387,6.0603235
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.140735,5.511168,5.3259515
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.818966,4.746376,5.282671
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.602253,6.133395,5.367824
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.359002,6.617642,5.988322
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.949978,5.305247,5.6276125
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.123643,7.063867,6.593755
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.024883,7.37377,6.6993265
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.509022,7.126095,6.8175585
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.748399,7.729293,7.238846
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.538041,7.514041,6.526041
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.251958,6.592675,5.9223165
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.163972,6.677414,6.420693
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.359002,7.793914,6.576458
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.99039,7.601607,7.2959985
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.151657,7.454481,7.303069
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.970392,7.004498,6.487445
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.868743,7.582443,7.225593
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.302614,7.410494,5.856554
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.143483,8.137842,6.6406625
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.238589,7.358639,5.798614
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.213994,7.923252,7.068623
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.086929,8.259343,7.173136
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.48877,7.266374,6.377572
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.633967,8.017428,6.8256975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.702089,8.102455,7.402272
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.122482,7.678075,6.4002785
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.480542,8.017652,6.749097
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.679552,7.322134,6.000843
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.262229,7.704693,5.983461
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.358027,7.924315,6.141171
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.215249,7.00645,6.1108495
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.97631,7.767165,5.8717375
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.570202,7.428497,5.9993495
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.710113,8.045097,6.877605
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.346275,7.624124,6.9851995
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.836279,7.350072,6.5931755
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.381182,6.824801,6.1029915
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.359002,5.947267,5.6531345
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.190183,6.568735,6.379459
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.958567,7.352286,6.6554265
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.248955,6.585068,6.4170115
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.791353,6.632894,6.7121235
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.53039,7.574867,7.5526285
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.553728,7.257421,6.9055745
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.950504,7.473196,7.21185
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.056273,7.175696,7.1159845
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.716774,7.637612,7.677193
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.212268,7.504241,6.8582545
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.353503,6.835743,7.094623
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.33847,6.422926,6.880698
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.206551,6.36238,6.2844655
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.109101,7.299356,7.2042285
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.543367,7.338615,6.940991
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014959,7.542821,7.27889
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.817479,6.502567,6.160023
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.411923,7.111772,6.7618475
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.376425,7.469227,7.422826
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.728389,6.698858,5.2136235
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.773157,6.922276,7.3477165
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.849568,7.360183,7.1048755
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.401459,6.960539,6.680999
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.983042,6.978132,5.980587
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.468206,5.928042,6.198124
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.532211,6.555652,6.0439315
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.679347,6.548236,6.6137915
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.580113,6.176391,6.378252
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.759902,6.430174,6.595038
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.465451,6.32872,6.3970855
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.491133,6.52222,6.5066765
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.641683,6.16865,5.9051665
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437173,7.382597,7.409885
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.220581,9.41927,8.8199255
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.651592,8.621382,8.136487
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.448658,8.075007,7.7618325
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.296511,7.371123,6.833817
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.561361,8.516364,8.0388625
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.056708,7.258967,7.1578375
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.536552,7.673628,7.60509
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.980137,7.698054,7.3390955
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.733054,7.437254,7.085154
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.627465,8.111597,7.869531
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.387534,8.093773,7.7406535
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.080944,7.374356,6.22765
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.254061,7.686361,7.470211
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.605227,7.225092,6.9151595
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.689814,7.664801,7.1773075
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.905949,8.573738,8.2398435
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.019089,7.360529,7.189809
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.517681,8.267677,8.392679
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.925248,7.510873,7.2180605
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.410693,7.658381,7.534537
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.939275,7.426749,6.683012
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.640411,8.044467,7.342439
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.384814,7.719782,7.552298
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.090812,7.57549,6.833151
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.063389,7.61753,7.3404595
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.103336,8.191626,7.647481
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.960286,7.602432,7.281359
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.441091,7.296145,6.868618
