"","sample","tissue","endometriosis","severity","p204678_s_at","p204679_at","KCNK1"
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.74781,9.799987,8.2738985
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.352926,9.10457,7.228748
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.63944,9.370053,8.0047465
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.951007,9.971582,7.9612945
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.798669,10.760996,9.2798325
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548499,10.102986,8.3257425
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.519099,8.528387,6.523743
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.780348,8.176859,6.4786035
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.874873,10.172478,8.5236755
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.95924,10.305729,8.6324845
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.780348,8.664119,6.7222335
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.112356,8.537699,6.8250275
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.686412,9.575544,8.130978
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.598796,9.172711,7.3857535
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.500671,8.842893,7.171782
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.205174,8.525907,6.8655405
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.131944,9.904066,8.018005
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.221083,9.032559,7.126821
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.418329,10.758456,9.5883925
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.711935,10.917347,9.814641
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.61904,9.920351,8.2696955
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.056576,10.492759,9.2746675
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.74151,9.964757,8.8531335
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.402632,10.983648,9.69314
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.161517,10.206567,8.684042
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.057118,10.01714,8.537129
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.780348,7.718542,6.249445
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.002004,8.475729,6.7388665
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.653517,9.904066,8.2787915
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.4942,10.446728,8.970464
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493363,9.478011,7.985687
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.228258,10.940035,9.5841465
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.061192,10.957975,9.5095835
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.370917,10.056402,8.7136595
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.196934,9.868099,8.5325165
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.42297,10.35747,8.89022
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.119651,11.403138,9.7613945
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.427167,10.184136,8.8056515
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.319065,12.547788,11.4334265
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.381322,10.247605,8.8144635
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.673439,10.527255,9.100347
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.685464,9.920587,8.3030255
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.31747,10.187493,8.7524815
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.816547,10.544404,9.1804755
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.932544,11.141967,10.0372555
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.547905,8.919328,7.2336165
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.074372,10.590152,9.332262
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780348,7.992744,6.386546
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.711135,9.85453,8.2828325
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.272545,9.470953,7.871749
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.930002,9.295171,7.6125865
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.874677,10.254367,9.064522
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780348,8.666652,6.7235
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.872515,9.824373,8.348444
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.877633,11.629414,10.2535235
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.165776,10.203228,8.684502
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.911364,10.075177,8.4932705
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.976356,10.076121,8.5262385
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.918343,10.287584,8.6029635
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.912532,8.514064,6.713298
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.984214,7.832363,5.9082885
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.536781,9.380297,7.958539
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.051476,9.516482,7.783979
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.746801,10.226343,8.486572
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780348,7.97105,6.375699
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.921669,10.636533,8.779101
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.89793,10.326275,9.1121025
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.040223,8.719979,6.880101
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.338026,9.897066,8.617546
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.223795,9.305783,7.264789
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.684868,9.934059,8.3094635
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.967535,8.688587,6.828061
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.269987,10.19364,8.2318135
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.159418,9.54791,7.853664
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.297392,10.737808,9.5176
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.355747,10.450814,9.9032805
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.952128,10.829373,9.8907505
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.178783,10.627569,9.903176
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.627669,8.692125,7.659897
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.780348,8.292855,6.5366015
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.664553,8.053924,6.8592385
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.984214,7.93451,5.959362
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.073936,11.611638,9.842787
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.946126,10.514092,9.230109
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.192384,10.906575,9.0494795
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.994401,10.08181,8.5381055
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.715095,11.765765,10.24043
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.563173,10.05294,8.3080565
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.339912,11.745336,10.042624
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.495462,11.073346,9.784404
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.780348,7.994527,6.3874375
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.582404,11.367099,9.9747515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.210737,10.079578,8.6451575
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.513473,9.120596,7.8170345
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.522904,9.133921,7.8284125
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.199937,9.695996,7.9479665
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.277061,9.337667,7.807364
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.952719,10.431197,9.191958
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.6544,10.94816,9.30128
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.334481,10.919358,9.6269195
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.631169,11.52766,10.0794145
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.602728,9.517145,8.0599365
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.059243,9.696913,7.878078
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.650806,12.348374,10.99959
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.417528,9.906608,8.162068
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.879964,10.44096,9.160462
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.51106,9.608586,8.059823
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.537955,9.628392,8.0831735
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.299573,9.18842,7.7439965
