"","sample","tissue","endometriosis","severity","p204872_at","p216997_x_at","p233575_s_at","TLE4"
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.333853,4.912616,3.394036,5.88016833333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.773667,5.559944,3.84716,6.39359033333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.393967,7.21852,5.620801,7.74442933333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.101075,6.614777,5.082727,7.266193
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.928583,5.874524,4.103718,6.63560833333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.049477,5.925423,4.274271,6.74972366666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.407578,3.974015,2.791426,5.39100633333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.958187,4.121699,3.129876,5.403254
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.761395,3.384925,2.869692,5.33867066666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.885576,4.428713,3.242881,5.51905666666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.321426,3.810687,2.757525,5.296546
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.80133,4.877109,3.249418,5.97595233333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.991902,5.157004,3.371518,5.84014133333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.651963,4.226723,3.086373,5.32168633333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.214148,5.236738,3.394036,5.94830733333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.068747,4.666638,3.394036,5.37647366666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.356003,3.95742,3.225726,4.846383
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.328723,4.428713,3.249418,5.335618
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.45574,5.679232,3.383907,6.17295966666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.797431,5.314569,4.279324,6.13044133333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.606886,5.13618,3.609063,5.784043
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.993283,3.95742,2.634443,5.19504866666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.97919,3.934927,3.282094,5.06540366666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.265913,4.69353,4.139681,6.03304133333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.496212,4.428713,2.985969,5.30363133333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.795,4.761003,3.292675,5.616226
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.797636,4.255674,3.383907,5.47907233333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.021834,4.340049,3.249418,5.203767
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.919918,4.054037,2.368299,5.11408466666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.516301,3.106485,3.225726,4.949504
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.985946,5.713485,3.776856,6.15876233333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.779823,5.459722,3.436489,5.89201133333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.509473,4.099141,3.249418,5.28601066666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.777619,4.035391,3.225726,5.012912
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.375843,4.836789,3.249418,5.48735
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.032269,5.332046,3.405336,5.923217
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.381256,4.241702,3.225726,5.616228
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.656056,3.778033,3.249418,5.22783566666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.07418,3.980187,2.50902,5.18779566666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.505581,4.437164,3.383907,5.77555066666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.741012,3.611975,3.096679,4.81655533333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.496908,6.739146,5.356995,7.197683
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.888599,4.146368,2.999354,5.34477366666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.088891,4.637744,4.382648,5.70309433333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.086447,4.494787,4.2034,5.594878
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.730293,6.769759,5.825322,7.108458
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.664741,6.676926,5.18522,6.84229566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392514,5.762452,3.544332,5.899766
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.940502,5.837447,3.394036,5.723995
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.117809,6.391945,5.006625,6.838793
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.018944,4.055783,2.577522,5.21741633333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.88898,5.608884,3.773404,6.423756
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.319787,7.532749,5.210837,7.687791
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.600883,4.48217,3.188404,5.423819
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.545192,6.523398,4.509877,6.859489
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.85469,7.251266,5.162104,7.42268666666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.570841,4.777227,3.227502,5.52519
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.335289,4.408919,3.249418,5.664542
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.734405,4.428713,3.394036,5.51905133333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.854443,5.081525,3.394036,5.776668
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.359647,4.055783,3.225726,5.21371866666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.569234,5.90575,3.846984,6.440656
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.446735,7.249716,5.591332,7.76259433333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.250128,6.918973,4.490408,6.886503
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.041231,4.80931,3.383907,5.744816
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.92174,6.3965,4.711933,7.01005766666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.471451,6.184562,4.175814,6.610609
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.920002,4.474462,3.619164,6.00454266666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.590153,5.538907,3.396143,5.84173433333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.514311,5.258857,3.844463,6.205877
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.361546,6.723461,4.979656,7.02155433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.591396,4.882279,3.394036,5.95590366666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.624417,4.055783,3.249418,4.97653933333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.453964,7.141024,5.624359,7.406449
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.730293,6.288232,4.141899,6.386808
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.816208,7.325966,5.479925,7.54069966666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.283812,6.771282,3.572686,6.54259333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.730293,5.971952,4.354483,6.35224266666667
