"","sample","tissue","endometriosis","severity","p202806_at","p217025_s_at","DBN1"
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.533716,11.265893,11.8998045
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.389987,8.277903,9.333945
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.758552,10.247676,11.003114
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.472215,10.559986,11.5161005
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.90413,8.696684,9.800407
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.243842,10.186852,11.215347
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.686936,9.787013,10.7369745
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.042244,9.626624,10.834434
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.700654,11.343161,12.0219075
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.275179,8.909666,10.0924225
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.980817,8.922127,9.951472
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.829089,10.282896,11.0559925
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.938292,9.904444,10.921368
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.448913,10.653823,11.551368
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.160892,10.023844,11.092368
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.483336,9.480994,10.482165
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.320125,9.260601,10.290363
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.890789,10.337331,11.11406
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.8371,10.134359,10.9857295
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.626157,9.826442,10.7262995
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.446046,10.102599,10.7743225
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.662232,10.690991,11.6766115
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.617727,7.236905,8.427316
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.951717,10.034624,10.9931705
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.297744,9.493193,10.3954685
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.295879,8.690341,9.49311
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.060868,8.789709,9.9252885
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.281766,9.925541,10.6036535
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.939774,9.521053,10.2304135
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.131966,9.285737,10.2088515
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.105065,9.502956,10.3040105
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.402768,8.249776,9.326272
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.183182,11.061742,11.622462
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.348022,10.956211,11.6521165
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.935373,8.959592,9.9474825
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.269078,8.470066,9.369572
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.75448,9.104803,9.9296415
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.482579,8.994885,9.738732
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.423889,7.891278,8.6575835
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.190593,8.688313,9.439453
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.812062,9.408863,10.1104625
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.759782,8.169192,8.964487
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.680622,7.86546,8.773041
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.632903,8.994097,9.8135
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.893789,8.618253,9.256021
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.629284,9.044276,9.83678
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.016284,7.999537,9.0079105
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.559084,9.140032,9.849558
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.398838,9.047242,9.72304
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.34578,9.830143,10.5879615
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.217427,8.425931,9.321679
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.857581,10.536599,11.19709
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.452093,9.884303,10.668198
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.508511,10.693448,11.6009795
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.303095,9.826005,10.56455
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.058077,10.688831,11.373454
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.455674,11.334408,11.895041
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.850173,9.0771,9.9636365
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.518369,10.564594,11.5414815
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.629617,11.198934,11.9142755
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.181991,9.113493,10.147742
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.542285,9.444281,10.493283
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.181794,10.342136,11.261965
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.875514,8.829257,9.8523855
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.12766,9.203055,10.1653575
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.144401,9.204191,10.174296
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.617184,8.682076,10.14963
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.972731,10.218606,11.0956685
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.207311,10.311549,11.25943
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.181091,8.942699,10.061895
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.72136,11.15886,11.94011
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.223297,9.07707,10.1501835
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.244081,9.350087,10.297084
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.059539,10.498735,11.279137
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.237086,10.776775,11.5069305
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.77389,9.773009,10.7734495
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.628973,10.786436,11.7077045
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.644635,10.422524,11.0335795
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.491407,9.45771,10.4745585
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.048855,8.953998,10.0014265
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.625409,8.884549,9.254979
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.803813,8.696633,8.750223
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.181749,8.864016,9.0228825
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.614826,9.891912,9.753369
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.056342,9.625344,9.840843
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.085619,10.536712,10.8111655
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.116004,10.775769,10.9458865
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.618613,8.680936,9.6497745
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.220692,8.285464,9.253078
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.86896,7.258224,8.563592
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.280238,7.398335,8.3392865
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.816767,8.971308,9.8940375
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.084354,6.913388,7.998871
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.48826,8.785097,9.6366785
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.823334,8.06179,8.942562
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.464064,7.642832,8.553448
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.81447,9.082526,9.948498
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.83592,9.043335,9.9396275
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.453958,7.804073,8.6290155
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.091238,8.237471,9.1643545
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.706036,8.012214,8.859125
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.626155,7.893319,8.759737
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.044646,8.039237,9.0419415
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.679543,7.681263,8.680403
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.771811,8.051793,8.911802
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.272723,7.19717,8.2349465
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.251321,7.228516,8.2399185
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.305366,8.874027,9.5896965
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.644944,8.506084,9.575514
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.396893,8.707401,9.552147
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.673889,8.697462,9.6856755
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.950167,7.423871,8.187019
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.471837,8.745055,9.608446
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.959782,8.292065,9.1259235
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.423227,8.228011,9.325619
